"","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92","t93","t94","t95","t96","t97","t98","t99","t100","t101","t102","t103","t104","t105","t106","t107","t108","t109","t110","t111","t112","t113","t114","t115","t116","t117","t118","t119","t120","t121"
"t1",0,3.45040339721832,2.7843946441009,2.45271854643812,5.90397060032284,3.66138577158393,3.28350375129832,4.58558985931581,3.4208997157953,3.65875520944837,4.99018273902932,3.55461419068734,5.90397060032284,5.90397060032284,5.90397060032284,5.01746846758405,5.90397060032284,5.90397060032284,5.90397060032284,5.44909738286967,5.90397060032284,4.93192814986653,5.90397060032284,5.90397060032284,4.60662887985104,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.17802528361454,5.90397060032284,5.90397060032284,5.76195637074097,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.1630391195299,5.90397060032284,5.71581417275358,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.65351944384377,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.72292207182524,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284,5.90397060032284
"t2",3.45040339721832,0,2.22797848703187,3.72521833933428,7.176470393219,4.25539563658303,3.87751361629742,5.17959972431491,5.16256994473456,5.40042543838763,6.73185296796857,5.29628441962659,5.34755444325381,5.34755444325381,6.49798046532194,5.61147833258315,6.49798046532194,5.34755444325381,5.34755444325381,6.04310724786876,6.49798046532194,5.52593801486563,6.49798046532194,6.49798046532194,4.05021272278201,6.49798046532194,5.34755444325381,5.34755444325381,6.49798046532194,6.49798046532194,5.34755444325381,4.62160912654552,5.34755444325381,5.34755444325381,6.35596623574007,6.49798046532194,6.49798046532194,5.34755444325381,7.64564082926209,5.34755444325381,5.34755444325381,5.34755444325381,6.49798046532194,5.34755444325381,5.34755444325381,5.757048984529,7.64564082926209,5.15939801568455,6.49798046532194,5.34755444325381,5.34755444325381,6.49798046532194,6.49798046532194,6.49798046532194,5.34755444325381,6.49798046532194,6.49798046532194,5.34755444325381,6.49798046532194,5.34755444325381,5.34755444325381,5.34755444325381,6.49798046532194,6.24752930884287,5.34755444325381,5.34755444325381,5.34755444325381,5.34755444325381,5.16650591475621,5.34755444325381,5.34755444325381,5.34755444325381,6.49798046532194,7.64564082926209,7.64564082926209,5.34755444325381,5.34755444325381,5.34755444325381,5.34755444325381,6.49798046532194,5.34755444325381,5.34755444325381,7.64564082926209,7.64564082926209,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,5.34755444325381,5.34755444325381,6.49798046532194,6.49798046532194,7.64564082926209,7.64564082926209,6.49798046532194,5.34755444325381,5.34755444325381,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,6.49798046532194,5.34755444325381,5.34755444325381,6.49798046532194,6.49798046532194,5.34755444325381,5.34755444325381
"t3",2.7843946441009,2.22797848703187,0,3.05920958621687,6.51046164010158,3.58938688346561,3.21150486318,4.51359097119749,4.49656119161714,4.73441668527021,6.06584421485116,4.63027566650918,4.17205115147115,4.17205115147115,5.83197171220452,4.94546957946573,5.83197171220452,4.17205115147114,4.17205115147114,5.37709849475135,5.83197171220452,4.85992926174822,5.83197171220452,5.83197171220452,2.87470943099934,5.83197171220452,4.17205115147114,4.17205115147115,5.83197171220452,5.83197171220452,4.17205115147114,3.44610583476285,4.17205115147114,4.17205115147114,5.68995748262266,5.83197171220452,5.83197171220452,4.17205115147114,6.97963207614468,4.17205115147114,4.17205115147114,4.17205115147114,5.83197171220452,4.17205115147114,4.17205115147114,5.09104023141158,6.97963207614468,3.98389472390188,5.83197171220452,4.17205115147115,4.17205115147115,5.83197171220452,5.83197171220452,5.83197171220452,4.17205115147114,5.83197171220452,5.83197171220452,4.17205115147115,5.83197171220452,4.17205115147114,4.17205115147115,4.17205115147115,5.83197171220452,5.58152055572545,4.17205115147114,4.17205115147115,4.17205115147115,4.17205115147114,3.99100262297355,4.17205115147114,4.17205115147114,4.17205115147114,5.83197171220452,6.97963207614468,6.97963207614468,4.17205115147115,4.17205115147115,4.17205115147114,4.17205115147114,5.83197171220452,4.17205115147114,4.17205115147114,6.97963207614468,6.97963207614468,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,4.17205115147114,4.17205115147114,5.83197171220452,5.83197171220452,6.97963207614468,6.97963207614468,5.83197171220452,4.17205115147114,4.17205115147114,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,5.83197171220452,4.17205115147115,4.17205115147115,5.83197171220452,5.83197171220452,4.17205115147114,4.17205115147114
"t4",2.45271854643812,3.72521833933428,3.05920958621687,0,3.5301159858946,3.93620071369989,3.55831869341428,4.86040480143177,4.16488509395436,4.40274058760743,5.73416811718838,4.2985995688464,6.1787855424388,6.17878554243881,6.17878554243881,5.29228340970001,6.1787855424388,6.1787855424388,6.1787855424388,5.72391232498563,6.1787855424388,5.2067430919825,6.1787855424388,6.1787855424388,4.881443821967,6.1787855424388,6.1787855424388,6.17878554243881,6.1787855424388,6.1787855424388,6.1787855424388,5.45284022573051,6.1787855424388,6.1787855424388,6.03677131285694,6.1787855424388,6.1787855424388,6.1787855424388,6.6479559784819,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,5.43785406164587,6.6479559784819,5.99062911486954,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,5.92833438595973,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,5.99773701394121,6.17878554243881,6.1787855424388,6.1787855424388,6.1787855424388,6.6479559784819,6.6479559784819,6.17878554243881,6.17878554243881,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.6479559784819,6.6479559784819,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.17878554243881,6.17878554243881,6.6479559784819,6.6479559784819,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388,6.17878554243881,6.17878554243881,6.1787855424388,6.1787855424388,6.1787855424388,6.1787855424388
"t5",5.90397060032284,7.176470393219,6.51046164010158,3.5301159858946,0,7.38745276758461,7.009570747299,8.31165685531649,7.61613714783908,7.85399264149215,9.1854201710731,7.74985162273112,9.63003759632352,9.63003759632353,9.63003759632352,8.74353546358473,9.63003759632352,9.63003759632352,9.63003759632352,9.17516437887035,9.63003759632352,8.65799514586722,9.63003759632352,9.63003759632352,8.33269587585172,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,8.90409227961523,9.63003759632352,9.63003759632352,9.48802336674166,9.63003759632352,9.63003759632352,9.63003759632352,10.0992080323666,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,8.88910611553058,10.0992080323666,9.44188116875426,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.37958643984445,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.44898906782593,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,10.0992080323666,10.0992080323666,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,10.0992080323666,10.0992080323666,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,10.0992080323666,10.0992080323666,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352,9.63003759632352
"t6",3.66138577158393,4.25539563658303,3.58938688346561,3.93620071369989,7.38745276758461,0,3.66212035748114,3.53792893640773,5.37355231910017,5.61140781275324,6.94283534233418,5.50726679399221,6.70896283968755,6.70896283968755,4.85630967741476,5.39608507376687,4.85630967741476,6.70896283968755,6.70896283968755,5.82771398905248,6.28258720650566,5.31054475604935,6.28258720650566,3.9980580105954,5.41162111921575,3.9980580105954,6.70896283968755,6.70896283968755,3.9980580105954,3.9980580105954,6.70896283968755,5.98301752297925,6.70896283968755,6.70896283968755,3.85604378101353,4.85630967741476,4.85630967741476,6.70896283968755,7.85662320362771,6.70896283968755,6.70896283968755,6.70896283968755,4.85630967741476,6.70896283968755,6.70896283968755,3.25712652980246,7.85662320362771,6.52080641211829,6.28258720650566,6.70896283968755,6.70896283968755,4.85630967741476,4.85630967741476,6.28258720650566,6.70896283968755,6.28258720650566,6.28258720650566,6.70896283968755,6.28258720650566,6.70896283968755,6.70896283968755,6.70896283968755,4.85630967741476,4.60585852093569,6.70896283968755,6.70896283968755,6.70896283968755,6.70896283968755,6.52791431118995,6.70896283968755,6.70896283968755,6.70896283968755,4.85630967741476,7.85662320362771,7.85662320362771,6.70896283968755,6.70896283968755,6.70896283968755,6.70896283968755,3.9980580105954,6.70896283968755,6.70896283968755,7.85662320362771,7.85662320362771,4.85630967741476,4.85630967741476,4.85630967741476,6.28258720650566,4.85630967741476,4.85630967741476,6.28258720650566,6.28258720650566,4.85630967741476,4.85630967741476,6.70896283968755,6.70896283968755,4.85630967741476,4.85630967741476,7.85662320362771,7.85662320362771,6.28258720650566,6.70896283968755,6.70896283968755,6.28258720650566,4.85630967741476,3.9980580105954,3.9980580105954,3.9980580105954,3.9980580105954,4.85630967741476,4.85630967741476,4.85630967741476,4.85630967741476,6.28258720650566,6.28258720650566,6.70896283968755,6.70896283968755,6.28258720650566,6.28258720650566,6.70896283968755,6.70896283968755
"t7",3.28350375129832,3.87751361629742,3.21150486318,3.55831869341428,7.009570747299,3.66212035748114,0,4.58632444521302,4.99567029881456,5.23352579246763,6.56495332204857,5.1293847737066,6.33108081940194,6.33108081940194,5.90470518622005,1.93744320938943,5.90470518622005,6.33108081940194,6.33108081940194,2.36907212467505,2.82394534212822,2.12979317825328,3.10183562870959,5.90470518622005,5.03373909893014,5.90470518622005,6.33108081940194,6.33108081940194,5.90470518622005,5.90470518622005,6.33108081940194,5.60513550269364,6.33108081940194,6.33108081940194,5.76269095663818,5.90470518622005,5.90470518622005,6.33108081940194,7.4787411833421,6.33108081940194,6.33108081940194,6.33108081940194,5.90470518622005,6.33108081940194,6.33108081940194,5.16377370542711,7.4787411833421,6.14292439183268,2.82394534212822,6.33108081940194,6.33108081940194,5.90470518622005,5.90470518622005,2.82394534212822,6.33108081940194,3.10183562870959,3.10183562870959,6.33108081940194,2.82394534212822,6.33108081940194,6.33108081940194,6.33108081940194,5.90470518622005,5.65425402974097,6.33108081940194,6.33108081940194,6.33108081940194,6.33108081940194,6.15003229090434,6.33108081940194,6.33108081940194,6.33108081940194,5.90470518622005,7.4787411833421,7.4787411833421,6.33108081940194,6.33108081940194,6.33108081940194,6.33108081940194,5.90470518622005,6.33108081940194,6.33108081940194,7.4787411833421,7.4787411833421,5.90470518622005,5.90470518622005,5.90470518622005,2.82394534212822,5.90470518622005,5.90470518622005,3.10183562870959,3.10183562870959,5.90470518622005,5.90470518622005,6.33108081940194,6.33108081940194,5.90470518622005,5.90470518622005,7.4787411833421,7.4787411833421,2.82394534212822,6.33108081940194,6.33108081940194,2.82394534212822,5.90470518622005,5.90470518622005,5.90470518622005,5.90470518622005,5.90470518622005,5.90470518622005,5.90470518622005,5.90470518622005,5.90470518622005,2.82394534212822,2.82394534212822,6.33108081940194,6.33108081940194,2.82394534212822,2.82394534212822,6.33108081940194,6.33108081940194
"t8",4.58558985931581,5.17959972431491,4.51359097119749,4.86040480143177,8.31165685531649,3.53792893640773,4.58632444521302,0,6.29775640683205,6.53561190048512,7.86703943006606,6.43147088172409,7.63316692741943,7.63316692741943,4.99307525490767,6.32028916149875,4.99307525490767,7.63316692741943,7.63316692741943,6.75191807678436,7.20679129423754,6.23474884378123,7.20679129423754,5.78051376514664,6.33582520694763,5.78051376514664,7.63316692741943,7.63316692741943,5.78051376514664,5.78051376514664,7.63316692741943,6.90722161071113,7.63316692741943,7.63316692741943,5.63849953556477,4.0001876955163,4.0001876955163,7.63316692741943,8.78082729135959,7.63316692741943,7.63316692741943,7.63316692741943,4.0001876955163,7.63316692741943,7.63316692741943,5.0395822843537,8.78082729135959,7.44501049985017,7.20679129423754,7.63316692741943,7.63316692741943,4.99307525490767,4.99307525490767,7.20679129423754,7.63316692741943,7.20679129423754,7.20679129423754,7.63316692741943,7.20679129423754,7.63316692741943,7.63316692741943,7.63316692741943,4.0001876955163,3.74973653903723,7.63316692741943,7.63316692741943,7.63316692741943,7.63316692741943,7.45211839892183,7.63316692741943,7.63316692741943,7.63316692741943,4.0001876955163,8.78082729135959,8.78082729135959,7.63316692741943,7.63316692741943,7.63316692741943,7.63316692741943,5.78051376514664,7.63316692741943,7.63316692741943,8.78082729135959,8.78082729135959,4.99307525490767,4.99307525490767,4.99307525490767,7.20679129423754,4.99307525490767,4.99307525490767,7.20679129423754,7.20679129423754,4.99307525490767,4.99307525490767,7.63316692741943,7.63316692741943,4.99307525490767,4.99307525490767,8.78082729135959,8.78082729135959,7.20679129423754,7.63316692741943,7.63316692741943,7.20679129423754,4.0001876955163,5.78051376514664,5.78051376514664,5.78051376514664,5.78051376514664,4.99307525490767,4.99307525490767,4.0001876955163,4.0001876955163,7.20679129423754,7.20679129423754,7.63316692741943,7.63316692741943,7.20679129423754,7.20679129423754,7.63316692741943,7.63316692741943
"t9",3.4208997157953,5.16256994473456,4.49656119161714,4.16488509395436,7.61613714783908,5.37355231910017,4.99567029881456,6.29775640683205,0,0.329541940226958,5.00679494748546,3.57122639914348,7.61613714783908,7.61613714783908,7.61613714783908,6.72963501510029,7.61613714783908,7.61613714783908,7.61613714783908,7.16126393038591,7.61613714783908,6.64409469738277,7.61613714783908,7.61613714783908,6.31879542736728,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,6.89019183113078,7.61613714783908,7.61613714783908,7.47412291825722,7.61613714783908,7.61613714783908,7.61613714783908,5.92058280877898,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,6.87520566704614,5.92058280877898,7.42798072026982,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.36568599136001,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.43508861934148,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,3.15654288317623,3.15654288317623,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,5.92058280877898,5.92058280877898,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,5.92058280877898,5.92058280877898,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908,7.61613714783908
"t10",3.65875520944837,5.40042543838763,4.73441668527021,4.40274058760743,7.85399264149215,5.61140781275324,5.23352579246763,6.53561190048512,0.329541940226958,0,5.24465044113853,3.80908189279655,7.85399264149215,7.85399264149215,7.85399264149215,6.96749050875336,7.85399264149215,7.85399264149215,7.85399264149215,7.39911942403898,7.85399264149215,6.88195019103584,7.85399264149215,7.85399264149215,6.55665092102035,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.12804732478385,7.85399264149215,7.85399264149215,7.71197841191029,7.85399264149215,7.85399264149215,7.85399264149215,6.15843830243205,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.11306116069921,6.15843830243205,7.66583621392289,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.60354148501308,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.67294411299455,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,3.3943983768293,3.3943983768293,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,6.15843830243205,6.15843830243205,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,6.15843830243205,6.15843830243205,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215,7.85399264149215
