,0,1,2,3,4,5,6,7,8,9,10,11
t1,2.6062288,-0.096898764,17.256237,3.1443336,0.16404624,3.8391757,8.438324,4.8692045,-0.42296502,13.692281,-0.039157443,-0.8328305
t2,0.7632266,-0.32630262,10.055282,1.6747335,1.4773821,-0.19431975,1.0478606,0.63159835,-0.025716703,12.689729,-0.0087203635,-0.8078129
t3,0.3391002,-0.5487598,12.998987,1.102387,2.4733114,-0.28116044,1.067274,-0.016238749,-0.021868285,17.9225,-0.0008688137,-1.2263871
t4,2.4041533,-0.07262642,15.441119,3.2491848,0.056588296,3.362162,7.2924795,4.21716,-0.33179608,12.295149,-0.030398306,-0.7497923
t5,4.770714,3.367677,-0.15818515,8.891211,0.31856337,5.542057,3.7530866,2.5438628,2.0123818,-1.238894,-0.38933122,2.8080137
t6,1.5143613,-0.21084365,11.631944,0.041601904,2.0373423,6.683377,13.139085,0.039241903,-0.4487473,14.307292,3.5794933,-0.4328889
t7,6.8422065,-0.34445316,11.425776,0.15831618,2.1024587,-0.013701342,9.669762,-0.06654448,-0.44261146,13.440683,1.843386,-1.1035693
t8,-0.024761803,-0.1355499,6.882734,0.22148186,0.18203722,8.533528,16.165728,-0.02521687,-0.48882908,11.4909115,3.323129,-0.04760491
t9,7.5028763,6.8140235,18.418612,9.798417,1.4498496,10.040891,5.3466206,9.467785,-0.14092234,9.509844,-0.18406656,-0.6105114
t10,7.9918165,7.212134,16.894253,10.2293625,1.5339034,10.689759,5.1355524,9.387982,-0.09796205,8.120803,-0.21170688,-0.507216
t11,9.296985,7.8573675,5.5809894,12.634871,1.6909734,13.259195,3.6028407,8.735088,1.3178749,-0.2081113,-0.42615628,-0.21641599
t12,6.63986,7.0825562,16.150806,9.738331,1.427204,10.110682,5.4626074,9.532995,-0.15706068,7.6497974,-0.1910179,-0.69931424
t13,0.5060849,-0.37348962,-0.017614944,4.0635767,5.3618393,-0.9762951,-0.042536438,-0.0043252115,8.840298,-0.93431836,-0.09848313,-0.51330674
t14,3.676657,-0.3316351,-0.32960442,0.2775108,0.08715181,-0.66027164,-0.033086542,-0.041432317,13.153894,-0.39527884,-0.18653183,1.4926511
t15,-0.11541089,-0.15463278,-0.055670228,0.24865301,0.041903377,6.2632823,17.646736,-0.07601048,-0.4549171,7.8980646,-0.018819552,0.55965406
t16,11.0308275,-0.13096268,0.4555239,0.20483948,2.1860404,-0.3597843,8.747987,-0.114007026,-0.3512082,1.5762917,-0.015278705,-0.48672175
t17,-0.22556977,-0.17495346,-0.06864794,0.26764622,0.016056834,6.7296295,19.23879,-0.08434071,-0.4786149,8.9216795,-0.016236546,0.5169685
t18,0.41468444,-0.40226105,-0.0114527885,4.2572713,5.781731,-1.0254772,-0.046338443,-0.004213352,8.804263,-0.9475125,-0.10187022,-0.552911
t19,0.10559189,-0.50426567,-0.05652839,5.1418037,7.372415,-1.1997977,-0.061675426,-0.0033424967,9.9353895,-0.9294688,-0.10469667,-0.77983576
t20,12.292661,-0.083742656,-0.2591484,0.15048714,1.5643728,-0.34089917,8.936821,-0.1155803,-0.32254913,-0.21591192,-0.075978,-0.38874388
t21,13.343738,-0.004558076,-0.43434936,0.04249251,1.1218152,-0.2047955,8.785638,-0.09874879,-0.31337363,-0.5110206,-0.13959292,-0.35115302
t22,10.39124,-0.12726976,0.6672387,0.1635926,2.422382,-0.29500154,8.8330765,-0.09621592,-0.32610947,1.750347,-0.008488992,-0.50774443
t23,13.686062,-0.0088368775,-0.4868523,0.03936662,1.1208774,-0.19340593,9.102856,-0.09420953,-0.29461876,-0.6375042,-0.15812701,-0.33753157
t24,1.517391,-0.11652267,-0.18935345,0.032226466,5.3260865,6.5400224,10.183835,-0.074146785,-0.1470943,1.9008067,-0.0818596,6.0244083
t25,-0.14835842,-0.67676324,1.1593517,4.603639,11.874899,-1.2313882,-0.07657261,-0.034971315,7.7063704,1.4437051,-0.019981585,-1.3768805
t26,1.5129634,-0.12068329,-0.21203522,0.038683146,5.242322,6.792618,10.6985235,-0.07560438,-0.17972031,2.0078006,-0.082196034,5.8541465
t27,0.32297948,-0.3851668,-0.012767615,4.5067744,6.0561814,-1.0492667,-0.046684343,-0.0015964617,8.958312,-0.9839062,-0.09111862,-0.61143327
t28,3.5136197,-0.27691793,-0.28405574,0.5295287,0.28173757,-0.64652294,-0.02785956,-0.035336,12.288787,-0.4502825,-0.17142136,1.3437195
t29,1.9898212,-0.15344378,-0.1638242,0.034029305,7.2129297,7.45635,11.01443,-0.08697548,-0.13989806,1.9789586,-0.088984266,7.694862
t30,1.4338223,-0.12880889,-0.20248416,0.05338059,5.3915977,6.3797936,10.297628,-0.073969156,-0.16514605,1.9391906,-0.07372606,5.7993245
t31,0.22450007,-0.4987534,-0.043585017,5.1251845,7.310561,-1.1774286,-0.059621718,-0.0028350388,9.828673,-0.8888674,-0.110105745,-0.77050513
t32,-0.05811718,-0.61913604,0.39285588,5.273555,9.596442,-1.2481146,-0.07765095,-0.016101541,9.146488,-0.18970281,-0.06754224,-1.1397907
t33,0.3601692,-0.408672,-0.01547662,4.222058,5.806065,-1.0166181,-0.04665827,-0.0078684585,9.20374,-0.8919901,-0.112118855,-0.5194602
t34,0.47674352,-0.41064063,-0.030222237,4.265739,6.0329375,-1.0499289,-0.04826573,-0.009604824,9.406922,-0.87812877,-0.107864015,-0.5516957
t35,2.02763,-0.18768679,-0.15058576,0.05236188,7.7208023,7.585766,11.163371,-0.09512765,-0.12463276,2.582383,-0.06267098,7.4378357
t36,0.25397435,-0.16323328,-0.019162133,0.2091173,0.76867044,6.9332066,15.849012,-0.06733312,-0.3838586,6.488242,-0.0044321083,2.0614405
t37,0.17558198,-0.14488629,0.27017307,0.18068221,0.58468604,7.1531863,15.766481,-0.060432915,-0.36825997,6.5197597,-0.0066758213,2.1637995
t38,0.2469864,-0.39794457,-0.02842815,4.6808534,6.27402,-1.0675505,-0.048642673,-0.00043381058,9.169582,-1.0090975,-0.09174055,-0.64052767
