"accepted_species","trait_ARD"
"t8","1"
"t13","1"
"t14","0"
"t15","0"
"t83","0"
"t215","1"
"t239","1"
"t244","1"
"t289","1"
"t290","1"
"t164","0"
"t267","1"
"t268","1"
"t107","0"
"t89","0"
"t59","1"
"t53","1"
"t140","0"
"t152","0"
"t153","0"
"t224","1"
"t225",NA
"t201","0"
"t165","0"
"t207",NA
"t227",NA
"t228","0"
"t202","0"
"t186","1"
"t198","1"
"t274",NA
"t275","0"
"t195","0"
"t194","0"
"t168","0"
"t139","0"
"t90","1"
"t80","1"
"t81","1"
"t183","0"
"t273","1"
"t283","1"
"t284",NA
"t291","1"
"t292","1"
"t216","1"
"t189","1"
"t254","1"
"t255","1"
"t141","1"
"t95","0"
"t176","1"
"t177","1"
"t174","1"
"t188","1"
"t249",NA
"t256","1"
"t257","1"
"t191","1"
"t143","1"
"t144","0"
"t124","0"
"t130","0"
"t134","0"
"t135","0"
"t104","1"
"t97","0"
"t98","1"
"t204",NA
"t264","1"
"t265","1"
"t77","1"
"t79",NA
"t126","0"
"t127","1"
"t56","0"
"t64","0"
"t93","0"
"t94","0"
"t6","0"
"t3","0"
"t9","0"
"t10","0"
"t21","1"
"t37","0"
"t38","1"
"t29","1"
"t26","0"
"t62","0"
"t63","0"
"t50",NA
"t16","0"
"t24","1"
"t52","0"
"t71","0"
"t72","0"
"t31","0"
"t17","0"
"t57","1"
"t66","0"
"t74","1"
"t75",NA
"t70","1"
"t119","0"
"t235","0"
"t236","0"
"t73","1"
"t58","0"
"t18","0"
"t22","0"
"t110","0"
"t111","0"
"t208","1"
"t209",NA
"t173","1"
"t192","1"
"t193","0"
"t181","1"
"t187","0"
"t211","0"
"t237","0"
"t238","0"
"t231","0"
"t232",NA
"t155","1"
"t166","1"
"t167","0"
"t154",NA
"t133","0"
"t102","0"
"t103","1"
"t114","0"
"t115","0"
"t67","0"
"t258","0"
"t259","0"
"t101","0"
"t100","0"
"t99","0"
"t120","0"
"t136","1"
"t137","1"
"t156","1"
"t157","0"
"t212","1"
"t269","0"
"t270","0"
"t131","1"
"t245",NA
"t246","0"
"t222","0"
"t223",NA
"t221","0"
"t281","0"
"t282","0"
"t241","0"
"t247","0"
"t248","0"
"t178","0"
"t184","0"
"t185","0"
"t182","0"
"t196","0"
"t197","1"
"t108","0"
"t260","1"
"t261","1"
"t287","0"
"t288","0"
"t219","1"
"t279","1"
"t280","1"
"t278","1"
"t112","0"
"t160","0"
"t161","0"
"t121","0"
"t84","1"
"t82","0"
"t91","0"
"t92","0"
"t142","1"
"t229","1"
"t230","1"
"t190","1"
"t171","1"
"t199","1"
"t200","0"
"t226","1"
"t233","1"
"t234","1"
"t210","1"
"t169","0"
"t170","1"
"t147","1"
"t148","1"
"t220",NA
"t271",NA
"t272","0"
"t105",NA
"t285","0"
"t286","0"
"t266","0"
"t146",NA
"t213","1"
"t214","1"
"t217","1"
"t218","1"
"t242",NA
"t243","1"
"t151","1"
"t118",NA
"t87","0"
"t88","0"
"t54","0"
"t55","0"
"t30","0"
"t68","0"
"t158","1"
"t159","1"
"t180","1"
"t251","1"
"t252","1"
"t253","1"
"t240","0"
"t175","1"
"t179",NA
"t203","1"
"t276","0"
"t277","0"
"t35","0"
"t36","0"
"t28","0"
"t25","1"
"t27","0"
"t60",NA
"t61","0"
"t23","0"
"t43","1"
"t47","1"
"t48","1"
"t33",NA
"t34","1"
"t32","1"
"t96","1"
"t122","1"
"t123","0"
"t205","1"
"t206",NA
"t250","1"
"t262","0"
"t263","0"
"t172",NA
"t125","0"
"t128","0"
"t129","0"
"t106","0"
"t85","1"
"t86","1"
"t46","1"
"t69","1"
"t78","0"
"t113","0"
"t116","0"
"t162","1"
"t163",NA
"t132","1"
"t138","1"
"t149","1"
"t150","1"
"t145","0"
"t117",NA
"t109","1"
"t76","1"
"t65","0"
"t51","0"
"t49","0"
"t42","1"
"t44","1"
"t45","1"
"t41","1"
"t40","1"
"t39","1"
"t2","0"
"t11","1"
"t12",NA
"t7","0"
"t19","0"
"t20","0"
"t4","1"
"t5","0"
"t1","0"
