,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
t1,10.494965,8.568342,11.439394,6.4993186,10.143862,9.400386,3.9040375,8.675291,2.9936693,6.084188,5.3071227,5.8509364,4.248529,5.93608,2.6245372,4.909012,5.252367,3.9970908,4.6244707,7.5308347,3.1055403,6.068843,2.6969774,6.438761,2.3397286,2.7141814,4.0274205,5.035603,4.5075183,5.834183,3.062986,4.106943,4.0126867,6.5595856,4.147614,4.2702227,4.797663,6.0424557,4.814463,5.568504,4.5750146,4.0937734,6.242794,4.4040294,5.527566,5.3519526
t2,10.566955,8.371129,11.306535,6.7388797,9.797049,9.141076,3.9310405,8.341504,3.3096554,6.2125635,5.433495,5.701507,4.220404,5.8196855,2.8707538,4.699514,5.4781866,3.7822118,4.3832636,7.235293,3.0094416,6.0962877,2.9487352,6.557249,2.6282723,2.7639391,4.102253,4.9114194,4.3555913,5.674927,3.2591758,4.2242002,3.8538568,6.7643676,4.0932145,4.162344,4.6721983,6.3509674,4.6555147,5.864127,4.819327,4.281004,6.0301204,4.55386,5.529239,5.667527
t3,10.587379,8.398159,11.295156,6.7475824,9.828607,9.133791,3.9076214,8.371287,3.2794297,6.2211056,5.4450483,5.7168794,4.195505,5.791814,2.855314,4.6922326,5.4710608,3.7920997,4.3801527,7.260553,2.9806113,6.1021576,2.9251058,6.574659,2.6149516,2.7759266,4.094335,4.9296656,4.367436,5.6700296,3.2616982,4.2155094,3.8619313,6.774268,4.0836387,4.1336303,4.6603537,6.348565,4.6541185,5.836199,4.8039804,4.301626,6.0547657,4.5398755,5.5114613,5.6560297
t4,10.585385,8.358913,11.260559,6.7743545,9.64101,9.098362,3.9268625,8.223194,3.411672,6.246256,5.4507976,5.6827326,4.226655,5.822036,2.9162478,4.668732,5.5115514,3.7529693,4.3362756,7.187788,3.001489,6.0856576,2.9905,6.5894823,2.6893327,2.763194,4.1193376,4.9037943,4.3158526,5.668285,3.2959082,4.2631927,3.8288085,6.8031297,4.0443835,4.161605,4.653403,6.411214,4.6159196,5.9135613,4.867819,4.3132644,6.0135503,4.587713,5.5145965,5.7220306
t5,10.588036,8.374992,11.239774,6.781366,9.699089,9.091843,3.907121,8.265425,3.3688316,6.259001,5.44641,5.684774,4.2020307,5.788395,2.8991158,4.677572,5.498183,3.7461479,4.3331037,7.184412,2.990868,6.079334,2.9681468,6.5904665,2.688873,2.7893457,4.1251225,4.922602,4.3183894,5.678157,3.2818384,4.2634315,3.8502235,6.795855,4.0471873,4.1295047,4.6519804,6.4091153,4.620986,5.8907943,4.85839,4.3288226,6.004126,4.579549,5.50535,5.720863
t6,10.582112,8.336181,11.273461,6.7882395,9.718929,9.085483,3.935034,8.289447,3.3580618,6.2398686,5.4573298,5.673627,4.218074,5.7967405,2.9238722,4.6540422,5.525119,3.7364879,4.329915,7.176287,2.9871001,6.098184,2.9984014,6.582975,2.6916058,2.773781,4.1192117,4.893551,4.3244467,5.6498427,3.2969205,4.25169,3.822274,6.810543,4.087988,4.13869,4.6440973,6.4164186,4.6187105,5.923799,4.875608,4.325031,5.9895353,4.582053,5.5252204,5.730641
t7,10.627779,8.196733,11.106646,6.8976374,8.944115,8.960752,3.979418,7.7772994,3.8272495,6.2689333,5.536341,5.485866,4.236024,5.756497,3.139839,4.5581975,5.637722,3.5692906,4.1764326,6.9328175,3.0078113,6.126524,3.224595,6.614118,2.9517534,2.8568084,4.280981,4.78913,4.182569,5.5817757,3.4062188,4.326894,3.7493296,6.946942,4.095505,4.110872,4.6359463,6.631694,4.5156074,6.1733084,5.0681,4.442531,5.7602987,4.7320995,5.613167,5.916808
t8,10.62141,8.105692,11.041439,6.914265,8.590894,8.949124,4.0352125,7.5366225,4.044545,6.2365603,5.554599,5.388941,4.2547865,5.7781167,3.219211,4.562629,5.6591163,3.4892228,4.144744,6.815577,3.065987,6.165619,3.3192997,6.5897326,3.0543323,2.8965518,4.3797407,4.7246947,4.12312,5.5712185,3.4206595,4.3427143,3.7359312,6.972043,4.1530337,4.143382,4.6712203,6.6947765,4.4875674,6.303248,5.1414204,4.4672933,5.6165037,4.8222933,5.710637,5.9872165
t9,10.631817,8.15598,11.078706,6.9081483,8.824997,8.950612,4.0014935,7.687024,3.9113245,6.254309,5.547472,5.441657,4.247145,5.764085,3.1791801,4.5548944,5.65312,3.5357823,4.1558394,6.87957,3.0292938,6.1401258,3.2707734,6.6079607,2.9990418,2.8739738,4.3246126,4.758745,4.156127,5.5716486,3.4212844,4.336642,3.7383313,6.964536,4.1115136,4.1212707,4.64614,6.665961,4.499507,6.228836,5.104501,4.455172,5.7005253,4.7722864,5.6529627,5.947242
t10,10.638674,8.271626,11.163594,6.886856,9.256155,8.986167,3.9392571,7.999566,3.6134741,6.2792754,5.518261,5.580717,4.2298217,5.7686234,3.0746634,4.5688286,5.617956,3.6418405,4.2028913,7.037231,2.9662137,6.1053967,3.1391737,6.6366224,2.8618908,2.8054502,4.1954103,4.8447347,4.239618,5.596906,3.3920796,4.314418,3.7434292,6.926631,4.048148,4.1023984,4.6061864,6.568281,4.5327964,6.051778,5.0114875,4.416986,5.8863783,4.6669703,5.537115,5.8464966
t11,10.652701,8.15835,11.068566,6.929235,8.8621025,8.947394,3.9933493,7.704493,3.8959117,6.256907,5.5550885,5.4444275,4.2540665,5.776742,3.2006755,4.544915,5.6668315,3.5350246,4.13421,6.8816423,3.0202758,6.1424747,3.2910616,6.6274343,3.0134137,2.8623283,4.3245244,4.7612696,4.153366,5.565012,3.4370651,4.349784,3.7037675,6.991302,4.0932837,4.122479,4.6355863,6.677338,4.4799557,6.2219667,5.1222496,4.466242,5.707973,4.7801204,5.643385,5.9449763
t12,10.624727,8.186906,11.102255,6.8967295,8.905563,8.962244,3.9875321,7.7495947,3.8536723,6.2651424,5.5355916,5.4773293,4.237002,5.759721,3.1487207,4.560958,5.637326,3.5608842,4.1728354,6.9208984,3.0156617,6.131068,3.2347503,6.609763,2.9608498,2.8604474,4.290409,4.7824593,4.175895,5.583305,3.4085305,4.3277135,3.7488775,6.9494653,4.1042905,4.116685,4.641215,6.639103,4.5145473,6.187109,5.07571,4.442741,5.7442293,4.741104,5.624073,5.9251323
t13,10.628019,8.168358,11.085267,6.903874,8.888166,8.950171,3.9954116,7.730446,3.8727596,6.262724,5.5433035,5.452337,4.2441926,5.75849,3.1653125,4.5556855,5.6491146,3.5426526,4.159905,6.892353,3.0247936,6.1318126,3.2544038,6.609976,2.9867241,2.8718703,4.313784,4.767576,4.1585484,5.5775213,3.4177454,4.3385844,3.7449698,6.95705,4.1023617,4.118324,4.6427217,6.6597004,4.5018015,6.2098694,5.0950184,4.452212,5.724041,4.76191,5.6397004,5.9436116
t14,10.658127,8.214814,11.109412,6.9198117,8.999987,8.955248,3.958514,7.822334,3.7755697,6.2746596,5.545193,5.5072126,4.2410107,5.764415,3.1514227,4.5426106,5.653365,3.5864418,4.1540046,6.95374,2.982358,6.122351,3.2282448,6.6416173,2.9502592,2.8360379,4.2611856,4.8020825,4.1937695,5.571441,3.4273071,4.3358407,3.712399,6.9743247,4.057296,4.1008773,4.61367,6.6381536,4.498471,6.139413,5.0780826,4.4512005,5.7965856,4.7224283,5.582572,5.9000773
t15,10.610823,8.020244,10.974696,6.9432735,8.179605,8.952702,4.092754,7.269137,4.271772,6.2128835,5.564179,5.3059797,4.264723,5.816443,3.299671,4.5704503,5.6785936,3.4054494,4.1083903,6.7042055,3.1282022,6.218736,3.414485,6.5694003,3.16212,2.9186072,4.4697914,4.668039,4.062581,5.5731683,3.4187145,4.364772,3.712657,6.9992247,4.2193637,4.187401,4.7100434,6.7476525,4.448526,6.4248476,5.2190285,4.489734,5.4759808,4.9139457,5.7981224,6.058026
t16,10.595738,7.9959197,10.9666195,6.932054,8.142777,8.948885,4.1109257,7.2384753,4.308594,6.190243,5.5639424,5.279373,4.273796,5.8126173,3.3078196,4.588666,5.6767907,3.3908787,4.108147,6.673367,3.1511016,6.222452,3.4060643,6.549012,3.175558,2.9343348,4.4949007,4.6459913,4.059543,5.5771074,3.4260645,4.357692,3.7422535,6.980507,4.236672,4.1884294,4.7175946,6.763811,4.452223,6.4589257,5.233007,4.4866548,5.4414864,4.9427757,5.830033,6.0738354
t17,10.621932,8.247011,11.15706,6.8772783,9.195125,8.984047,3.9528728,7.9544587,3.6615095,6.2733617,5.521899,5.552159,4.224931,5.7556715,3.07853,4.568367,5.6142178,3.6246293,4.2135835,7.0150595,2.980816,6.114443,3.1566796,6.618137,2.8696814,2.824508,4.2152925,4.8266335,4.230529,5.59215,3.3855507,4.3019686,3.7639432,6.919351,4.0834627,4.101326,4.623487,6.5744796,4.545032,6.0940013,5.0116763,4.416632,5.848708,4.674872,5.5661,5.86355
t18,10.616111,8.035574,10.986448,6.938618,8.247833,8.950149,4.0806975,7.3192782,4.2343817,6.216987,5.5651836,5.320508,4.263712,5.808681,3.287026,4.566386,5.6761675,3.421826,4.115175,6.7246027,3.1147244,6.208295,3.4013824,6.574992,3.1423252,2.9156337,4.4536324,4.678719,4.073725,5.569127,3.4218516,4.3599997,3.7132196,6.997837,4.205494,4.17803,4.702097,6.7388806,4.4564614,6.405004,5.2044563,4.487611,5.4990263,4.8960037,5.782864,6.044072
t19,10.636133,8.19657,11.1268425,6.899718,9.0428705,8.958081,3.9780207,7.8460274,3.766795,6.2620087,5.5339203,5.4954314,4.2458835,5.759136,3.1328375,4.552716,5.648423,3.581419,4.1679463,6.942566,2.9991624,6.1127806,3.2243397,6.628316,2.9438975,2.842967,4.269237,4.7835026,4.1867023,5.571178,3.4231176,4.3335385,3.7388306,6.955225,4.0791693,4.1083803,4.6168776,6.6382008,4.508416,6.1587276,5.0699477,4.4339633,5.7841754,4.7327023,5.6009665,5.912514
t20,10.577803,8.292467,11.276376,6.7957263,9.630022,9.075407,3.9601295,8.221044,3.4287734,6.232344,5.4635077,5.6434426,4.235977,5.8096805,2.958935,4.6391473,5.549109,3.7157643,4.3133264,7.1415634,3.0028636,6.1034403,3.049145,6.578779,2.7237434,2.7723863,4.138934,4.8613563,4.3041463,5.631602,3.317335,4.260046,3.8005946,6.829567,4.097268,4.156127,4.644464,6.4474607,4.606322,5.9760528,4.9075246,4.3250437,5.957835,4.6092043,5.546344,5.759062
t21,10.674714,8.226265,11.108435,6.930373,8.984547,8.959155,3.949857,7.819752,3.7656672,6.274183,5.546916,5.52551,4.24195,5.776117,3.1607628,4.538741,5.6583834,3.5994875,4.141252,6.9605074,2.9700894,6.1254334,3.2226875,6.6542816,2.9528368,2.8202744,4.247166,4.8116255,4.202264,5.572538,3.431242,4.3365736,3.6915865,6.984366,4.0293007,4.0996857,4.6037374,6.6428423,4.4900928,6.1130743,5.0870495,4.4533434,5.8174353,4.7144175,5.5621834,5.888974
t22,10.679894,8.207132,11.104783,6.9288344,8.897124,8.950636,3.9498928,7.736994,3.8575428,6.260754,5.562763,5.496172,4.2398376,5.7582483,3.1770751,4.530888,5.6593924,3.5913038,4.15253,6.948705,2.9690404,6.1373467,3.2573252,6.640295,2.9546928,2.841789,4.266862,4.796628,4.210138,5.5417523,3.445952,4.3143578,3.6998775,6.9964356,4.067615,4.083025,4.614844,6.6417418,4.5088525,6.166646,5.081856,4.4604187,5.7595673,4.7187657,5.594416,5.8865714
t23,10.661236,8.235551,11.135226,6.9081054,9.029313,8.965907,3.9449506,7.845593,3.754351,6.267371,5.542117,5.5342164,4.2354064,5.759901,3.1314752,4.5463715,5.641811,3.6173797,4.174773,6.988919,2.9663994,6.1202,3.2042437,6.6380196,2.9118986,2.825352,4.2323766,4.8163834,4.225994,5.5640845,3.4235086,4.311687,3.7214622,6.9650807,4.0571156,4.0886,4.6088123,6.6104937,4.5221105,6.1155863,5.0499253,4.438044,5.8176074,4.6925306,5.5668025,5.866949
t24,10.691423,8.216391,11.157813,6.9199905,8.992467,8.958599,3.9420874,7.8108373,3.7922544,6.2353954,5.5599346,5.531391,4.2471647,5.761951,3.1547532,4.528052,5.664285,3.636048,4.1641493,6.9902463,2.944411,6.127502,3.231741,6.6485286,2.908791,2.8137848,4.226349,4.796621,4.253127,5.525964,3.4547071,4.291054,3.6967142,6.9930634,4.058507,4.0697656,4.5888453,6.6212316,4.525641,6.143932,5.059486,4.436098,5.787997,4.6928277,5.575313,5.8470464
