"accepted_species","trait_ARD"
"t1","1"
"t109","1"
"t110","1"
"t69","1"
"t72","0"
"t121","0"
"t122","0"
"t64","0"
"t26","0"
"t52","0"
"t75","0"
"t76","0"
"t38","0"
"t42","0"
"t43","0"
"t104","0"
"t105","0"
"t18","0"
"t25","0"
"t32","1"
"t33","1"
"t29","0"
"t30","0"
"t102","1"
"t103","1"
"t65","1"
"t51","0"
"t41","0"
"t45","0"
"t119","0"
"t120","0"
"t2","0"
"t36","0"
"t37","0"
"t14","1"
"t56","1"
"t57","1"
"t46","0"
"t47","0"
"t80","0"
"t81","0"
"t40","1"
"t90","0"
"t91","0"
"t111","0"
"t112","0"
"t15","0"
"t117","1"
"t118","1"
"t95","1"
"t24","1"
"t77","1"
"t78","1"
"t44","1"
"t11","0"
"t16","0"
"t17","0"
"t12","0"
"t107","1"
"t108","1"
"t106","1"
"t39","1"
"t50","1"
"t70","1"
"t71","1"
"t35","0"
"t19","0"
"t22","0"
"t23","0"
"t5","0"
"t4","0"
"t3","0"
"t13","0"
"t58","0"
"t67","0"
"t68","0"
"t86","1"
"t87","1"
"t88","0"
"t89","0"
"t92","0"
"t93","0"
"t127","0"
"t128","0"
"t20","0"
"t96","0"
"t97","0"
"t53","0"
"t61","0"
"t62","0"
"t82","0"
"t83","0"
"t100","0"
"t101","0"
"t48","1"
"t49","0"
"t113","0"
"t114","0"
"t85","0"
"t98","0"
"t99","0"
"t84","0"
"t54","0"
"t27","0"
"t6","1"
"t10","0"
"t21","0"
"t31","0"
"t73","0"
"t74","0"
"t115","0"
"t116","0"
"t63","0"
"t55","0"
"t79","0"
"t94","0"
"t125","0"
"t126","0"
"t123","1"
"t124","1"
"t59","0"
"t60","1"
"t7","1"
"t34","0"
"t129","0"
"t130","0"
"t66","0"
"t28","0"
"t8","1"
"t9","1"
