"accepted_species","trait_OU_scaled"
"t1",3.72746427818802
"t2",4.05324055386005
"t4",2.92077666342241
"t8",2.3181325978943
"t9",1.87374992535287
"t13",0.797460375439153
"t14",1.11786672186114
"t17",0.24923106394851
"t18",-0.027868768510141
"t21",-0.101763397733121
"t159",0.0689619695393717
"t172",NA
"t173",0.32123054266708
"t184",0.59846058829717
"t185",0.300993278657326
"t174",0.481799276233629
"t36",0.839385305897913
"t29",-0.704479253101494
"t32",-0.261336971777493
"t55",-0.35051618453999
"t56",0.251288773730158
"t100",0.0280092736522525
"t110",-0.65749345615988
"t111",NA
"t72",0.278910390342585
"t85",-1.78637065994127
"t86",-0.484063904217949
"t50",-1.90217797557791
"t65",-0.594290677879256
"t66",-1.87322488262559
"t101",-0.137281554370207
"t117",0.507927830674714
"t118",-0.403524401871808
"t26",-0.302403162303443
"t19",NA
"t20",0.829979713162416
"t5",NA
"t6",0.674013061395893
"t7",2.66644077446019
"t25",-1.00491917254633
"t52",-0.505045411978128
"t80",-1.94071700341956
"t81",-1.27465760983133
"t62",NA
"t33",-0.349368077417729
"t165",-0.810662631714318
"t168",-0.984501009538459
"t240",-1.84716281303027
"t241",-1.90645168702979
"t125",-0.60306241550281
"t47",NA
"t48",1.49405934612456
"t38",0.236910598205116
"t10",-0.203661123699789
"t28",-0.137435650967357
"t108",0.878697650428747
"t109",NA
"t106",NA
"t51",-0.375696067479662
"t89",0.0513987110276743
"t143",-0.231087753509145
"t179",0.886252667033018
"t180",-0.0633932630896951
"t177",1.00109955468292
"t69",-0.277760831251039
"t79",-0.231747694551381
"t99",-0.615515064461052
"t170",0.0184634349301456
"t171",-0.584090117920476
"t134",1.06836872428571
"t135",-0.0435240477341819
"t160",-0.615263136557405
"t161",-0.151712873221774
"t46",-1.54732339635328
"t30",-1.38370424630776
"t40",0.494699677823477
"t57",NA
"t164",-1.01413691369389
"t181",-1.06544295870744
"t182",-1.45768058589417
"t144",-1.59732028063241
"t211",-0.0957221248873873
"t212",NA
"t132",-1.37198378722881
"t87",-0.366278414761261
"t88",0.239214802744446
"t238",-0.436528695307592
"t239",-0.700407660572288
"t147",0.620658116558699
"t148",-0.774619729845771
"t94",-1.65663143785094
"t95",-0.867719917572076
"t73",0.682408319783249
"t70",0.67589755916681
"t82",-0.856820921838825
"t83",0.220609445969137
"t61",1.440536128446
"t63",NA
"t64",0.930926605003412
"t59",0.474963928215351
"t49",NA
"t129",-0.148315133564846
"t153",-0.0617210049048408
"t154",0.00378508402108657
"t123",0.477853803162891
"t124",0.475830992653193
"t31",0.825453721773312
"t97",1.57152479281986
"t98",1.02780144421336
"t115",0.328792157609496
"t116",-0.375628041499412
"t78",0.603046728961239
"t127",0.269786115024408
"t131",0.577050441575105
"t201",1.1394968736144
"t202",0.343793797398428
"t35",NA
"t44",-0.267191729015354
"t45",0.543062766256205
"t39",0.969755208895266
"t60",-1.90114701214319
"t67",0.994234243388938
"t68",-0.0236108402209224
"t188",-0.0713151007675237
"t189",-0.239870606249278
"t130",0.251905392141281
"t195",0.900541796432317
"t196",0.206130421999738
"t141",1.09863895863281
"t126",NA
"t186",0.491730188500194
"t187",-0.135125832867286
"t76",-1.14115675477676
"t77",0.74667427776733
"t74",-0.554316334414833
"t84",-1.65122401099936
"t155",0.195509245552601
"t157",0.0903366823740653
"t158",NA
"t213",0.73427038940296
"t214",0.614734420072958
"t209",-0.923489639955949
"t210",-0.680411658135134
"t199",-0.261270847120694
"t215",NA
"t216",-0.33215971381843
"t232",-0.919447575608891
"t233",-0.857520095726761
"t142",-0.228514840168101
"t169",0.210822780707337
"t197",0.801548127153095
"t198",0.353070984749345
"t162",1.052128457955
"t163",0.801490169332242
"t107",-0.215923322272779
"t58",-1.76632329923
"t121",-0.624111542121636
"t122",0.22176841618955
"t103",-1.76200417911123
"t96",NA
"t183",-1.43585345117063
"t207",0.596951249139144
"t208",0.211436664631991
"t190",-1.25897908171918
"t225",-1.96694844291965
"t226",NA
"t194",NA
"t191",-1.42504530389376
"t205",0.0701574964664088
"t206",-0.878650955554735
"t178",-1.55657927025875
"t166",0.0998718389972516
"t167",-0.657231875492106
"t175",-0.452926798573086
"t176",-0.532015884223679
"t75",0.285938266110161
"t223",0.0751664783843095
"t224",0.0751778603240307
"t242",NA
"t243",0.0994788572545628
"t112",1.61677373528927
"t93",0.628835065275508
"t139",-0.231032879079018
"t140",-0.374436553803414
"t192",0.490438419706618
"t193",-0.371383806254144
"t156",-0.334582675192461
"t234",-2.55611805453334
"t235",-2.40063622805051
"t219",NA
"t220",-0.0145352779982005
"t133",-0.660179303465863
"t151",0.382407134273234
"t152",0.722987967549054
"t138",0.186006004758615
"t204",1.3336138020949
"t221",1.36420559398592
"t222",0.866489230698373
"t203",0.84407458634696
"t227",0.483123580299432
"t228",0.600081092070787
"t230",0.872499139013018
"t231",0.325989132195224
"t41",0.639560043620677
"t37",0.343540515028522
"t34",0.000788716160408926
"t136",1.49740596648203
"t137",NA
"t145",NA
"t146",NA
"t42",-0.406809560367538
"t3",3.07843760641068
"t27",-0.956718165133572
"t43",-1.3362838920943
"t71",0.757216255018262
"t119",0.153794083065743
"t120",0.684576291956879
"t102",0.871117465011325
"t54",-0.970151362287334
"t53",-0.150474879720924
"t217",-1.07729893168557
"t218",-1.17416701915821
"t200",0.0338948404720902
"t104",-0.330842249098129
"t105",0.0717986134178319
"t128",-0.559210877587595
"t236",0.759469048532407
"t237",0.82243316230108
"t229",0.561720606810856
"t149",0.104775628447695
"t150",-0.871817701046563
"t113",0.339265532424779
"t114",-1.46534520015917
"t90",-0.220022275814499
"t91",0.102445678645081
"t92",-0.182930690901628
"t22",-0.418427608789316
"t23",-0.1242864336751
"t24",-0.364673792705955
"t12",-0.547441284828663
"t11",0.725213602533936
"t15",1.51855385842478
"t16",0.452806657369234
