,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,2200.0,2200,2200,2200,2200,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
unique,,6,2,2,1,,,,,,,,,,,
top,,BM,mcar,ultrametric,continuous,,,,,,,,,,,
freq,,400,1100,1200,2200,,,,,,,,,,,
mean,190.4090909090909,,,,,0.8757964894324275,0.4125529484135168,0.6491391977925801,0.6106018984806693,0.4503949743967749,0.6244420957673653,0.6095827441879935,0.4571481045637154,0.45781130450313545,0.5007227047185345,0.4709409870628279
std,115.13744444495879,,,,,0.26127031897179337,0.29461502110814064,0.2876449065689763,1.1278066866750283,0.33579295812201554,1.4885840349975072,0.8054127701292038,0.318955268186008,0.3038153494551507,0.31929214334262634,0.33501527909348855
min,0.0,,,,,7.33137435857406e-05,9.460263260594036e-13,0.0004390065469549,0.0006360314494867,4.178537273643942e-09,0.0073749007353514,0.0008969836220765,6.438731666357275e-06,7.827792854048221e-07,1.2441079718328308e-05,8.696912069298636e-06
25%,91.0,,,,,0.9270965265989317,0.19888067123829511,0.47850809632146146,0.3293303621789134,0.2117550674947567,0.34010640821703125,0.34925197292881016,0.23242580700033158,0.2412410937584678,0.27406737386542807,0.23771222675836143
50%,183.0,,,,,0.999926686256414,0.35664755444552415,0.6398499395614288,0.5085590251646661,0.3836527006681058,0.5385642854883053,0.5590392310962677,0.4050194960680494,0.41348666399263045,0.48511167837255653,0.4385878787055185
75%,289.25,,,,,0.999926686256414,0.5979243205087508,0.8005735282138955,0.7364006886046184,0.6505350328776826,0.7490026401756668,0.7751208606302273,0.6569022402845481,0.6441406657151407,0.7028645436361856,0.6631125596004954
max,399.0,,,,,1.00832101138695,2.2416403766933617,2.6124073384355286,36.60057884076015,2.6784063882984936,55.03765695098281,18.77306497244842,2.6075951610797183,2.269075617898056,4.417661899491002,6.251309184782016
