,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,2200.0,2200,2200,2200,2200,2184.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
unique,,6,2,2,1,,,,,,,,,,,,,
top,,ER,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,400,1100,1200,2200,,,,,,,,,,,,,
mean,190.4090909090909,,,,,0.38119172597732676,0.1327870255748443,0.16131450318358984,0.16979675659457036,0.17188749532626374,0.17596256389311007,0.16991319760507,0.1695652874422499,0.1552954109933249,0.16287875261782833,0.19929162572622522,0.15806631431937465,0.15482783615257176
std,115.13744444495879,,,,,1.3073299813355952,0.09643118243677345,0.10217761963904619,0.09984979310786204,0.1060802005545015,0.11910809271839061,0.10223977722251465,0.10307203942885906,0.11029202092226537,0.10939433158211621,0.14313593790651455,0.11235665948631819,0.10953275279929363
min,0.0,,,,,-4.65218350580921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,91.0,,,,,0.0915002256296369,0.050168462980985325,0.08848619047507063,0.09194886499185898,0.0919296685066586,0.08959107416896697,0.09396567536997343,0.09195721434079987,0.0677958641614127,0.07827590558489206,0.0849048943230077,0.06580056649190855,0.0659246612003704
50%,183.0,,,,,0.4193893379995275,0.1309651258325742,0.1715493827160493,0.18508898165996004,0.18549348007228356,0.1812372742002826,0.18205896267119437,0.18360661109099113,0.1607334439295527,0.1719772180301058,0.19544407047948148,0.1611831175947479,0.1589979547180974
75%,289.25,,,,,0.6439768485375428,0.20527587249783716,0.23075652603074764,0.2435149588715283,0.2451054038636211,0.25039150610514727,0.24493778899534924,0.24370546793480133,0.23294942352516043,0.24107304041873034,0.29735243861842714,0.23563648801647427,0.23090714531605075
max,399.0,,,,,35.4844691069326,0.5517360305912471,0.6223456790123457,0.5999924646771604,0.7703138554588769,0.8161889450850408,0.7980373816621219,0.933671781748092,0.6673288378080401,0.7872545988707584,0.86846440701969,0.8843692413460056,0.7396554158669479
