"accepted_species","trait_value"
"Cynanchum_laeve",1
"Apocynum_androsaemifolium",1
"Apocynum_cannabinum",1
"Asclepias_asperula",NA
"Asclepias_incarnata",1
"Asclepias_lanuginosa",1
"Asclepias_mellodora",1
"Asclepias_ovalifolia",1
"Asclepias_speciosa",1
"Asclepias_stenophylla",0
"Asclepias_sullivantii",1
"Asclepias_syriaca",1
"Asclepias_tuberosa",1
"Asclepias_verticillata",1
"Asclepias_viridiflora",1
"Asclepias_viridis",1
"Cynanchum_thesioides",1
"Funastrum_cynanchoides",NA
"Centaurium_pulchellum",0
"Cicendia_quadrangularis",0
"Comastoma_tenellum",0
"Frasera_speciosa",0
"Gentiana_algida",1
"Gentiana_aquatica",0
"Gentiana_dahurica",1
"Gentiana_macrophylla",NA
"Gentiana_nivalis",0
"Gentiana_prostrata",1
"Gentiana_pyrenaica",1
"Gentiana_scabra",1
"Gentiana_septemfida",0
"Gentiana_sino-ornata",1
"Gentiana_spathulifolia",0
"Gentiana_squarrosa",0
"Gentiana_straminea",1
"Gentiana_verna",1
"Gentianella_amarella",0
"Gentianella_biebersteinii",0
"Gentianella_propinqua",0
"Gentianopsis_barbata",0
"Gentianopsis_paludosa",NA
"Halenia_elliptica",0
"Lomatogonium_carinthiacum",0
"Sabatia_grandiflora",0
"Sabatia_stellaris",0
"Sebaea_ovata",0
"Swertia_perennis",1
"Sinoswertia_tetraptera",0
"Zeltnera_davyi",0
"Phyllangium_divergens",0
"Asperula_conferta",1
"Cruciata_laevipes",1
"Diodia_virginiana",0
"Galium_album",0
"Galium_aparine",0
"Galium_bifolium",NA
"Galium_boreale",1
"Galium_circaezans",1
"Galium_concinnum",NA
"Galium_mollugo",1
"Galium_parisiense",0
"Galium_porrigens",0
"Galium_saxatile",1
"Galium_spurium",0
"Galium_sterneri",1
"Galium_texense",0
"Galium_tinctorium",1
"Galium_triflorum",1
"Galium_verum",NA
"Mitchella_repens",1
"Sherardia_arvensis",0
"Stenaria_nigricans",1
"Cynanchum_viminale",0
"Cynanchum_boveanum",0
"Leichhardtia_australis",0
"Periploca_laevigata",0
"Vincetoxicum_hirundinaria",1
"Centaurium_erythraea",0
"Centaurium_tenuiflorum",0
"Enicostema_axillare",0
"Gentiana_acaulis",1
"Gentiana_clarkei",NA
"Gentiana_clusii",NA
"Gentiana_lutea",0
"Gentianella_germanica",0
"Gentianopsis_detonsa",0
"Cynanchica_pyrenaica",0
"Asperula_scoparia",NA
"Coprosma_petriei",1
"Galium_pumilum",0
"Galium_richardianum",0
"Galium_setaceum",0
"Galium_verrucosum",0
"Kohautia_caespitosa",1
"Opercularia_ovata",1
"Pentanisia_ouranogyne",1
"Richardia_humistrata",1
"Spermacoce_quadrisulcata",0
"Spermacoce_radiata",0
"Spermacoce_stachydea",0
