,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,1100.0,1100,1100,1100,1100,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
unique,,6,1,2,1,,,,,,,,,,,
top,,BM,phyloNa,ultrametric,continuous,,,,,,,,,,,
freq,,200,1100,600,1100,,,,,,,,,,,
mean,190.9090909090909,,,,,0.8757964894324275,0.44844924482817056,0.6818473570036216,0.7121865482694544,0.4890685643045113,0.7244015862784042,0.6551281920643062,0.493507856224234,0.4959997110880433,0.5240038083063695,0.5075150459053035
std,115.16254647316032,,,,,0.2613297458618993,0.32939189125926027,0.3325426335140036,1.568007101107452,0.3846964331517842,2.085467419444804,0.9687374122653887,0.3658670254241874,0.3459012886860093,0.3624591251241496,0.38847324302689007
min,1.0,,,,,7.33137435857406e-05,9.460263260594036e-13,0.0004390065469549,0.0006360314494867,4.178537273643942e-09,0.0073749007353514,0.0008969836220765,6.438731666357275e-06,7.827792854048221e-07,1.2441079718328308e-05,8.696912069298636e-06
25%,91.0,,,,,0.9270965265989317,0.19750040868990548,0.4807309932141836,0.31549584337274383,0.2080833640985126,0.3291844037671866,0.3336981008813655,0.22819755794023164,0.23824436559837184,0.25505153561354366,0.23298553138956266
50%,183.0,,,,,0.999926686256414,0.39288875295448433,0.6537840824484216,0.532716314417968,0.41297905774185273,0.5614393421528721,0.5879463422367324,0.4314450358053368,0.4528864011109421,0.5057211909321823,0.4697352660737062
75%,289.5,,,,,0.999926686256414,0.6569737649589031,0.852075415295668,0.7854233237330548,0.7097973298057019,0.8081158819987982,0.8320106616250618,0.7142373656188858,0.6978837768560388,0.7440487314332114,0.7248991903785889
max,399.0,,,,,1.00832101138695,2.2416403766933617,2.6124073384355286,36.60057884076015,2.6784063882984936,55.03765695098281,18.77306497244842,2.6075951610797183,2.269075617898056,4.417661899491002,6.251309184782016
