,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,1100.0,1100,1100,1100,1100,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
unique,,6,1,2,1,,,,,,,,,,,
top,,BM,mcar,ultrametric,continuous,,,,,,,,,,,
freq,,200,1100,600,1100,,,,,,,,,,,
mean,189.9090909090909,,,,,0.8757964894324275,0.37665665199886295,0.6164310385815386,0.5090172486918845,0.41172138448903844,0.5244826052563266,0.564037296311681,0.42078835290319694,0.4196228979182275,0.4774416011306994,0.4343669282203522
std,115.16254647316032,,,,,0.2613297458618993,0.25019302397857834,0.22984401979843788,0.25641622901590716,0.2731868598217896,0.25417472213394193,0.5961249789203741,0.25894467587161313,0.2492477837853515,0.2674436129894021,0.26642706486617956
min,0.0,,,,,7.33137435857406e-05,1.6387265197298496e-05,0.0023028405252966,0.0054211001777841,0.0005378197056121,0.0079358354793968,0.0024037864783925,4.400299096968263e-05,4.400299096968263e-05,0.0001464360115234,9.266747085334148e-05
25%,90.0,,,,,0.9270965265989317,0.19969425854934214,0.47827390462939645,0.3461684078787634,0.21601616056192757,0.3455337458563882,0.35862975385540846,0.23579929246550974,0.2455827283351515,0.2899277598222809,0.24404347103209523
50%,182.0,,,,,0.999926686256414,0.3348507328919244,0.6292202382517629,0.49227171279735016,0.36722445685549143,0.5095618108843157,0.5340385799675598,0.39009100764653704,0.39083406399169346,0.465071577639558,0.4116543304938368
75%,288.5,,,,,0.999926686256414,0.5369128866653753,0.762181838725197,0.6960650511635933,0.5888142096174214,0.7051768857307716,0.7292907956415273,0.611992662523437,0.5835276257598743,0.6690393282700442,0.612236519527298
max,398.0,,,,,1.00832101138695,1.4060548246034563,2.323869584722714,1.2810979100316942,1.518097153811297,1.304261358037193,12.541881675543095,1.6555213061548872,1.44261689633617,1.3875917745861606,2.0957077081566737
