,0,1,2,3,4,5,6,7,8,9,10,11,12
t1,-2.0465932,6.926666,3.317399,8.139609,5.9953237,5.9579225,0.7597662,4.887037,4.957869,7.768985,6.245125,5.2133985,6.241393
t2,-2.060033,6.9678793,3.3222222,8.149117,6.039803,5.898666,0.78320855,4.9196362,4.955186,7.7300825,6.2463965,5.220086,6.270202
t3,14.006729,5.020465,2.971934,5.640939,4.518617,6.4436707,2.876326,2.8118224,6.8360124,8.063792,6.2774925,3.016488,4.391312
t4,14.134242,5.0671253,2.926595,5.3004746,4.4546556,6.706614,3.2623389,3.1273808,6.6785197,7.9481745,6.0460243,3.4096112,4.424359
t5,-3.746794,4.788854,3.4169047,7.599173,5.742985,7.1066704,1.4946746,5.385681,6.062291,8.683808,4.611021,3.7964458,5.5078278
t6,14.058157,5.134164,2.9379377,5.188011,4.5498414,6.77039,3.28359,3.100469,6.7912865,7.855611,6.3268223,3.524429,4.7651134
t7,14.00627,5.0361066,2.8798819,5.5809345,4.478618,6.560665,2.9737544,2.889105,6.858906,8.133929,6.1947823,3.0198715,4.28184
t8,-3.7424731,4.588812,3.5143301,7.7454658,5.4581456,7.040825,1.4397688,5.4368925,5.8770285,8.522413,4.551818,3.6575081,5.5032787
t9,-3.6396873,4.776711,3.5297058,7.7244987,5.5691524,6.99432,1.3657384,5.4000177,5.914194,8.523635,4.7128124,3.8275006,5.503656
t10,14.03743,4.9811187,2.895764,5.60042,4.4535027,6.523992,2.9520903,2.8460102,6.7985096,8.037679,6.2601666,3.1212823,4.4285574
t11,14.032753,5.0019774,2.9326522,5.6159925,4.4861536,6.492084,2.9289343,2.8548374,6.809671,8.065871,6.2649393,3.0891912,4.4237657
t12,14.006224,5.009847,2.8464751,5.5387487,4.410394,6.5731435,2.991214,2.819401,6.790893,7.784587,6.056037,3.3831913,4.529261
t13,14.029308,5.0572615,2.8157165,5.334796,4.4044805,6.7163987,3.1946256,2.9590292,6.726527,7.652529,5.9783897,3.6615443,4.6731415
t14,14.268211,4.736613,3.2093632,5.8054404,4.4200125,6.148701,2.6821783,2.7367048,6.458158,7.9453173,6.2718644,3.1375186,4.33624
t15,-1.950982,7.313341,3.4326785,8.075675,6.11808,5.8308444,0.8504124,4.9779234,5.1166945,7.7476797,6.316278,5.4116316,6.1777177
t16,-1.9591347,7.313437,3.4366996,8.05222,6.092591,5.8392353,0.8577192,4.9186378,5.098599,7.760861,6.3821864,5.3915253,6.1608844
t17,-1.8876996,7.3890853,3.3854196,8.138577,6.138631,5.7836194,0.75761276,4.8974366,4.9525447,7.650689,6.4961367,5.46957,6.2368364
t18,14.190481,4.8441877,3.1031432,5.739815,4.4047623,6.2554216,2.7657886,2.8047335,6.5675917,7.978693,6.2306995,3.159078,4.375008
t19,14.247918,4.743398,3.1965692,5.7729897,4.4187264,6.1702514,2.712321,2.7753015,6.465317,7.9204383,6.281914,3.144288,4.3828025
t20,-5.731223,-0.0857593,6.5820713,10.036986,2.5270584,7.2185445,3.9854631,7.396015,3.8365877,0.7766862,6.9034595,4.1764727,6.618002
t21,-5.752589,-0.07654633,6.5840955,9.988432,2.5033114,7.2188835,3.9381175,7.4418445,3.813628,0.81445134,6.913799,4.192399,6.6074595
t22,-1.8111103,7.6062875,3.3992312,8.156983,6.1655946,5.706249,0.7435298,4.9091725,4.9098597,7.559605,6.6818686,5.5978937,6.2530184
t23,14.016138,5.205346,2.933532,5.111202,4.689636,6.7995486,3.2513149,3.0850434,6.9532948,7.8699574,6.585052,3.485501,4.87646
t24,-1.9447578,7.255798,3.3877704,8.1447115,6.1749854,5.7878118,0.8195676,4.955655,5.0408435,7.676192,6.2733817,5.366969,6.235287
t25,-1.9657304,7.2901907,3.4960139,8.032915,6.1749415,5.768475,0.9386457,5.0292244,5.2052584,7.723225,6.21547,5.330005,6.159123
t26,-1.942332,7.392528,3.6619039,7.8628573,6.451334,5.493603,1.26963,5.3222275,5.556244,7.475085,5.805314,5.0904236,6.099383
t27,-2.0206575,7.3208747,3.6622474,7.866811,6.48236,5.5938263,1.2603904,5.3671117,5.5661254,7.470292,5.7387495,5.056612,6.057163
t28,13.34417,5.165181,2.5100572,5.5623417,4.2115636,6.7900386,3.2628913,2.608369,6.620795,7.278506,5.8911333,4.2759733,5.9158974
t29,13.449587,5.1173167,2.496238,5.4883842,4.2924213,6.71719,3.22781,2.6877723,6.650002,7.374257,5.9522505,4.166229,5.7923694
t30,14.327993,5.597181,2.80677,4.771366,4.549575,6.999887,3.654889,3.7245793,6.989148,8.658547,5.4979897,2.6036642,3.088612
t31,-3.8236947,4.533285,3.5485287,7.6671124,5.6246753,7.1320806,1.629139,5.501217,6.012105,8.624986,4.5284157,3.6239438,5.4728456
t32,-5.6067204,-0.07268989,6.5737877,10.1229315,2.577766,7.3042808,4.109032,7.357734,4.032268,0.7244281,6.890177,4.213792,6.7717943
t33,14.307284,4.710965,3.2395768,5.8329434,4.3626986,6.108331,2.661519,2.73091,6.414554,7.888376,6.2216883,3.1993895,4.3459835
t34,-5.586509,0.033778325,6.535594,10.157897,2.459503,7.2345476,4.0082874,7.368337,3.9362085,0.5841806,6.9338684,4.054379,6.530411
t35,-5.5542636,-0.045517452,6.5946665,10.13562,2.56367,7.3653255,4.126897,7.3184934,4.0553055,0.7032611,6.852014,4.250339,6.7606
t36,14.337011,5.6288056,2.795674,4.743555,4.48415,7.0418134,3.6894562,3.7514334,7.040253,8.660767,5.4775825,2.5413444,3.054593
t37,14.326921,5.600258,2.8246517,4.774267,4.5162377,6.995354,3.6619039,3.7265267,7.0121245,8.658573,5.492873,2.5540433,3.0531223
t38,-1.5709573,7.9996185,3.6721778,8.084732,6.556712,5.4808345,0.7089329,5.0870123,4.8712416,7.169193,6.647368,5.7287,6.269272
t39,-1.570285,8.018741,3.8020504,8.099239,6.527087,5.5247273,0.70247877,5.103788,4.9615183,7.169422,6.536013,5.6888723,6.241534
t40,-3.7688835,4.716469,3.4219875,7.723282,5.7231236,7.108553,1.595731,5.4162416,6.053646,8.641583,4.4725676,3.6100733,5.5556974
t41,-3.7506752,4.673532,3.3226695,7.548721,5.7136946,7.183422,1.6990353,5.455957,5.997121,8.764321,4.502158,3.6610732,5.601615
t42,14.01578,5.2501583,3.0247962,4.9819756,4.5806146,6.8877096,3.3694367,3.1900356,6.836573,7.8471656,6.444951,3.545609,4.8138347
t43,-2.0203695,7.327697,3.8320622,7.9050837,6.550258,5.5919223,1.2943486,5.3696074,5.481403,7.506491,5.878398,5.1062913,6.244511
t44,-1.9502516,7.508552,3.8022563,7.8296533,6.6811886,5.509919,1.2054402,5.437608,5.4041867,7.275339,5.877604,5.1202154,6.117828
t45,-3.5468636,7.7350087,15.686813,-2.1953125,7.1431847,9.534607,6.007042,7.267854,4.734253,0.27976674,0.4759154,7.4578495,7.472697
t46,-3.4835985,7.6583242,15.542992,-2.2172718,7.0776505,9.475472,6.143968,7.3171053,4.697975,0.2419062,0.5331081,7.548732,7.492051
t47,14.221757,5.309012,2.9385195,5.075391,4.5435944,6.822649,3.4421065,3.4638844,6.791008,8.450588,5.717652,2.8046966,3.3613396
