"accepted_species","Medicinal"
"Eumachia_domatiicola",0
"Clarkella_nana",0
"Cynanchum_malampayae",0
"Matelea_diversifolia",0
"Praravinia_quadribracteolata",0
"Benkara_miquelii",0
"Machaonia_cymosa",0
"Telosma_celebica",0
"Chassalia_capitata",0
"Heinsia_myrmoecia",1
"Ceropegia_letestui",0
"Psychotria_imerinensis",0
"Mastixiodendron_flavidum",NA
"Tripterospermum_filicaule",0
"Carissa_pichoniana",0
"Tarenna_pumila",0
"Scyphostelma_intricatum",0
"Alyxia_mucronata",NA
"Scyphostelma_veleziae",NA
"Chorisepalum_sipapoanum",0
"Finlaysonia_wallichii",0
"Lomatogonium_macranthum",0
"Quaqua_inversa",0
"Matelea_gonoloboides",0
"Keetia_rubens",0
"Stathmostelma_propinquum",0
"Peponidium_carinatum",NA
"Scyphostelma_brachyphyllum",0
"Rogiera_cordata",0
"Guettarda_brevinodis",NA
"Gynochthodes_elmeri",0
"Microloma_armatum",0
"Arachnothryx_macrocalyx",NA
"Anisopus_magniflorus",0
"Rubia_hispidicaulis",0
"Marsdenia_wariana",0
"Strychnos_polytrichantha",0
"Polysphaeria_ribauensis",0
"Irlbachia_phelpsiana",0
"Gardenia_actinocarpa",0
"Mitrasacme_pilosa",0
"Bertiera_subsessilis",1
"Psychotria_limitanea",0
"Psychotria_apodantha",0
"Psychotria_friburgensis",0
"Galium_diploprion",0
"Galium_collomiae",NA
"Galium_plumosum",0
"Psychotria_sumatrensis",0
"Psychotria_condorensis",0
"Psychotria_nitens",0
"Psychotria_boivinii",0
"Galium_volhynicum",0
"Galium_brevifolium",0
"Coprosma_polymorpha",0
"Strempeliopsis_arborea",0
"Mussaenda_bevanii",0
"Apteranthes_tuberculata",1
"Saba_thompsonii",0
"Pyrostria_ambongensis",0
"Gaertnera_vaginans",1
"Orthanthera_stricta",0
"Mitracarpus_breviflorus",0
"Joosia_capitata",0
"Palicourea_calophylla",0
"Palicourea_tunquiensis",0
"Coussarea_camposiana",NA
"Hunteria_myriantha",0
"Fagraea_crassifolia",0
"Paederia_foetida",NA
"Dictyanthus_ceratopetalus",0
"Xantonneopsis_robinsonii",0
"Matelea_furvescens",0
"Leichhardtia_brassii",0
"Spermacoce_jaliscensis",0
"Hoffmannia_amplexifolia",0
"Calochone_acuminata",0
"Usteria_guineensis",1
"Malanea_ciliolata",0
"Galianthe_humilis",0
"Psydrax_montigenus",0
"Wrightia_demartiniana",1
"Pavetta_bidentata",0
"Pavetta_yambatensis",0
"Prestonia_surinamensis",0
"Randia_heteromera",NA
"Gardneria_lanceolata",0
"Nautonia_nummularia",0
"Rudgea_kunthii",0
"Gentianella_pyrostelium",0
"Gentianella_pharos",0
"Mascarenhasia_lisianthiflora",0
"Tricalysia_obanensis",0
"Tricalysia_orientalis",0
"Tetragonocarpus_teysmannii",0
"Ophiorrhiza_ripicola",0
"Ophiorrhiza_confertiflora",0
"Exacum_spathulatum",0
"Argostemma_dulitense",0
"Sipanea_wilson-brownei",0
