,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
t6,-2.2633135,-1.6305332,5.1947985,6.587336,3.6755404,5.7866874,3.4586697,5.248308,4.973254,3.4130409,3.2599885,3.4269712,4.0851207,6.588048,4.978181,4.968452,5.899009,4.9971433,6.254624,3.8568408,5.5727754,4.8885455,4.8192744,2.917411,4.507677,5.7655,5.1508236,5.4340777,4.7220936,5.3237467,8.073711,5.1441126,5.5084796,3.9029753,4.1068993,5.3496327,6.0934176,5.5935736,4.91783,5.0868697,4.333482,6.057456,5.7056313,4.301674,3.7902231,3.9807446,4.6032186,6.2144027,5.0001626
t29,-1.9753535,-1.2657777,5.3338037,6.381359,3.6449764,5.702917,3.5266743,5.0307508,4.9822316,3.614248,3.2682002,3.4526174,4.084302,6.6508145,5.1154494,4.986768,5.952715,4.903505,6.143131,3.9351294,5.393863,4.9513974,4.6268263,2.949361,4.483885,5.876577,5.185065,5.294469,4.5443864,5.3022428,7.8984065,5.032467,5.3780255,3.8124857,4.178045,5.3175693,5.9606256,5.443763,4.720495,5.2334375,4.4330163,6.1199226,5.608525,4.209465,3.817169,4.0796766,4.6119304,5.9355974,4.95153
t30,-1.9377815,-1.2194604,5.3395824,6.3784447,3.6344538,5.6966553,3.523514,5.0457745,4.9803977,3.5970426,3.2648785,3.4480271,4.0823545,6.653336,5.0924296,4.982678,5.9593296,4.888267,6.1272326,3.9334505,5.4127617,4.9456987,4.6377087,2.9405046,4.478429,5.8596277,5.187493,5.2841973,4.5475287,5.2886987,7.915812,5.0246,5.375718,3.8221881,4.1807694,5.3305693,5.9744997,5.4622645,4.7320523,5.2102995,4.4445205,6.104153,5.6003547,4.2087975,3.8097174,4.080199,4.61672,5.9503293,4.952899
t39,-1.9955729,-1.2542738,5.341425,6.387161,3.652783,5.691686,3.5379057,5.0278106,4.970441,3.6143544,3.2889352,3.4496667,4.0762253,6.649868,5.115501,4.984426,5.954645,4.8859987,6.1228886,3.947153,5.390605,4.9602857,4.606935,2.9475045,4.480438,5.889045,5.193564,5.273296,4.529795,5.2958636,7.8837824,5.0124626,5.3648634,3.7960758,4.1788106,5.313947,5.9458485,5.427949,4.722392,5.233709,4.440246,6.130424,5.5905275,4.197663,3.8123317,4.081322,4.6086135,5.9375825,4.9338346
t73,-1.8632934,-1.1899827,5.333579,6.3260527,3.6344793,5.7193813,3.4896958,4.9977756,5.0028563,3.6455052,3.229016,3.464606,4.0954704,6.6517806,5.133683,5.002304,5.945274,4.943725,6.1798043,3.9208357,5.381191,4.9412265,4.6479006,2.9522421,4.4885817,5.871644,5.161573,5.3369036,4.566689,5.3102503,7.902537,5.06946,5.3978367,3.844053,4.188234,5.330944,5.9733686,5.454565,4.6814113,5.2558246,4.421983,6.1153064,5.650646,4.2195473,3.831943,4.0742874,4.622166,5.8998475,4.9836154
t80,-1.8758152,-1.2091808,5.31672,6.36397,3.621558,5.731072,3.4995909,5.03683,5.009763,3.6060832,3.2234583,3.4566154,4.108363,6.658203,5.0988736,4.9926214,5.9492087,4.939566,6.1842217,3.9064364,5.41255,4.919271,4.658289,2.952393,4.4917274,5.850469,5.1634717,5.3346405,4.5790286,5.3195558,7.923463,5.0798645,5.407511,3.8544974,4.170796,5.327817,5.991996,5.4717145,4.722039,5.2192345,4.42047,6.0916157,5.6479187,4.2349024,3.8209944,4.077634,4.6180453,5.9359326,4.994632
t81,-1.903271,-1.2157092,5.3294506,6.363801,3.6506445,5.7154584,3.5184383,5.0232797,4.9827414,3.61949,3.2630332,3.4522595,4.0927134,6.6492786,5.112236,4.9964,5.941499,4.9172735,6.164019,3.932217,5.396769,4.9410715,4.62483,2.956608,4.492515,5.8844585,5.173091,5.3022594,4.556865,5.316214,7.8972735,5.0541024,5.3859277,3.821733,4.1696234,5.3138514,5.9625425,5.436401,4.7118406,5.231941,4.4188805,6.125525,5.61896,4.214996,3.8101823,4.075027,4.6022887,5.9221997,4.9633727
t69,-1.9125961,-1.2063738,5.340605,6.3458843,3.6443386,5.704518,3.5115054,5.0086246,4.9869757,3.6341999,3.2600918,3.4582834,4.0851398,6.650315,5.1288013,4.995861,5.94907,4.915837,6.15177,3.9353743,5.38201,4.9522314,4.623939,2.95008,4.484574,5.8839264,5.175785,5.303484,4.547429,5.302389,7.890185,5.041535,5.380243,3.8205857,4.186157,5.3236985,5.9571033,5.43808,4.6961346,5.249246,4.430938,6.1260724,5.621417,4.206705,3.8229694,4.077418,4.6156354,5.91398,4.960047
t70,-1.8450707,-1.1863867,5.3489656,6.330007,3.6299663,5.706477,3.5029573,5.0022492,4.9955063,3.6409488,3.2434256,3.4617696,4.0879807,6.6540527,5.127889,4.99458,5.9557033,4.923136,6.15398,3.9278114,5.384224,4.9475703,4.6397285,2.945724,4.4806566,5.868619,5.173082,5.316731,4.55173,5.2982016,7.8987865,5.045306,5.3852286,3.8315458,4.191842,5.3325133,5.9658594,5.4548993,4.6867228,5.252754,4.438085,6.1132436,5.632714,4.21024,3.8310397,4.0810843,4.6266723,5.898993,4.968166
t23,-2.1232672,-1.4880303,5.2604637,6.458949,3.6500995,5.7336297,3.5275452,5.1119776,4.9889264,3.5377367,3.2258737,3.4404416,4.1034174,6.6489587,5.064718,4.9753814,5.9388895,4.9213796,6.1830883,3.9084313,5.4493055,4.9231486,4.6890626,2.9596782,4.4991894,5.837331,5.1838207,5.3433776,4.583463,5.328548,7.9643583,5.0704956,5.411084,3.8333292,4.138979,5.3046694,6.012476,5.487195,4.7901454,5.16683,4.402047,6.083961,5.622322,4.250131,3.7988465,4.0676413,4.594103,6.0326962,4.9698157
