accepted_species,estimate
t29,0.3231702
t21,-0.40988922
t24,-0.2630638
t125,-0.0025952838
t65,-0.8132189
t367,-1.1242574
t230,-0.19984975
t349,-0.60405624
t415,-0.88464594
t458,0.6750213
t364,-0.3635094
t240,-0.41962177
t474,-0.074035816
t484,0.18025994
t476,0.18025994
t143,-1.4887263
t83,0.0042676423
t255,1.1961762
t162,0.56640345
t192,0.60099626
t303,1.9635341
t387,2.7467616
t272,1.984259
t291,1.984259
t156,0.17230545
t167,0.1898192
t350,-0.6310593
t351,-0.59633064
t392,-0.9188023
t283,-0.45653936
t495,0.83880687
t362,-0.49666062
t201,-0.04828462
t236,0.08341303
t288,0.27811906
t343,0.29271272
t264,0.508006
t224,0.32347494
t284,-0.041014817
t148,0.7556302
t132,0.32084578
t114,0.40789208
t165,-0.4175976
t237,-0.74212575
t238,-1.4441047
t55,-1.0182413
t51,-1.115398
t52,-1.115398
t110,-1.6239065
t11,-0.21862082
