,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,200,200,200,200,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
unique,1,2,1,1,,,,,,,,,,,
top,Seed Mass,mcar,ultrametric,continuous,,,,,,,,,,,
freq,200,100,200,200,,,,,,,,,,,
mean,,,,,0.7022149196518896,0.4940536873333178,0.5294844947687273,0.6336471500021184,0.5316170592681977,0.6326366396337633,0.6676929534320408,0.500295449244698,0.49423871929263663,0.5398830440299317,0.5335759358834031
std,,,,,0.2447712712596537,0.4043621623338986,0.36984808975069217,1.0619756850543105,0.4788346410644321,0.45457721780933014,0.44825737999594956,0.42324019799413787,0.37402111291311163,0.4865217126750248,0.39928099139092366
min,,,,,0.161639339937029,0.010396905233930897,0.016461551194141923,0.012476884587943876,0.004867303570779208,0.0794863133443657,0.03928287662473443,0.005070344720244591,0.004920860273888805,0.0012718687121540007,0.010459828678336313
25%,,,,,0.484611688393418,0.1962407522424472,0.2631833910846769,0.2636781565370447,0.14339381097987758,0.34304234076029505,0.39022270302945306,0.21013922980215216,0.21654991668862708,0.22666682676307098,0.2398086229412566
50%,,,,,0.7258599357197135,0.389505000405007,0.46939554444309006,0.42868135615322994,0.4393660586395769,0.5400378325029734,0.5712198130463251,0.3559238699895396,0.3845432450054249,0.44237154245322685,0.40086549753095996
75%,,,,,0.9348996538472785,0.6629143015080747,0.6613165834028601,0.7453179117999502,0.7079316916199229,0.7871714600706783,0.8147289837211422,0.7021165558422638,0.690344056801464,0.7281384218521825,0.7819152753279213
max,,,,,1.00832101138695,2.2416403766933617,2.323869584722714,12.47485763823531,2.370560286794462,3.4413910272881942,3.6138737591412693,2.413283327898056,2.2690756178980562,4.417661899491002,2.0957077081566737
