"accepted_species","trait_OU_scaled"
"t23",-0.0185712423255755
"t26",0.319651132539513
"t78",1.41815960745699
"t79",-1.27319230456785
"t10",-0.701516853895244
"t3",-0.573383298530262
"t29",-0.819833183952416
"t30",1.61452683987558
"t11",-0.530860815423523
"t22",0.494635279123652
"t37",-0.145610518607928
"t97",1.85311969413382
"t98",1.30881501702075
"t45",-0.670231400804011
"t6",0.162854206618766
"t7",-0.365999762566915
"t5",-0.347571002075918
"t25",NA
"t94",0.36302657693983
"t95",NA
"t96",-0.7768722906052
"t61",-0.669517840779987
"t76",-0.397477526043521
"t77",0.806275142015818
"t80",NA
"t81",0.849805323630338
"t9",-1.29989251977219
"t90",-2.81691007899973
"t91",-1.03724011897975
"t19",0.735437723490221
"t48",0.766675179358729
"t82",1.83027293951886
"t83",0.102025350884914
"t14",-2.47514172804668
"t43",2.00471575971522
"t44",0.372568554368183
"t17",1.96900868755923
"t18",NA
"t99",-1.75518186999477
"t100",-1.66861727813773
"t57",-0.352086132442856
"t58",-0.630411426022825
"t41",-1.88891589877067
"t42",0.609002434078863
"t15",NA
"t16",-1.20157705376174
"t38",2.01331273209723
"t39",0.677853496190581
"t33",-0.372069878786176
"t40",NA
"t1",0.043712341842381
"t8",1.32138901866921
"t49",-0.749658094094003
"t47",-1.08497240538971
"t36",NA
"t12",0.509885805618866
"t13",1.65353557111659
"t24",0.84439810436381
"t31",-0.151122489906775
"t32",NA
"t46",1.35040198820724
"t84",-0.754131852123788
"t85",-1.07749742151074
"t59",0.52137806412322
"t92",-0.93477880700391
"t93",-1.75021730862662
"t86",-0.980720348193738
"t88",0.15642186158742
"t89",-0.247218307893438
"t87",-0.356169433214713
"t62",0.191055559715251
"t56",0.795675851926521
"t74",0.0411629220165537
"t75",0.439083100144261
"t68",-0.977303481972297
"t69",NA
"t67",-0.409999881221026
"t72",1.1966339132845
"t73",-1.43142180351212
"t54",0.329903496277187
"t55",0.746746527660587
"t20",0.301381161622899
"t21",-0.283732307084912
"t70",0.699332533160701
"t71",-0.498397695566585
"t65",1.37067498144125
"t66",1.28872788528063
"t50",-0.28579600096009
"t51",-0.600944758377264
"t63",0.527851914923812
"t64",0.874898176716849
"t60",-0.7672860387253
"t52",-0.791600886986179
"t53",-0.330987054551068
"t27",NA
"t28",-0.946935758209397
"t34",1.47779641885367
"t35",0.72763082327903
"t4",-0.077967907893368
"t2",-0.0110694192564721
