,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
t1,-0.30482417,5.568162,1.5980843,14.378319,1.1233655,-0.2566981,7.1467443,3.4147084,3.0248733,-0.0755519,9.346299,7.8571863,4.3176174,-1.8912529,1.6365812,4.706773,5.4475994,0.40222937,-0.99133193,10.459302,1.7604448,0.85835457,4.482243
t2,-0.32411516,5.9865866,1.4079374,15.415847,1.248386,-0.27036357,7.654474,3.6283755,3.145228,-0.07747086,9.920086,8.461699,4.7384567,-2.0187724,1.7409284,5.0497856,5.771923,0.324879,-1.0537524,11.132963,1.990451,0.89794314,4.6498666
t3,1.0488952,6.610839,0.16573468,15.768688,2.8613987,-0.26998532,5.056249,2.2105174,2.4435713,-0.22123122,10.545077,8.985142,4.921502,-0.908657,1.5172547,2.285602,3.521591,-0.14618835,-0.688083,6.8353105,1.8388146,0.81463027,3.3303733
t4,1.08927,7.044756,0.07737089,16.690334,3.0561235,-0.2794618,5.3922887,2.3191872,2.5452218,-0.23426193,11.102191,9.459747,5.270566,-0.96188444,1.6047126,2.4953814,3.6566978,-0.16139309,-0.7224038,7.290386,1.9237657,0.85833955,3.4902635
t5,-0.30423316,4.457143,2.1999588,12.432732,0.74963015,-0.24366282,5.7056136,2.9465158,3.1846395,-0.07354687,8.486479,6.8121424,3.2107577,-1.7072538,1.4217608,3.8649015,5.3928556,0.7794309,-0.8424252,8.537765,1.4430517,0.79243004,4.227272
t6,1.1008269,1.0531005,2.414709,4.954071,0.73325133,-0.23310646,0.011950389,0.6945573,2.1905189,-0.12669306,6.1588154,3.0924358,0.035828482,-0.30606052,0.50838214,0.0011784573,2.7151139,0.9958833,-0.06116394,0.43465826,0.6884984,0.40344176,1.8872507
t7,2.1128032,6.751663,-0.022246243,16.019371,3.6923857,-0.25952986,3.8570619,1.9885149,2.1338012,-0.3025787,11.068557,9.6766,5.019218,-0.50385696,1.4740083,1.7599194,2.726508,-0.21989526,-0.5015548,5.331263,1.7096593,0.84344655,3.1341753
t8,-0.88812053,3.5593653,0.7105113,9.926102,-0.08892692,-0.19597667,9.93651,6.0944176,1.5754445,2.940203,5.5090055,5.403551,4.7891383,-2.670877,1.5258114,7.5136847,5.0910974,2.1994705,-1.2092357,14.031816,-0.02505965,0.7002252,4.60347
t9,-0.8713942,3.1320515,1.056555,9.596291,-0.0381831,-0.20717387,8.724763,4.817017,1.7382338,1.653206,5.367307,5.683815,4.0407515,-2.48809,1.3936676,8.335851,5.0502954,1.6990043,-0.9797017,14.041204,0.593289,0.63756466,3.8643503
t10,-0.10513253,1.3691405,5.0299797,10.68389,1.0145905,-0.3530098,1.4792683,2.8975453,5.005599,-0.078244254,10.018453,5.63543,0.6437662,-2.025696,1.1922042,1.4059713,6.923322,1.9438347,-0.7041386,4.6483545,2.3631322,0.777983,4.4315853
