,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
t1,0.41600776,4.46495,7.385921,2.5261319,4.0342503,2.7765017,2.7686267,5.595273,4.6309104,4.195509,4.4946117,5.3322067,5.0729313,5.273806,5.9063387,4.4473433,6.3908176,5.9070354,2.8360367,3.2932067,6.3898544,5.1735053,6.17754
t2,0.4404239,4.4747076,7.388244,2.5158165,4.0210624,2.7683203,2.7807403,5.582905,4.6321044,4.186979,4.4889383,5.319854,5.0593,5.2774434,5.9170313,4.4511256,6.4017963,5.895394,2.8380747,3.310276,6.395852,5.167745,6.192203
t3,0.3311855,4.3848457,7.4066296,2.374036,4.05581,2.7151976,2.7728608,5.6160703,4.6666756,4.195237,4.524836,5.3283,5.1090436,5.300599,5.931243,4.4928355,6.4291162,5.8928604,2.7543643,3.2245846,6.48674,5.2486086,6.126639
t4,0.31529388,4.363373,7.4277687,2.3453662,4.049328,2.6846921,2.7827892,5.6106434,4.678897,4.185952,4.533511,5.315277,5.117585,5.3098855,5.9624295,4.5200005,6.453171,5.8771873,2.7335396,3.210637,6.5081806,5.2688065,6.1143236
t5,0.40261322,4.463597,7.3840523,2.5423176,4.0401764,2.7858295,2.759886,5.6009483,4.626613,4.201857,4.4947414,5.3399324,5.0787945,5.270468,5.897469,4.4428997,6.3817997,5.9145756,2.840665,3.2882144,6.3793373,5.171777,6.1737113
t6,-0.7259126,4.77107,8.033464,5.758186,3.167577,3.0806122,1.8825184,4.766214,3.6219149,4.687671,3.4679248,5.052238,4.85948,5.280363,5.8750467,4.8968472,6.2599864,5.704609,4.3701963,4.6840005,3.9651659,4.1339746,7.894966
t7,0.2754329,4.3277645,7.436876,2.2833664,4.0670342,2.6639543,2.7875955,5.6296034,4.696861,4.18537,4.552367,5.318785,5.1398563,5.3237495,5.9729676,4.541079,6.4695873,5.872156,2.6936371,3.1690698,6.559025,5.3058763,6.077389
t8,4.365835,7.074078,5.887094,4.678506,3.9153497,4.378736,4.005547,5.742899,4.2557783,3.8008173,3.6274219,5.0564885,3.391378,6.0425873,4.6640887,3.4463913,6.5334854,5.273202,4.19437,5.4717793,6.2749386,3.5164182,7.641064
t9,4.3403435,6.982526,5.8961287,4.6250014,3.8913338,4.423513,3.944026,5.7293935,4.2435894,3.8408923,3.6149263,5.003595,3.3312619,6.0139174,4.673734,3.4469013,6.498609,5.329645,4.139377,5.4257717,6.3011265,3.5656211,7.6887865
t10,-0.71337706,4.756591,8.056433,5.612311,3.1421306,3.1064098,1.9023709,4.7592916,3.621755,4.703881,3.46314,5.023279,4.8306046,5.3103023,5.8739386,4.9239607,6.268935,5.670522,4.328481,4.623976,4.093721,4.1295424,7.7979894
t11,4.378967,7.0992565,5.8592405,4.637435,3.8706598,4.4143,3.9844358,5.723088,4.2662144,3.8214533,3.6165304,5.06541,3.3853917,6.0347047,4.6587925,3.4251194,6.4889917,5.3081884,4.1734166,5.455089,6.3100433,3.5074272,7.6677017
t12,0.194381,4.25246,7.436499,2.1404717,4.124,2.6369097,2.7982128,5.68629,4.7381487,4.1967716,4.596887,5.3396845,5.1909447,5.354655,5.956452,4.5624022,6.4928484,5.868054,2.6043644,3.0799618,6.6813917,5.387656,5.9919324
t13,-0.68292844,4.788022,8.02592,5.6617475,3.1663992,3.077277,1.8974439,4.792222,3.6448016,4.6721973,3.4959543,5.054742,4.8665485,5.2833853,5.8634763,4.898126,6.247595,5.6989765,4.3126574,4.6182528,4.0464354,4.162911,7.8369107
t14,0.14405985,4.2040005,7.4446707,2.0907872,4.152815,2.6281536,2.7988055,5.716667,4.7612276,4.214604,4.6241856,5.354503,5.226059,5.369259,5.9507446,4.570293,6.504991,5.864536,2.5512033,3.0365267,6.727582,5.4401217,5.9465227
t15,-0.72991395,4.7553067,7.998413,5.663816,3.208582,3.045613,1.927481,4.7799244,3.6611333,4.654747,3.4386044,5.07469,4.8776984,5.2460713,5.9203057,4.8612432,6.285725,5.7359247,4.3599153,4.693498,4.0281596,4.1170816,7.8796906
t16,0.16419086,4.218717,7.445491,2.1025279,4.1311827,2.5936892,2.8174384,5.6933236,4.77076,4.181354,4.6191826,5.321795,5.206011,5.3787646,5.99192,4.5990725,6.5313168,5.8472357,2.5678222,3.0539262,6.7133045,5.421637,5.9658523
t17,4.439955,7.175361,5.8827786,4.697764,3.927419,4.38404,4.036456,5.778256,4.255882,3.8011055,3.621098,5.1333857,3.442318,6.0390453,4.664189,3.4472194,6.5351706,5.2776284,4.2414837,5.5228624,6.2533636,3.4386542,7.6329656
