"accepted_species","trait_ARD"
"t56","0"
"t57","0"
"t12","1"
"t51","0"
"t39","0"
"t67","1"
"t34","0"
"t18","1"
"t19","0"
"t46","1"
"t47","1"
"t60","1"
"t61","0"
"t55","1"
"t48","1"
"t49","1"
"t44","1"
"t89","1"
"t90","1"
"t14","1"
"t6","0"
"t23","1"
"t72","0"
"t37","1"
"t13","1"
"t17","1"
"t25","1"
"t91","1"
"t92","1"
"t45","1"
"t97","1"
"t98","1"
"t73","1"
"t30","1"
"t95","1"
"t96","1"
"t20","1"
"t3","1"
"t4","0"
"t1","1"
"t2","0"
"t26","0"
"t80","0"
"t81","0"
"t21","1"
"t62","0"
"t63","0"
"t41","0"
"t65","0"
"t66","0"
"t9","0"
"t82","0"
"t83","0"
"t43","0"
"t74","0"
"t75","1"
"t38","0"
"t22","0"
"t8","0"
"t5","0"
"t70","0"
"t71","0"
"t10","0"
"t11","0"
"t24","0"
"t16","0"
"t53","1"
"t54","1"
"t79","0"
"t88","1"
"t99","1"
"t100","1"
"t50","1"
"t15","1"
"t32","1"
"t33","1"
"t29","1"
"t27","0"
"t28","0"
"t93","0"
"t94","0"
"t76","0"
"t68","0"
"t69","0"
"t64","0"
"t77","0"
"t78","0"
"t42","0"
"t58","0"
"t59","0"
"t7","1"
"t52","0"
"t86","0"
"t87","0"
"t84","1"
"t85","1"
"t31","1"
"t40","0"
"t35","0"
"t36","0"
