,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,1916.0,1916,1916,1916,1916,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0
unique,,6,2,2,1,,,,,,,,,,,
top,,BM,mcar,ultrametric,continuous,,,,,,,,,,,
freq,,400,958,988,1916,,,,,,,,,,,
mean,192.2348643006263,,,,,0.9679329227593907,0.3738299124055305,0.6401236946700359,0.5639374810498552,0.40346044201693804,0.5954366331329027,0.5974620596991579,0.43128202847894026,0.425133796320501,0.48633852933355864,0.4518493615952209
std,114.3591527960584,,,,,0.07654767813155765,0.2585826479079447,0.2856537673159858,1.0276580046736106,0.286944949398952,1.4055341439417899,0.7452910190653798,0.29432330152847747,0.27326276889213386,0.29005943739132267,0.300893339316479
min,0.0,,,,,0.60594095814231,9.460263260594036e-13,0.0004390065469549,0.0006360314494867,4.178537273643942e-09,0.0073749007353514,0.0008969836220765,6.438731666357275e-06,7.827792854048221e-07,1.2441079718328308e-05,8.696912069298636e-06
25%,94.0,,,,,0.985042356773416,0.2083484836880272,0.47161369340152337,0.32358903518397053,0.22300075396720276,0.36585669390250075,0.37519807672565253,0.2517071344839414,0.2546237747606237,0.31458206277862755,0.2737829998593565
50%,186.0,,,,,0.999926686256414,0.3348507328919244,0.6322936226506084,0.48265111338303235,0.35486683731105884,0.5183338690793795,0.5436445014480213,0.3933525322039022,0.38804060180776667,0.4699225180549682,0.42296234379893605
75%,290.0,,,,,0.99993972132276,0.525404862689122,0.7866837556816384,0.6903480227849453,0.562727207644427,0.7100703192482923,0.7332410928580427,0.5914729725119872,0.5832282265716432,0.6546355735982325,0.6176937664791511
max,399.0,,,,,1.00832101138695,2.2416403766933617,2.6124073384355286,36.60057884076015,2.4927368383036628,55.03765695098281,18.77306497244842,2.863368801873168,2.269075617898056,4.417661899491002,6.251309184782016
