,Ev Model,Missing Type,Tree Type,Variable Type,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,10,10,10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
unique,1,1,1,1,,,,,,,,,,,,
top,large_BiSSE,mcar,ultrametric,binary,,,,,,,,,,,,
freq,10,10,10,10,,,,,,,,,,,,
mean,,,,,0.18019805602740166,0.2226451602103842,0.22630094225572278,0.22458660439877626,0.24175734501821866,0.22713983020587017,0.2271160917977193,0.21898120088924117,0.2234226978985249,0.31615435633320527,0.2087634969009345,0.21082634538295125
std,,,,,0.035284157179547866,0.025522523142019422,0.027841283895475744,0.0316839735142274,0.04140228806482406,0.027456684177154165,0.029597400365239362,0.04073633769209826,0.03552900824109258,0.06979366848883643,0.0415067613526864,0.03539786287784289
min,,,,,0.10641112300933198,0.17680982432606418,0.17265258035638564,0.15574353023627277,0.15658076218436615,0.17491762800774577,0.17567522609388786,0.13390319518205748,0.1477930578066969,0.2000047415951299,0.11688662867954688,0.13739170321684882
25%,,,,,0.16743253733352012,0.20713007407407405,0.21011755908421687,0.20929020015943567,0.2324262627985031,0.20951155508568764,0.20175559925314046,0.20732036441591625,0.20336730328466768,0.3063998793665267,0.1922504104037957,0.20007085618442288
50%,,,,,0.1839776892106953,0.22730293827160503,0.2364715991444427,0.23353429294932398,0.2453734445418915,0.23243702154537876,0.2374060546309263,0.23076544350688669,0.2383342883606538,0.3142244498020945,0.21760219788323065,0.21868325339499223
75%,,,,,0.20204125448257723,0.24209899691358022,0.2458802534085687,0.24488435555058183,0.2709647745316991,0.24919821638019155,0.2505773837276143,0.24170217461256222,0.24197195991975662,0.36453453396046853,0.23924198157955692,0.22995864903970714
max,,,,,0.2219867958711214,0.25347222222222227,0.25402158918911577,0.25522784028980644,0.2911486200451626,0.25684469131800663,0.2558291079144748,0.2659479199431184,0.2629166948649674,0.41039697922418433,0.25501728849492045,0.2561079701326017
