,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
t1,7.3215175,2.5965924,2.0527022,4.9751234,3.6979098,8.076685,3.2954242,2.2275758,4.6935706,4.208909,5.7138987,2.8665216,3.4043784,7.6071434,5.851974,3.9323351,5.2116847,8.538001,6.6530204
t2,7.336889,2.5833352,2.0479789,4.956285,3.604644,8.334362,3.325505,2.208925,4.7230625,4.019936,5.7203593,2.8295481,3.3261826,7.49168,5.8377943,3.89012,5.1260624,8.500065,6.6114454
t3,7.3091173,2.550115,2.0711594,4.9568496,3.5765166,8.417249,3.3409617,2.1893232,4.7442636,3.9359982,5.7232428,2.8348312,3.2879019,7.4403296,5.8130026,3.8583024,5.098689,8.486737,6.5886073
t4,7.2162495,2.480477,2.1263757,5.045066,3.6458416,8.392659,3.3750377,2.1145072,4.6630955,3.92415,5.643356,2.8672533,3.2953396,7.451373,5.7549667,3.8804615,5.0853076,8.55388,6.6387124
t5,7.308593,2.5510273,2.075602,4.953171,3.555002,8.432022,3.3412416,2.1870275,4.7490773,3.925129,5.7259426,2.8389816,3.2860434,7.4258184,5.811045,3.859121,5.096618,8.469419,6.581175
t6,7.412686,2.6199574,2.0475178,4.960343,3.746662,7.9357977,3.2485335,2.289858,4.736114,4.329662,5.7407923,2.8909895,3.4695308,7.6818132,5.899241,3.9414637,5.275831,8.556895,6.673305
t7,7.3683825,2.5938966,2.0594113,4.971753,3.7542853,7.963742,3.2491746,2.2651582,4.7371225,4.3038964,5.723684,2.885976,3.448632,7.6726575,5.8797116,3.9293478,5.275984,8.573908,6.680041
t8,7.2372847,2.5339694,2.0942018,5.0141916,3.6686218,8.290002,3.3132622,2.1648872,4.6983757,4.04294,5.667738,2.8639753,3.3476193,7.530215,5.8074427,3.896771,5.17216,8.5682535,6.6608005
t9,7.2054996,2.4912972,2.0945504,5.039588,3.6942582,8.29928,3.361767,2.1184177,4.6781707,4.024555,5.6430306,2.8267145,3.2977579,7.5266466,5.76374,3.872339,5.1195583,8.597072,6.666414
t10,7.4995894,2.650269,1.9785222,4.9542794,3.7315264,7.807336,3.2463708,2.3190875,4.759025,4.434255,5.759905,2.8489647,3.4786127,7.738172,5.9315042,3.9340074,5.299743,8.517461,6.6516604
t11,7.054729,2.4494624,2.1912472,5.063234,3.757696,8.125456,3.3022497,2.1413662,4.692075,4.106937,5.6464286,2.9524252,3.3828838,7.5557055,5.761148,3.8976078,5.2304525,8.621628,6.680831
t12,7.5194654,2.654402,2.0362074,4.9359245,3.7997267,7.7424436,3.200894,2.354531,4.7620025,4.510931,5.777384,2.914735,3.5261102,7.7868648,5.950534,3.9544425,5.356225,8.56101,6.675758
t13,7.5074854,2.6637454,2.029355,4.933538,3.7699685,7.7610164,3.225664,2.3519456,4.750342,4.479035,5.7814794,2.9062254,3.521247,7.7541056,5.9526877,3.9609184,5.324044,8.536795,6.658648
t14,8.042267,3.0293932,2.1923923,4.988426,3.3393273,7.05915,3.6210976,2.6148157,4.4623733,4.5473104,5.979625,3.2838542,3.7161303,7.397942,6.0502505,4.0535264,5.0305185,7.7227097,6.459079
