,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
t1,-0.17755832,11.662607,2.123999,1.463956,2.8347354,2.963922,1.434743,6.243139,0.19547606,1.441498,3.706037,-0.2348011,6.3297586,-0.0030479545,7.061896,3.7510233,11.59185,-0.28856537,6.8921223,8.650604,6.4531193,5.4979415,1.4306802,-0.23655532,14.800008,-0.08111825,-0.031642433,-0.16562109,0.022183966,-0.058682013,1.1036694,0.12346589,0.17011516,8.885024,0.14086604,8.035929,9.031649,-0.22975564,-0.11584495
t2,-0.18376231,11.45366,2.33713,1.2564821,3.0254707,2.778126,1.3992496,5.831813,0.18410341,1.2941502,3.7690105,-0.23450784,6.14962,-0.0031398733,6.7945614,4.0485063,11.692472,-0.27547646,6.67353,8.433174,6.7614226,5.5388136,1.300812,-0.22873762,15.394281,-0.1626813,-0.030786745,-0.1626493,0.021887233,-0.06554437,0.82660025,0.11879288,0.16426826,8.973582,0.138043,8.090302,8.99572,-0.26286507,-0.12078867
t12,-0.20142478,8.298144,3.8570127,0.50380075,4.0682178,2.2955456,0.4925656,3.5352933,0.100134924,0.808084,5.3887553,-0.22481973,4.43085,-0.003297415,4.07331,5.752179,9.796997,-0.1659321,4.6578054,6.8993254,7.783767,5.3612294,1.4104955,-0.16803785,16.950266,-0.66881025,-0.02764599,-0.1250398,0.016764225,-0.1083015,0.19350265,0.051138856,0.10145953,9.474248,0.11255418,7.12685,7.015224,-0.44709843,-0.12557389
t15,-0.21786138,6.860257,4.963004,0.0053897058,4.635754,1.9449573,5.8827278e-05,2.0939486,0.06603688,0.45793185,6.2132225,-0.21147768,3.7779548,-0.0034449715,2.4797466,6.978208,9.118794,-0.10200594,3.715885,6.09838,8.506149,5.5446606,1.3254782,-0.1284144,18.200693,-0.9907998,-0.027595,-0.10751146,0.014473543,-0.13167375,0.0012707297,0.0110943,0.07288734,9.972664,0.11665182,6.8410516,6.2366652,-0.5625736,-0.13221763
t18,-0.21450016,6.6688876,4.9954653,0.0023275227,4.5970745,2.0205483,0.00082557736,2.2197218,0.0597522,0.68404657,6.388884,-0.21459839,3.6963055,-0.0034510763,2.459706,6.9213624,8.728172,-0.09741197,3.6253195,6.107717,8.4381485,5.3487988,1.5021658,-0.1243561,17.975939,-0.9722527,-0.027644677,-0.10773566,0.014284099,-0.13260297,0.00020645648,0.0062256306,0.06862383,9.878076,0.11696876,6.630647,5.909775,-0.5494733,-0.12882678
t33,-0.15160806,8.051673,2.8734813,2.0868464,3.3002274,3.220802,0.46696532,5.53544,0.104121275,2.3062878,5.6152196,-0.2531657,4.475534,-0.0030488768,5.0263095,4.3649044,7.662056,-0.18550919,4.8200564,7.235132,6.4394946,4.314862,1.9625082,-0.1697417,14.193075,-0.35949522,-0.02686087,-0.13694242,0.016628487,-0.08582907,2.3842778,0.065195784,0.10562023,8.652631,0.11985108,6.022583,5.7688155,-0.2846316,-0.09481669
t34,-0.14715959,8.172411,2.7691176,2.2022598,3.1993332,3.3257053,0.5042513,5.7486677,0.10786006,2.4322429,5.54137,-0.25434682,4.5629907,-0.0030172612,5.1676993,4.2684436,7.568387,-0.19342391,4.922383,7.3190513,6.324134,4.278951,1.9885229,-0.17424802,13.889326,-0.3285425,-0.026929745,-0.13863993,0.016878791,-0.08280029,2.5460813,0.06618808,0.107488915,8.592552,0.12283397,6.001864,5.7774606,-0.2667914,-0.09218002
t64,-0.11537212,9.566966,1.4282626,4.781673,2.5568235,4.8432302,0.0019195253,9.283248,0.17984323,4.8096333,6.7352667,-0.32337907,5.7342105,-0.0029231014,6.84009,1.8812072,6.073112,-0.26482463,6.436537,8.9348955,4.626707,3.4268625,3.845359,-0.24645486,11.811637,0.9288271,-0.03265429,-0.17283179,0.017788835,-0.05263688,5.6455398,0.09334017,0.1449601,8.9691725,0.15857473,5.5830417,5.4118056,-0.0768553,-0.053770717
t65,-0.11532803,9.51962,1.4588403,4.7564416,2.6023571,4.8259563,0.0019350211,9.213166,0.17774534,4.7857027,6.7437735,-0.32352558,5.708659,-0.0029296826,6.7945485,1.920256,6.0829506,-0.26248074,6.398997,8.887688,4.6722198,3.4197483,3.8349733,-0.24401708,11.904919,0.86495095,-0.032458022,-0.17206281,0.017801598,-0.053943165,5.6156707,0.09262026,0.14392215,8.975902,0.15777256,5.5846934,5.3958554,-0.08149478,-0.05432604
t73,-0.16164337,11.622013,0.012327304,5.813391,1.5589973,5.5971837,0.005276893,12.539207,0.25131664,6.5611405,6.647237,-0.3455262,7.344612,-0.0029183314,8.284423,0.31253278,4.2268476,-0.31786317,7.6427956,10.561615,2.857677,2.8786354,5.488791,-0.3110411,9.208146,2.978217,-0.035545345,-0.18443556,0.01687718,-0.0033144413,7.528061,0.17646071,0.203662,8.56029,0.22277066,5.150605,5.0726256,1.8772489,-0.028184054
t74,-0.16219087,11.791986,0.016845614,5.8069105,1.5282713,5.601845,0.0059144166,12.726661,0.25450727,6.622308,6.615732,-0.34711245,7.4784794,-0.0029380703,8.41689,0.27773634,4.1040072,-0.3194237,7.680236,10.701809,2.750753,2.8167632,5.5743732,-0.31297943,9.0715,3.1496696,-0.0358043,-0.18643232,0.016736334,0.06051501,7.575485,0.18089943,0.2069499,8.444113,0.22855541,5.153928,5.095737,2.0573325,-0.027888088
t86,-0.15809321,11.351008,0.0056321616,5.998379,1.9051304,5.6491485,0.008053322,12.267425,0.24095492,6.5639205,6.976644,-0.35895103,7.1224484,-0.0029675923,8.161586,0.4604976,4.2460217,-0.31097257,7.382574,10.362992,3.2393703,2.803947,5.6115546,-0.3137078,9.821057,2.6751409,-0.03560985,-0.18299374,0.016822813,-0.010218256,7.612201,0.15767854,0.19613235,8.722944,0.22450157,5.2209954,4.9801197,1.4582666,-0.031461664
