,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
t1,13.420937,-1.2715145,2.612984,4.7053676,4.84679,4.6775365,4.865713,4.0182257,4.861247,6.353505,6.40017,4.3722043,6.147269,6.7738147,5.897548,4.7242603,5.6335955,5.604572,4.9851823,4.046862,5.4101048,5.939065,5.610451,4.497288,4.136442,3.4619792,3.68793,6.698418,5.102072,4.8037214,5.5442104,4.6719103,4.8176975,5.398525,3.7453585,6.3405337,4.5259447,4.5837693,5.6936607
t2,13.443007,-1.2597579,2.573657,4.6781116,4.8397794,4.6368494,4.832518,4.001998,4.8874817,6.364336,6.450906,4.3912826,6.1563168,6.7726083,5.928956,4.746076,5.67264,5.597226,4.99659,4.0965967,5.3695107,5.9242277,5.584619,4.539621,4.178588,3.4592996,3.649064,6.705784,5.0498204,4.7608013,5.5206523,4.6581287,4.821934,5.365276,3.710612,6.3297877,4.568674,4.5923576,5.651243
t12,13.457634,-1.2301085,2.577563,4.513763,4.8000317,4.6544585,4.611025,3.8452978,4.983436,6.362741,6.755036,4.5521584,6.268789,6.8575315,6.1205106,4.711933,5.898028,5.6923437,4.958814,4.3665767,5.278178,6.013347,5.591338,4.4711556,4.3405347,3.30427,3.5899022,6.729413,4.7362504,4.533962,5.516361,4.606336,4.8801465,5.4545255,3.647151,6.3477426,4.580103,4.6055045,5.619664
t15,13.4518,-1.2095072,2.56456,4.496889,4.807542,4.645854,4.555917,3.8393137,5.0165277,6.3627644,6.8346157,4.5946064,6.3353686,6.922325,6.184947,4.6557345,5.9665284,5.7475266,4.928233,4.437132,5.2392364,6.0534353,5.633731,4.454992,4.368088,3.2931685,3.5846553,6.7157183,4.67447,4.4628634,5.5462565,4.5966787,4.91216,5.509122,3.6546376,6.39978,4.6155925,4.571332,5.610173
t18,13.45495,-1.2021433,2.5908484,4.4773774,4.783184,4.6711674,4.545457,3.8108761,5.014153,6.344258,6.839839,4.610208,6.2918057,6.8726897,6.176658,4.698694,5.971755,5.707156,4.927933,4.442457,5.246727,6.016273,5.5886316,4.4685206,4.386652,3.280396,3.5657542,6.73992,4.660171,4.4590154,5.527057,4.5869083,4.9029965,5.4808054,3.6374037,6.3545823,4.5879693,4.5974674,5.6255236
t33,13.484534,-1.277294,2.583481,4.6160135,4.8249335,4.5888577,4.6987796,3.9849389,4.9155893,6.412993,6.6368537,4.4795113,6.26759,6.9094257,6.0471716,4.6625285,5.8037024,5.6724825,5.000137,4.2651014,5.285572,5.9824157,5.688631,4.535345,4.2308254,3.4279892,3.6148796,6.60694,4.8841686,4.6150427,5.544735,4.6714406,4.8553963,5.4266205,3.6893826,6.414346,4.6514044,4.572394,5.5968294
t34,13.489468,-1.2701473,2.5911415,4.5871606,4.8077655,4.5907884,4.6695704,3.9611125,4.9321485,6.4091263,6.668934,4.5097103,6.2706385,6.9025135,6.06577,4.6717587,5.8332024,5.670363,4.9977474,4.2928314,5.2677402,5.979968,5.673982,4.537665,4.258303,3.4113755,3.5943117,6.621696,4.850768,4.5833726,5.531335,4.659989,4.8540277,5.424038,3.6689982,6.402942,4.656322,4.5858965,5.58773
t64,13.541576,-1.2837958,2.8549273,4.5121117,4.605523,4.5491414,4.7008963,4.0883017,4.9417253,6.3847394,6.464098,4.7143517,6.107088,6.713817,5.8627005,4.7943473,5.720721,5.3767056,5.0584927,4.076098,5.2028503,5.6496043,5.5736327,4.75868,4.2623,3.678515,3.4048305,6.6857867,5.0709095,4.6014724,5.346372,4.6544385,4.621059,5.1924763,3.509983,6.2853136,4.745623,4.7490144,5.517461
t65,13.536562,-1.2827324,2.8329124,4.5199456,4.6227794,4.5542054,4.702966,4.079608,4.9393167,6.385252,6.4711185,4.692889,6.1152925,6.723174,5.873154,4.7874737,5.7235503,5.398438,5.053568,4.0847173,5.211924,5.67398,5.5775003,4.738455,4.2590127,3.6569943,3.4226804,6.6845546,5.0619907,4.6075234,5.3602834,4.6544666,4.6394315,5.2105737,3.5241833,6.2914634,4.7340226,4.7373624,5.5259123
t73,13.592912,-1.2614489,2.9870741,4.4515624,4.5062504,4.489108,4.6399007,4.139134,4.9603696,6.382809,6.4810457,4.8782573,6.0602884,6.6885104,5.8460975,4.8077345,5.752958,5.2605524,5.076104,4.0821567,5.1038103,5.497232,5.563353,4.90961,4.3241396,3.8119485,3.260261,6.6856375,5.0648904,4.491579,5.2840147,4.6372848,4.5346646,5.0645785,3.3962734,6.2924457,4.8643,4.7964244,5.4301286
