,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
t1,8.851315,-1.6116701,7.3256345,6.9416018,1.6783645,2.3494964,2.8206165,2.2227015,4.938169,3.6328228,7.293612,3.046584,4.4305005,5.112975,4.816795,6.674832,4.284063,3.1072376,5.331071,3.0766404,3.677916,4.034606,5.2590013,4.8351035,4.8225784,5.35361,4.29692,3.409686,5.1627088,6.3732934,5.8250923,4.2290897,6.3563757,4.9572396,3.6577337,6.4090257,5.383089
t2,8.815089,-1.6418148,7.3388815,6.918484,1.7219559,2.3712103,2.8009067,2.2089796,4.9608884,3.6581244,7.3019156,3.0178099,4.410207,5.151054,4.8284545,6.716323,4.304721,3.1028578,5.2870293,3.0724473,3.6403174,4.044377,5.215299,4.816725,4.781755,5.385021,4.333264,3.4201126,5.148411,6.397664,5.857069,4.1984773,6.376824,5.0002985,3.6840377,6.4494433,5.3584085
t3,8.837908,-1.5337746,7.280643,6.87259,1.7259915,2.3184087,2.897535,2.2805457,4.9145455,3.5369585,7.394133,3.0346537,4.50913,5.1847434,4.887296,6.681605,4.21251,3.1378174,5.3542175,3.0188084,3.6887386,3.9577656,5.276189,4.7991176,4.8123946,5.2933793,4.337825,3.3628225,5.2171936,6.307171,5.8118353,4.2838507,6.320699,5.0309663,3.574744,6.4913254,5.45156
t4,8.918572,-1.465498,7.2587276,6.9315963,1.6930739,2.2360823,2.9801002,2.3504207,4.819217,3.4742737,7.437511,3.0270112,4.590692,5.1280913,4.861145,6.590202,4.114225,3.112692,5.434289,2.9745414,3.7867446,3.861754,5.353888,4.8403664,4.851316,5.1853266,4.283749,3.2918077,5.2405434,6.2198462,5.7688007,4.375211,6.2788935,5.0048676,3.485462,6.461448,5.537941
t5,8.959285,-1.4361963,7.2502694,6.97237,1.6608179,2.193176,3.0107,2.3749707,4.7722816,3.4540486,7.451405,3.0355203,4.6251674,5.0903997,4.8413105,6.5476556,4.0698195,3.0886362,5.4748845,2.95912,3.8483496,3.8208032,5.376088,4.856653,4.8776135,5.1308155,4.2586265,3.261849,5.2464595,6.1798887,5.7474747,4.421446,6.2675223,4.9738417,3.4485881,6.429473,5.5753236
t6,8.941218,-1.4875165,7.2795854,6.9592686,1.6838815,2.21851,2.98717,2.3547382,4.781538,3.465613,7.436702,3.0103893,4.601875,5.1045775,4.8327575,6.5730953,4.082287,3.0871904,5.4576607,2.9484963,3.8122947,3.8261228,5.351569,4.8608055,4.8479214,5.1458335,4.2631288,3.261592,5.2213387,6.2058277,5.7713556,4.3894806,6.2860575,4.999478,3.4719076,6.461248,5.550242
t7,8.968415,-1.4774425,7.2980275,7.0365195,1.656736,2.181173,2.99077,2.3493142,4.725778,3.4753673,7.425477,3.0013444,4.6120954,5.04405,4.783261,6.5529075,4.0415354,3.0257099,5.4787245,2.912894,3.8780146,3.7861528,5.3426676,4.878566,4.8526497,5.087894,4.2412624,3.230244,5.199095,6.1861854,5.774243,4.4202,6.305006,4.9726024,3.4606452,6.4479675,5.56363
t8,8.962522,-1.479702,7.2988834,7.041839,1.6576754,2.1862273,2.9878476,2.34738,4.72226,3.4680932,7.4323306,2.998052,4.6111455,5.045554,4.7843356,6.560565,4.0360174,3.0177464,5.4751954,2.9031718,3.8756645,3.775435,5.3354373,4.8713536,4.849602,5.077834,4.250786,3.222916,5.1998954,6.189163,5.7761464,4.417054,6.308328,4.980756,3.4611928,6.460095,5.560585
t9,8.971917,-1.4783616,7.301996,7.03867,1.665546,2.1792264,2.9920647,2.352765,4.714918,3.4656596,7.4384866,2.9872472,4.6157613,5.0523143,4.7802734,6.5536156,4.032258,3.0200162,5.4780693,2.9017622,3.879947,3.7724829,5.341277,4.881436,4.8451867,5.076216,4.2446384,3.216359,5.196566,6.184476,5.778525,4.4202642,6.307369,4.988072,3.4576647,6.459725,5.5653
t10,8.874854,-1.4879303,7.2622538,6.9024544,1.7040042,2.2815995,2.939186,2.3170896,4.879788,3.5039978,7.415416,3.0381203,4.5493956,5.1502213,4.882889,6.639262,4.1734614,3.1239061,5.390165,3.0007908,3.7283998,3.9196506,5.321343,4.81238,4.8394957,5.252019,4.314708,3.3329117,5.2379923,6.2665067,5.7839346,4.325856,6.294274,5.0151052,3.5321722,6.47746,5.4926205
