,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
t1,10.648389,0.3771618,0.04053677,-0.10327043,5.279935,6.6754675,1.4640962,-0.090558045,2.79891,2.7151337,0.7018155,-0.55549437,3.9413984,0.21526445,3.1154804,7.75483,4.673008,0.19362207,1.289684,13.075926,7.5414305,-0.108434185,9.787309,5.0884438,2.602081,-0.00050973485,-0.038203143,-0.09726873,3.9061725,-0.012726421,-0.027902225,0.08731794,1.1393648,-0.12889898,-0.021455443,7.1773696,0.022350717
t2,12.374959,0.42328984,0.035411816,-0.07162108,6.0338306,7.663182,2.1991692,-0.06884794,2.764219,2.606273,0.414732,-0.67635,4.244802,0.24169756,4.123084,7.647123,4.929199,0.21552956,1.0839758,15.834787,8.106133,-0.13880791,10.667401,5.189788,3.1058817,0.4431315,-0.024086958,-0.11497592,4.093658,-0.015105826,-0.030040918,0.099185884,1.3260168,-0.1217281,0.22959605,8.200441,0.0037526346
t3,5.1548896,0.036420006,0.029149136,-0.18851618,3.6769998,2.7780046,-0.19842759,-0.15638793,2.839055,3.2298272,2.0373795,-0.17236663,3.1255565,0.14503095,0.5127178,8.6647005,2.2404253,0.13589706,1.9024668,4.4502416,5.879575,0.86148554,7.3526206,5.0042906,1.4374231,-0.004562983,-0.14995521,0.116100304,2.5851784,-0.00790611,-0.020076748,0.057261437,0.67246616,-0.13524805,-0.019701276,3.7721572,0.0646093
t4,0.12654455,0.10592259,0.8982318,-0.29466984,3.5233762,-0.050421804,-0.43238655,-0.21078235,1.5945488,3.2800453,3.6980164,1.2040485,3.6690896,0.15958892,-0.17110953,9.55502,-0.011342848,0.118559815,2.8526757,-0.08422088,4.337458,4.4801116,6.051686,5.656027,1.7278925,-0.002270498,-0.34045154,4.5621057,1.7595576,0.38239762,0.3120098,0.024571247,2.436794,-0.14302018,0.45964116,0.8939763,0.06398638
t5,-0.060308862,0.11318688,1.5385597,-0.30696055,3.7064583,-0.10301491,-0.4650818,-0.23509566,1.4650517,3.4497116,3.8825088,1.5335095,3.779556,0.1883478,-0.20725237,9.689354,-0.013769732,0.118219174,3.0863986,-0.20002283,4.114525,4.9656534,6.0652785,5.854206,1.7871201,-0.001938918,-0.37578362,5.5519147,1.6474763,0.49571607,0.43922064,0.020237995,2.8177755,-0.14600529,0.49723175,0.6327591,0.066124685
t6,-0.007976984,0.10812817,1.0980077,-0.29849458,3.5783982,-0.06741727,-0.43886393,-0.21531919,1.568605,3.3286953,3.7515335,1.3364552,3.7075763,0.16746771,-0.18458709,9.586475,-0.0121449875,0.11903892,2.9240367,-0.12103768,4.2365894,4.6556444,6.0662,5.721858,1.7241069,-0.002148716,-0.35090074,4.8868656,1.735395,0.42179942,0.38019854,0.02314066,2.548944,-0.14390145,0.46584317,0.8115746,0.06463056
t7,-0.13424036,0.11658266,2.346233,-0.32319638,3.814998,-0.16229495,-0.5050309,-0.26322222,1.369019,3.7057717,3.971799,1.8066132,3.9574497,0.22538972,-0.24773145,9.657016,-0.016069094,0.1185305,3.303063,-0.33734488,3.8379073,5.4456515,6.0941777,5.977932,1.883985,-0.0015539421,-0.4149738,6.727435,1.3959274,0.57654256,0.65346336,0.01444457,3.2460122,-0.14865093,0.6002326,0.28167823,0.07024828
t8,-0.089867145,0.11393919,1.8615036,-0.31257883,3.733905,-0.12945586,-0.47380477,-0.24565706,1.4136053,3.539639,3.9541566,1.6681219,3.8522809,0.20442201,-0.21866038,9.653466,-0.014728718,0.11678261,3.1776478,-0.25427547,3.9610038,5.1217685,6.0551915,5.9095483,1.8276862,-0.0017836182,-0.39172238,5.996712,1.5509086,0.54775214,0.51231694,0.01814144,2.979869,-0.14535443,0.49566713,0.51267576,0.0680198
t9,-0.10571482,0.11466866,2.0255945,-0.3163772,3.7813947,-0.13958968,-0.48462513,-0.25116807,1.4037536,3.6034198,3.9735746,1.719751,3.9033353,0.2117206,-0.22740215,9.680752,-0.0151746,0.11758895,3.2265806,-0.28180388,3.926778,5.2423,6.0801234,5.9393363,1.85424,-0.0017315797,-0.39903575,6.2556963,1.5014282,0.5603883,0.5574793,0.016899036,3.069631,-0.14665323,0.52672434,0.43565533,0.068876766
t10,1.5392464,0.08865563,0.110718034,-0.26404843,3.2696996,0.42841214,-0.36172658,-0.17803074,2.0173154,3.226026,3.2974093,0.26653355,3.3595512,0.13644087,-0.08509794,9.246057,-0.0017602262,0.11980378,2.4064767,0.8530017,4.773816,3.1699483,6.134585,5.495311,1.605576,-0.0030337682,-0.2797432,2.9349713,2.0369315,0.014314003,0.12704042,0.03528697,1.8582736,-0.13594642,0.31812373,1.6894445,0.058382124
t11,-0.09453248,0.11254943,1.9993143,-0.31400615,3.6500306,-0.1422449,-0.4689407,-0.24631332,1.4210286,3.5378811,3.85418,1.7336079,3.8529027,0.20380503,-0.21875964,9.507285,-0.014404198,0.1148045,3.116018,-0.26159978,3.8260913,5.0848174,5.9897046,5.824302,1.8134555,-0.0016455391,-0.39531225,6.09348,1.4733089,0.56732327,0.5312963,0.017357243,2.9896379,-0.14238279,0.5199138,0.4558265,0.06743015
t12,-0.20728996,0.12478451,3.3922853,-0.33537492,3.8561614,-0.23631993,-0.5315779,-0.2849082,1.2492187,3.9094589,3.724876,2.1341498,4.01213,0.26765168,-0.3021301,9.305683,-0.016895495,0.11980522,3.4708943,-0.4891971,3.563385,5.934005,6.073072,6.0855765,1.9090475,-0.0011733157,-0.48465052,8.118704,1.1677619,0.5937631,0.9394001,0.0072175725,3.8672512,-0.15340197,0.95343125,-0.04522177,0.07500636
t13,-0.21792056,0.12375715,3.7129974,-0.32941097,3.6902692,-0.25466153,-0.51267564,-0.2848253,1.2020868,3.8970315,3.510069,2.2249043,3.9816725,0.27458695,-0.3075903,8.91453,-0.015723512,0.11756405,3.4662852,-0.5311825,3.3390207,5.8773584,5.8838167,5.9612064,1.8943472,-0.00080090517,-0.49721763,8.360436,1.0150996,0.54322,1.0523554,0.0045544235,4.0054827,-0.14975311,1.0453835,-0.07799803,0.07541647
t14,-0.049804572,0.1126243,1.5395708,-0.31423667,3.6846952,-0.11142273,-0.45913452,-0.23473838,1.5066373,3.5023847,3.8552723,1.554456,3.810983,0.18487495,-0.20815913,9.7505455,-0.013099857,0.11882656,3.071654,-0.18498088,4.1197157,4.9119277,6.124549,5.886392,1.8033912,-0.002082996,-0.3802556,5.53522,1.6627146,0.5280569,0.44235602,0.021034926,2.7784586,-0.14502595,0.48556337,0.6605414,0.06706844
t15,-0.2472068,0.1261997,4.29356,-0.33272505,3.4857426,-0.29128116,-0.5035824,-0.29146054,1.0495677,3.901303,3.3077762,2.4813528,3.941624,0.29678223,-0.3245579,8.516619,-0.015083367,0.11730908,3.4713013,-0.59292495,3.0653887,5.9937353,5.717355,5.8993807,1.9514521,0.01563839,-0.5358822,8.890043,0.7522787,0.59013665,1.2220769,0.001081206,4.377958,-0.14890727,1.2050726,-0.14630923,0.07619233
t16,-0.24798323,0.1270712,4.3333282,-0.33405107,3.4960778,-0.29492277,-0.50243086,-0.2918608,1.0354776,3.9133859,3.273913,2.4956448,3.9430146,0.29980826,-0.3308386,8.509827,-0.01501241,0.117307544,3.47583,-0.6042984,3.0857353,6.0383434,5.719738,5.918559,1.9710175,0.03490086,-0.54042524,8.971783,0.7568691,0.5744053,1.2423229,0.00068629504,4.443355,-0.14934267,1.2443953,-0.15344611,0.07702717
