,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
t1,11.573199,5.967269,4.500584,4.977473,5.073254,4.0900507,4.9499683,4.451494,4.4869275,4.065524,5.6368265,3.2655756,5.38351,5.6388664,4.2278805,3.8446407,5.8269105,7.4332795,4.917517,5.1476774,5.111203,5.165659,4.6644607,4.2345,6.7264895,5.049257
t2,11.5952425,5.914622,4.5389085,4.932234,5.040303,4.164107,4.9294753,4.4440126,4.539423,4.0171566,5.6823473,3.2092078,5.3346777,5.7457066,4.278698,3.7312276,5.8674426,7.485622,4.997138,5.121616,5.068875,5.173229,4.7196074,4.2150865,6.683681,4.998678
t3,11.529801,5.995211,4.513198,5.0167313,5.028461,4.0993023,4.9196806,4.4852443,4.4514656,4.1048675,5.5974975,3.30258,5.420755,5.6800385,4.192642,3.8719862,5.787504,7.3950357,4.956404,5.1382556,5.0559564,5.1256604,4.626498,4.279254,6.764658,5.087484
t4,11.553834,5.983354,4.50993,4.9926414,5.048301,4.098494,4.937406,4.46149,4.4742,4.081543,5.6214004,3.2808766,5.3960915,5.6503263,4.215711,3.8738697,5.8129725,7.417953,4.936642,5.1390743,5.08107,5.1477017,4.6487427,4.253878,6.738378,5.0641866
t5,11.57851,5.9611683,4.4803343,4.96688,5.0759273,4.0785704,4.927101,4.482708,4.48651,4.0524793,5.647741,3.2547197,5.3822403,5.6476264,4.2243266,3.8554225,5.831011,7.4453745,4.914111,5.1549335,5.1174784,5.15484,4.6763334,4.2265105,6.727943,5.0377126
t6,11.863548,5.712513,4.43721,4.4740567,5.26989,4.11828,5.0441628,4.2734385,5.0162272,3.637023,6.1608605,2.7733686,4.805649,5.5530806,4.753032,2.5814416,6.3294334,7.9433045,4.7629147,5.15926,5.366188,5.402431,5.1836724,3.7930417,6.2246814,4.5500093
t7,11.4719715,6.0578046,4.568222,5.0611053,5.012435,4.1022167,4.928036,4.513629,4.387402,4.1813188,5.552607,3.400112,5.454573,5.610927,4.13929,4.0365343,5.774472,7.3203406,4.9911237,5.152403,5.0250854,5.081115,4.5363836,4.2857504,6.780916,5.159638
t8,11.42786,6.0815787,4.6093144,5.100261,4.98577,4.117077,4.9421597,4.510946,4.378995,4.229339,5.514063,3.446548,5.455649,5.5669146,4.1395144,4.1134095,5.7690134,7.2727175,5.022173,5.144779,4.9918933,5.043098,4.4848385,4.301306,6.763436,5.196659
t9,11.908116,5.7225175,4.4048004,4.4062757,5.275354,4.147014,5.111246,4.242672,5.08102,3.5937,6.228298,2.7140207,4.6499176,5.534903,4.8212767,2.2789679,6.4017634,8.109349,4.757367,5.126008,5.363156,5.4012494,5.2502747,3.68401,6.062939,4.486736
t10,11.933526,5.6359687,4.3869314,4.436971,5.332507,4.0699434,5.015527,4.300688,5.0474725,3.6190674,6.187012,2.7477796,4.7535486,5.519526,4.785857,2.4256797,6.376692,8.011518,4.709948,5.1734653,5.4483533,5.475768,5.2103395,3.7774982,6.1536098,4.526751
t11,11.8873825,5.6840787,4.433434,4.404074,5.2941637,4.1226106,5.0453663,4.246688,5.0880947,3.5757205,6.2311993,2.7055743,4.758912,5.530889,4.8233256,2.460908,6.388255,7.968854,4.7380705,5.1763864,5.401225,5.426402,5.2550917,3.7474866,6.2038417,4.4791102
t12,11.289014,6.2084727,4.710839,5.1787996,4.9266353,4.1411138,4.9260855,4.541808,4.2822423,4.3503556,5.3967495,3.6155233,5.471869,5.469776,4.0475125,4.409863,5.770709,7.1667,5.1547694,5.1336236,4.9184995,4.9855766,4.312573,4.311835,6.7309628,5.3332133
t13,11.270412,6.214339,4.7413125,5.213217,4.9309964,4.138422,4.9532886,4.57207,4.2523637,4.4000406,5.397362,3.6494327,5.5123534,5.433536,4.0387273,4.4212503,5.740961,7.1077204,5.1306257,5.1613345,4.896184,4.9291644,4.286813,4.324117,6.769139,5.3520355
t14,11.226483,6.2923126,4.7717075,5.2417583,4.9105806,4.13113,4.940458,4.598472,4.183346,4.4689417,5.3527126,3.7409878,5.524661,5.374783,3.9987173,4.5289536,5.7411976,7.0692,5.180502,5.159012,4.8697233,4.889452,4.214077,4.309855,6.7584553,5.42486
t15,11.889213,5.692718,4.430415,4.41257,5.290906,4.122216,5.052871,4.248762,5.0780287,3.5874867,6.2232785,2.7148917,4.7507005,5.5356593,4.81539,2.446153,6.3831115,7.9863286,4.743017,5.16771,5.3914104,5.4218903,5.2462683,3.744914,6.1796184,4.489016
t16,11.894573,5.70892,4.431853,4.3732576,5.2852526,4.1367674,5.0874305,4.2155123,5.119594,3.5522199,6.269212,2.6752758,4.685114,5.5339766,4.8577375,2.3489711,6.4226193,8.048666,4.7452674,5.1559477,5.3763504,5.41164,5.2895603,3.687314,6.1204977,4.4460588
