,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
t1,0.67717004,0.26208264,-1.4209204,-0.13954136,-0.058114134,-0.09660394,-0.7501464,2.7312355,-0.192192,0.49593714,0.71181846,-0.084110625,-0.32865635,10.046036,-0.11106394,4.8044252,2.0802045,-0.74667686,-0.012333291,-0.15646139,0.32749414,-0.215151,7.3213515,8.758579,2.1189342,0.0048331046
t2,0.6238512,1.2125442,-1.1100492,-0.12191068,-0.04503001,-0.07162675,-0.706711,3.3751721,-0.16461046,1.2696296,0.5838226,-0.082102284,-0.21042809,7.3032494,-0.14829406,3.8153746,1.5054986,-0.6026976,-0.07660247,-0.1123946,0.2874308,-0.18869133,7.3484516,8.367633,1.6348523,0.73074865
t3,0.55857575,0.3058132,-1.2033371,-0.11822217,-0.04151455,-0.08888805,-0.64179283,2.3968422,-0.16929244,0.26414728,0.6205374,-0.072855145,-0.2824455,8.973452,-0.0971132,4.304209,1.8554344,-0.6513028,-0.015928576,-0.14274749,0.2851043,-0.19201732,6.229576,7.3207145,1.8978105,0.012829208
t4,0.5328044,-0.024223963,-1.24954,-0.12649775,-0.048407514,-0.09437371,-0.60828644,1.9677606,-0.16908884,0.0002699404,0.63589096,-0.07005497,-0.3177642,9.507126,-0.072246246,4.621876,2.075363,-0.6793528,0.3653086,-0.14580914,0.2670877,-0.18250693,5.6644173,7.068324,1.9453626,0.018538762
t5,0.52691144,-0.045108132,-1.2734115,-0.12226549,-0.054196466,-0.09107035,-0.59523314,1.4696395,-0.17066115,0.00043866463,0.64352506,-0.06800738,-0.3234387,9.742716,-0.049786024,4.6500607,2.0894186,-0.6780317,0.56277466,-0.14802617,0.27718884,-0.18674502,5.4815845,6.75403,1.9991792,0.024377625
t6,0.84414667,3.1409225,-1.0313965,-0.14980873,-0.05834087,-0.07457823,-0.98779726,4.9704437,-0.19598436,4.015068,0.6462177,-0.10693829,-0.13512616,5.858086,-0.22133894,2.8460057,1.1399803,-0.6824603,-0.22235693,-0.07202036,0.35841835,-0.2471299,10.898116,11.024226,1.2545674,3.32197
t7,0.4516338,-0.16881813,-1.4261341,-0.12854582,-0.074483104,-0.102404006,-0.5158448,-0.017375877,-0.18188481,0.0030870915,0.6827696,-0.064497046,-0.43631205,12.254167,2.1400015,5.795688,2.797146,-0.72508043,1.8945729,-0.15703145,0.29071862,-0.19940089,3.7313354,4.721326,1.8671135,0.05986372
t8,0.47172797,-0.17698245,-1.4855834,-0.13346182,-0.0792021,-0.10640111,-0.53519547,-0.019690905,-0.18905655,0.0032029862,0.70646584,-0.065927975,-0.4562672,12.735069,2.3016253,5.985661,2.9023697,-0.7541143,1.9808416,-0.16168524,0.3034612,-0.20538606,3.8422694,4.8500843,1.9302362,0.06193725
t9,0.8883823,4.894974,-0.1980854,-0.13289006,-0.12244082,-0.06741091,-0.7602346,4.0564837,-0.15795997,6.670724,0.53299326,-0.09291395,0.5308231,1.1620858,-0.24159524,0.32167643,-0.037222818,-0.4231188,-0.3296942,1.5229592,0.33272076,-0.21743299,11.822831,9.703347,0.32389995,4.6628394
t10,0.9663248,5.140662,-0.51086885,-0.16100498,-0.103303365,-0.07084018,-1.0308896,5.2202444,-0.18943763,6.9647303,0.6345387,-0.10662113,-0.009205652,2.8373046,-0.27705008,1.0989258,0.26397964,-0.6030801,-0.3668301,0.38777965,0.37677905,-0.24560435,13.374534,11.813524,0.6900412,5.1754355
