,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
t10,9.050433,-2.7273757,5.8681173,4.2899847,4.4599,4.0946517,5.774505,4.297843,6.378037,5.879188,4.858053,5.0329638,5.9727864,5.195785,4.922965,5.675238,4.404402,4.676556,4.741562,5.237193,4.1789527,4.761328,4.7638683,3.6254618,3.5617068,4.4473486,4.1670713,6.462971,5.544474,4.3128486,5.2111697,5.789163,4.633352,5.296585,4.9897804,4.4029965,4.662056,5.663566
t12,9.046015,-2.7384958,5.8880806,4.243434,4.444793,4.0605397,5.753715,4.2764935,6.372764,5.8908415,4.8431935,5.018039,6.0021887,5.2148585,4.9674373,5.702741,4.379593,4.67947,4.7680855,5.2339,4.176632,4.775996,4.7930756,3.6298141,3.5665166,4.4417267,4.1839986,6.472339,5.5588923,4.3112874,5.210848,5.773003,4.6073103,5.2954454,4.9949093,4.3775463,4.6884017,5.6387954
t13,8.977158,-2.7967043,5.854956,4.210092,4.456494,4.0772076,5.78328,4.278292,6.407334,5.8234305,4.8768544,4.9862065,5.9924436,5.1759233,4.960094,5.6772876,4.40487,4.720289,4.735422,5.2960334,4.113524,4.7787514,4.761143,3.5961888,3.50327,4.3728967,4.159446,6.4241004,5.4986687,4.374433,5.226333,5.823243,4.6442504,5.336009,4.940354,4.4012256,4.6436496,5.6612167
t7,9.05469,-2.7284842,5.8823295,4.276507,4.4552255,4.074914,5.7583885,4.284573,6.3767247,5.8993187,4.8507566,5.0316076,5.9899073,5.211233,4.9439383,5.694466,4.3868303,4.6706433,4.758323,5.221656,4.182487,4.765097,4.785102,3.63447,3.566789,4.451312,4.180721,6.473681,5.5636725,4.296965,5.209012,5.776694,4.6178656,5.2886324,4.9936075,4.3851047,4.684555,5.6460137
t8,9.063177,-2.730954,5.8493905,4.3125696,4.452797,4.112759,5.7996135,4.311978,6.3840456,5.8588963,4.874892,5.004861,5.956662,5.176701,4.9093046,5.651106,4.4292464,4.705086,4.721318,5.2543535,4.170359,4.7699695,4.7409906,3.5971453,3.5422819,4.4628587,4.1424694,6.4387074,5.5226393,4.324167,5.221268,5.80922,4.6539683,5.3247356,4.97419,4.427791,4.6405725,5.687839
t5,9.055593,-2.7250998,5.8949327,4.271284,4.4572816,4.0684366,5.748345,4.280383,6.3739953,5.9125175,4.844232,5.0428305,5.9952297,5.227306,4.947851,5.703865,4.3774953,4.6568236,4.7698345,5.2110887,4.187945,4.7608724,4.795482,3.6471124,3.5768342,4.4514813,4.189836,6.4863725,5.5817394,4.2879314,5.204813,5.7657557,4.6079783,5.2739587,5.0011363,4.3760195,4.6988955,5.6371875
t3,9.064132,-2.6978765,5.866259,4.3129163,4.445425,4.1115,5.7822394,4.308782,6.3669357,5.848213,4.846177,5.0221663,5.957272,5.1927714,4.911673,5.6695523,4.4095225,4.690939,4.7495403,5.2603,4.19599,4.7719884,4.7580266,3.6149817,3.5737126,4.461832,4.159494,6.455408,5.517121,4.33677,5.21539,5.7921968,4.6247854,5.3076835,5.0005417,4.40829,4.6474442,5.668526
t4,9.037971,-2.7264316,5.8628774,4.3105884,4.461366,4.118517,5.7957006,4.3106036,6.383357,5.860557,4.86437,5.02035,5.9532413,5.188453,4.9061804,5.654528,4.4248767,4.6957417,4.7292924,5.2528005,4.165549,4.766952,4.741444,3.605128,3.5435808,4.436086,4.148879,6.4423814,5.522124,4.3246894,5.2153807,5.807769,4.6489387,5.31693,4.976097,4.4228234,4.639164,5.682475
t2,9.089166,-2.6643693,5.8916183,4.2840314,4.406986,4.118934,5.7958694,4.3293076,6.3154187,5.8410077,4.8057313,5.0094795,5.9447827,5.210779,4.938365,5.6538663,4.425565,4.705273,4.762467,5.263808,4.2212834,4.8021736,4.7457323,3.593164,3.610965,4.4860616,4.143386,6.460513,5.5110946,4.3423195,5.2122083,5.7686114,4.6070952,5.326656,5.042682,4.425376,4.6403184,5.685935
t15,9.417121,-2.0635905,5.817158,4.719163,4.2589703,4.6185255,6.0028663,4.746967,5.8906302,5.5032125,4.608183,5.1568575,5.473171,5.0901732,4.5993505,5.331276,4.700536,4.680028,4.6525903,5.3644886,4.673873,4.7933354,4.455899,3.535958,3.9969466,4.8083954,3.9400303,6.516487,5.249194,4.4971385,5.199757,5.696816,4.6392612,5.341711,5.453659,4.729806,4.355604,5.9904027
