"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101"
"t23",0.0507339002088925,-0.0584554036375203,-0.0355828225985312,-0.48466848841829,-0.0359324101487015,-0.00942735737758501,-0.00684660701604868,0.0389679844059994,-0.00297115347133008,-0.00926753779114848,0.000225856359437758,-0.000633235270963184,-0.000508654862045228,-0.00330641164371474,0.0112698407032839,0.00497201079396221,0.00198992002052111,0.00412670028716285,0.000108842149348423,-0.0151950277664817,0.000223660334694411,8.89458356225462e-06,0.00119387306691828,-0.000704071561718979,-3.59867418537191e-05,0.000428213828752778,0.000112524770793794,-0.000229610359589083,0.00287877881623681,0.00107265770894607,0.00118713132606363,0.00151253645858708,-0.000127979272055951,-0.000528467666217933,-0.000198549298172857,0.00122255352934667,0.00015429080135159,0.00623783719903945,6.78246238148362e-06,-0.282578170286741,-0.0150863668607225,-0.000842161816007835,0.000676007562383177,-8.24684207470395e-05,1.06213635921361e-15,-1.68387102850839e-08,-2.8763880650255e-07,-1.63427240342691e-05,8.24601465553347e-16,1.46372304543199e-15,-7.40169274361729e-05,-3.36186795360179e-05,-0.000120971098174877,-0.405398094034264,0.707106781186544,-6.44160052824739e-05,2.87101859284574e-15,-2.83724258589232e-05,5.69331334642007e-05,-3.13164142824399e-06,0.000127097380966225,-8.01897567903193e-16,1.07150015751815e-05,1.59005453711829e-16,1.37302352060673e-16,8.84297011409267e-06,6.3872441311514e-06,3.30643869580954e-05,-3.82230720875962e-06,-5.00240933944011e-05,1.95467198302622e-16,8.69031180705294e-16,3.13079153188473e-17,3.55456974635497e-16,8.03014413005189e-17,9.25452790313468e-05,-3.21637581260558e-17,1.72309096510965e-05,8.2875984669977e-16,-8.26764953365983e-16,2.57377325029399e-17,-1.06189486053637e-15,8.51120848486939e-05,3.3274516075061e-06,-2.00454069187415e-16,4.72554769246143e-17,7.67482005857372e-16,-8.54456755769581e-17,-6.02281605153694e-18,-2.81768941277113e-16,1.8892988387471e-16,-5.49968732561971e-16,-3.28070576788068e-16,-2.33736688634736e-16,-3.05940580864318e-16,-5.31438849556845e-16,5.2229329377846e-16,3.11386112473078e-15,1.93544651702506e-15,1.2109464546824e-15,-0.099503719021001
"t24",0.0507339002088927,-0.0584554036375206,-0.035582822598531,-0.484668488418292,-0.035932410148702,-0.00942735737758508,-0.00684660701604855,0.0389679844060003,-0.00297115347133028,-0.0092675377911489,0.000225856359437836,-0.000633235270963219,-0.000508654862045378,-0.00330641164371493,0.0112698407032844,0.00497201079396207,0.001989920020522,0.00412670028716261,0.00010884214934834,-0.0151950277664812,0.000223660334696242,8.89458356254949e-06,0.00119387306691757,-0.000704071561719799,-3.59867418537672e-05,0.000428213828752294,0.000112524770793039,-0.000229610359588388,0.00287877881623564,0.00107265770894626,0.00118713132606335,0.00151253645858717,-0.000127979272053851,-0.000528467666217942,-0.000198549298174355,0.00122255352934617,0.000154290801352144,0.00623783719904476,6.78246238085309e-06,-0.282578170286744,-0.0150863668607202,-0.000842161816000432,0.000676007562383012,-8.24684207430476e-05,2.53120870865088e-15,-1.68387098105195e-08,-2.87638797025804e-07,-1.63427240354012e-05,1.32254076186776e-15,-4.43927207728727e-15,-7.40169274360992e-05,-3.36186795292378e-05,-0.000120971098170428,-0.405398094034249,-0.707106781186551,-6.44160052571974e-05,-7.24848788682156e-15,-2.83724258733284e-05,5.69331334696403e-05,-3.13164143435417e-06,0.000127097380986044,-1.94223498666551e-15,1.07150015798207e-05,2.69463897565066e-16,-1.72147738724875e-16,8.84297011263683e-06,6.3872441356811e-06,3.30643869577271e-05,-3.82230720891377e-06,-5.00240933898695e-05,7.87558025578922e-16,1.33622549288948e-16,3.90036343680196e-16,-4.75711825681357e-16,4.03313178753988e-16,9.25452790288785e-05,-4.83615667012521e-16,1.72309096512964e-05,-3.7365617968568e-15,3.25795846163924e-15,-7.38834894903945e-16,-4.66074017962141e-15,8.51120848478182e-05,3.32745160292854e-06,6.33011887086099e-17,-2.79785517838353e-16,-1.52748895333053e-15,2.48376102425066e-16,-5.92643323741964e-16,-5.95384066174681e-16,6.74479900758558e-16,6.86066742595165e-16,3.90065613617573e-16,-2.88038707053235e-16,-7.45059291760185e-16,6.90477001020432e-16,-1.0386366808507e-15,1.22476599292134e-15,2.43919024951205e-15,1.91222658230053e-15,-0.0995037190210002
"t22",0.0507187005875061,-0.0584213136053727,-0.0355490530805227,-0.484049672489253,-0.0358779963878995,-0.0094117541298516,-0.00683439771146523,0.0388975043011411,-0.00296476563772015,-0.00924311534302928,0.000225201571813962,-0.00063129726798081,-0.000507054956340965,-0.00329448729049111,0.0112174169410169,0.00494672626025705,0.00197881966611562,0.00410290124685469,0.000108092133574416,-0.0150778816796102,0.000221866530172711,8.82167729470481e-06,0.00118397834110485,-0.00069813384642117,-3.56163496134645e-05,0.000423569545990908,0.00011118409988606,-0.000226719184370201,0.00284113877876917,0.00105797217811801,0.00117066204608927,0.00148976277624642,-0.000125868566809497,-0.000519457439135075,-0.000194884944948031,0.00119817939668321,0.000151178523525085,0.00601345519721927,6.53570514577634e-06,-0.27129213744184,-0.0144639202603359,-0.00080534901950367,0.000646265736543221,-7.87592116810252e-05,-2.05017089438425e-16,-1.58342605972667e-08,-2.69449926056624e-07,-1.52876325205709e-05,-1.29432606267637e-15,5.69215082954113e-15,-6.76593550191249e-05,-2.87814814769056e-05,-6.36179658895853e-05,0.819294424674822,1.19348975147204e-14,-9.37879601581795e-05,4.37774773829977e-15,-3.17674073181355e-05,6.29695482599684e-05,-3.43411324594259e-06,0.000136165999964179,3.09039584431503e-15,1.13237729901822e-05,-3.12209340051595e-16,3.62438774298028e-16,9.30591677579553e-06,6.71423461347583e-06,3.46819969911254e-05,-4.00125689505093e-06,-5.20936937530098e-05,-9.59444459116219e-16,-1.19159643770297e-15,-3.82344476201006e-16,1.22298499496838e-16,1.97692327664904e-17,9.57229177718463e-05,4.65926781988164e-16,1.7793781056855e-05,8.5223251985729e-15,-4.72267568333846e-16,4.33584226229624e-16,5.96839349499066e-15,8.76748088679324e-05,3.4276409426998e-06,7.4981989550428e-17,-6.96480565710721e-16,-5.27494231904976e-16,-8.26403138079105e-16,3.25490688736804e-16,3.4326957521416e-15,-5.58466898411424e-16,-1.31028902857785e-15,-1.93278039840614e-16,1.4327849450166e-15,2.27047438134025e-16,-2.1455428112429e-15,6.28112459651611e-16,5.16987471057975e-15,1.47351511711485e-16,1.7429154210173e-15,-0.0995037190209974
"t10",0.0502065693898193,-0.0572671810442055,-0.0343986470036011,-0.462850494123278,-0.0340062928943033,-0.00887373710274967,-0.00641247529012007,0.03646082211351,-0.00274261085540693,-0.0083865275314863,0.000202128922698878,-0.000562813484171433,-0.000450433692749001,-0.00286900861103875,0.00931131386023461,0.00402008669127219,0.00156830067063685,0.00321966952208886,7.96647038267777e-05,-0.0105677879341521,0.000152389968345142,5.9882313454255e-06,0.000798744594633139,-0.000466302814986582,-2.06102146793811e-05,0.000233277647051652,5.50226460132456e-05,-0.000103863618678826,0.00122509366016812,0.000419014070311821,0.000451239674929946,0.000468550921459609,-2.80722909445155e-05,-9.65233262985668e-05,-1.7013527251278e-05,-2.90924306935679e-05,-6.45944023823349e-06,-0.012932299714419,-1.46667885214756e-05,0.87342889496516,0.0531969013607137,0.00381193617863895,-0.00315178795740012,0.000426562672328443,-3.63179017368243e-15,0.000301617617863804,-1.04387303992653e-05,-0.000445725055264458,-8.79347285841262e-16,-3.84612351162331e-15,-0.000552311934496539,-0.000143643377858105,-0.000340386628169593,-0.00783591541469212,-1.72084568816899e-15,-0.000207714252837248,6.09113608538569e-17,-6.96333806383453e-05,0.000135836015895513,-7.30591069171975e-06,0.00027460800735726,-2.01923777636115e-16,2.17772272853723e-05,-5.10073342237673e-17,-2.09855081107778e-16,1.75720945837182e-05,1.26138102706927e-05,6.44774671812745e-05,-7.36260035151095e-06,-9.30637191961487e-05,2.74615887102734e-16,7.86807224736088e-16,-2.04184742864331e-17,-2.32607299065861e-16,-2.90370636460794e-16,0.000163336604838451,-6.60921923743055e-17,2.99871365380599e-05,-2.07597824964065e-15,-2.09763856717194e-15,1.78949273502789e-17,-1.8911585812296e-15,0.000144771480306318,5.65982864318257e-06,-2.11075186526722e-16,2.15969941462131e-17,8.20634141405429e-16,-1.22668455894159e-16,-3.05091082336112e-17,-6.26928798213369e-16,-8.97813480736309e-17,-4.13424941657915e-16,-7.72903062459442e-16,-6.79380967140883e-17,-2.53948601038134e-16,-8.07913801585566e-16,1.17209824052134e-15,1.62938283767259e-15,1.74447422344217e-15,1.42693001040178e-15,-0.0995037190209977
"t59",0.0172042149538204,-0.230863262296453,0.0461931127878917,0.0434104637971382,-0.00408043715502825,-0.00158809772294762,-0.00122995485730777,0.00163472836016714,-0.000406039945734272,0.330927663352286,0.000306459526230729,-0.000692259985891273,-0.000521746122656557,-0.00109541059042444,0.00999082268295878,0.00179011742138928,0.00278162164050602,0.0548283117186025,7.93742665085414e-05,-0.0123138786156193,1.49658725503042e-05,7.56600050362928e-06,0.00102451417729719,-0.000612802548786063,-3.90322627860218e-05,0.000506749779812059,-0.492528074118778,-0.00083473309927371,0.109950631015922,0.00567178113611039,0.25488862765709,-0.00155288275940773,1.32942127869694e-05,7.95659950888329e-05,-3.46955567506108e-06,0.000130777997035073,1.80217452683336e-05,0.000273911487647001,7.02034529794749e-07,-0.000460751384025833,0.000263154063403426,5.29487104191034e-05,-0.00011878870328141,1.92266756129545e-05,1.44827742358378e-15,3.55730092137002e-05,-1.34663275843002e-06,-5.91431125470952e-05,5.45679008938542e-17,-2.02186181291204e-15,-9.56102823898488e-05,-3.09560451896358e-05,-8.60594234363505e-05,-9.63476932448965e-06,-2.29330443524134e-15,-5.86834639830461e-05,-1.02537477535625e-16,-2.21994195919355e-05,4.4100104012706e-05,-2.40814190584702e-06,0.00101304371270611,-4.17650572394657e-16,7.89169034841802e-06,5.39855861411212e-16,-8.27381401030738e-16,6.8098972698104e-05,4.67809578888721e-06,2.41609933443602e-05,-2.78684019029122e-06,-1.51592612189897e-05,7.23261718138073e-17,1.84856869995001e-15,3.00264197780802e-15,-2.54392329233338e-15,-4.51956078641016e-15,2.79226114093636e-05,4.96265827319208e-15,1.23766804814697e-05,0.707106781186551,4.39105918528512e-14,-2.264305102344e-14,9.0026720282357e-14,6.08752827518465e-05,3.76624985453263e-06,3.00004021499693e-15,-1.53406692755054e-16,-3.02084771179312e-15,-7.15045861261191e-15,-5.51556681502595e-16,1.11625655392643e-15,-2.64562872082142e-15,-4.09846144927528e-15,-2.74132693233065e-18,-1.54372094328025e-15,-3.83898890005936e-16,-2.48259072552725e-15,-7.02618670306701e-16,7.39580058382507e-15,2.01884906910759e-15,3.38654072540183e-15,-0.0995037190209925
"t60",0.0172042149538205,-0.230863262296452,0.0461931127878919,0.0434104637971382,-0.00408043715502817,-0.00158809772294775,-0.0012299548573081,0.00163472836016756,-0.00040603994573444,0.330927663352287,0.000306459526230412,-0.000692259985891363,-0.000521746122656498,-0.00109541059042447,0.00999082268295962,0.00179011742138957,0.00278162164050586,0.0548283117186025,7.93742665084106e-05,-0.0123138786156212,1.49658725500671e-05,7.5660005030457e-06,0.00102451417729741,-0.000612802548786264,-3.90322627860569e-05,0.000506749779813099,-0.492528074118782,-0.000834733099273759,0.109950631015923,0.00567178113611035,0.254888627657091,-0.00155288275940858,1.32942127877071e-05,7.95659950883207e-05,-3.46955567535521e-06,0.000130777997035364,1.80217452679056e-05,0.000273911487648676,7.02034528361845e-07,-0.000460751384029916,0.000263154063403007,5.29487104195796e-05,-0.00011878870328226,1.92266756127226e-05,-7.46228401553901e-16,3.55730092138381e-05,-1.34663275726051e-06,-5.914311254659e-05,-5.56920965486286e-16,-8.42298592018534e-16,-9.56102823907007e-05,-3.09560451916507e-05,-8.60594234376953e-05,-9.63476931295807e-06,2.28636554133743e-15,-5.86834639814722e-05,4.79909274563201e-16,-2.21994195939697e-05,4.41001040159688e-05,-2.4081419051801e-06,0.00101304371270685,5.2367403174254e-16,7.89169034993465e-06,-4.4101100818951e-16,6.68716826177425e-16,6.80989726941265e-05,4.67809578765661e-06,2.41609933391049e-05,-2.78684017958015e-06,-1.51592612101586e-05,-6.46315830313341e-17,-1.56008313638783e-15,-2.79939333911018e-15,2.53296607985343e-15,4.33408029200307e-15,2.79226113490881e-05,-5.15432228975271e-15,1.23766806794053e-05,-0.707106781186545,-4.40267714151896e-14,2.2787952672707e-14,-9.1540927529408e-14,6.08752827438489e-05,3.76624984098432e-06,-3.13741055228486e-15,3.15600259071366e-16,2.44807939317675e-15,6.6555827175825e-15,4.10687067404599e-16,2.40967872238877e-16,2.30800626761525e-15,2.82595415859501e-15,-6.24985893168969e-16,2.0259735855186e-15,-3.28061757836328e-16,6.89757021925926e-16,1.36910525654804e-15,-2.27006214956846e-16,1.36689391947032e-15,-3.25716931618593e-16,-0.0995037190210051
"t67",0.0172107035434349,-0.231037023993744,0.0462515947153114,0.0434866987881621,-0.00408913197884243,-0.00159184746629019,-0.00123312376369474,0.00163901096994324,-0.00040734897896194,0.332304402328048,0.00030790357370732,-0.000695766835893177,-0.000524489046656421,-0.00110238378270089,0.0100848019555591,0.00180971003363566,0.00281765047874632,0.055585373623982,8.09818191698765e-05,-0.0126483418564884,1.54232466359183e-05,7.81379552392632e-06,0.00105931547695519,-0.000634891367954618,-4.28265437724283e-05,0.000587857236037636,0.507014750864041,-0.0006346392766117,0.0932011565572281,0.0050663425707638,0.229778087428389,-0.00144773182926287,1.2611791503335e-05,7.57943487981818e-05,-3.32929937678422e-06,0.000126110454783084,1.73892635938454e-05,0.000267987830156345,6.869356918121e-07,-0.000451249686342153,0.000257799310962992,5.18950612513186e-05,-0.000116430524157652,1.8848027141921e-05,-2.46111464562226e-16,3.49289746576354e-05,-1.32258959755301e-06,-5.80921190736445e-05,2.69879522426519e-16,-1.13136960852306e-15,-9.40009229334922e-05,-3.04664910939759e-05,-8.4778365825649e-05,-9.49437740498365e-06,1.25247034965525e-15,-5.78532512089727e-05,-4.45821801906211e-16,-2.19061976128276e-05,4.35242663083842e-05,-2.37700305062222e-06,0.00100043108537831,1.89812610249552e-17,7.79688657588642e-06,2.32556952731562e-16,-1.03720848681516e-15,6.72927361375207e-05,4.62294080386832e-06,2.38785947850855e-05,-2.75454984130512e-06,-1.49881573556169e-05,-1.28676079134977e-15,-1.30174882667058e-15,9.929972993163e-16,-7.47635280389413e-16,2.92005477415705e-15,2.76211805758171e-05,2.55255365106241e-15,1.22447987882084e-05,9.04606297167728e-14,-2.34111074728203e-14,7.35220982442474e-16,-0.707106781186548,6.02409341522505e-05,3.72700369616236e-06,-2.23526228939292e-14,-3.79417316376919e-14,5.86478614976375e-15,-2.13029343946325e-15,-1.84618781237938e-15,5.13924211079733e-15,1.30912159970543e-15,3.65161581151109e-16,2.97091048176232e-15,2.39317112823098e-15,9.20196675933282e-16,7.16269222329022e-16,2.41576730918111e-15,4.62796308633976e-15,2.27587832259628e-15,1.33234425965807e-15,-0.0995037190209953
"t68",0.0172107035434349,-0.231037023993744,0.0462515947153119,0.0434866987881622,-0.00408913197884268,-0.00159184746629007,-0.00123312376369443,0.00163901096994301,-0.000407348978961651,0.332304402328048,0.000307903573707396,-0.000695766835893228,-0.000524489046656404,-0.00110238378270155,0.0100848019555587,0.00180971003363584,0.00281765047874626,0.0555853736239819,8.09818191700071e-05,-0.012648341856488,1.54232466360094e-05,7.81379552343836e-06,0.00105931547695455,-0.000634891367954477,-4.28265437722164e-05,0.000587857236037902,0.507014750864041,-0.000634639276611548,0.0932011565572279,0.00506634257076357,0.229778087428391,-0.00144773182926258,1.26117915030791e-05,7.57943487981919e-05,-3.32929937713716e-06,0.000126110454782927,1.73892635936474e-05,0.000267987830155539,6.86935692252389e-07,-0.000451249686339604,0.000257799310963092,5.18950612502996e-05,-0.00011643052415895,1.88480271435145e-05,-3.55367714923261e-17,3.49289746575723e-05,-1.32258959800133e-06,-5.80921190739273e-05,4.08756080625155e-16,6.95271735310694e-16,-9.40009229355894e-05,-3.04664910941851e-05,-8.47783658238232e-05,-9.49437741513959e-06,-2.1163626406917e-15,-5.785325120685e-05,3.47176862337543e-16,-2.19061976147819e-05,4.35242663085151e-05,-2.37700305292516e-06,0.00100043108537838,-3.04212923230364e-17,7.79688657759562e-06,-1.48151206038356e-16,1.43350364887281e-15,6.72927361252472e-05,4.62294080295286e-06,2.38785947887168e-05,-2.75454984063561e-06,-1.49881573505958e-05,1.482525726459e-15,1.79779697275317e-15,-1.08416264592249e-15,4.1399297371005e-16,-2.27929529122101e-15,2.7621180587971e-05,-2.86533570518583e-15,1.22447988324703e-05,-9.06583789630137e-14,2.35122383400985e-14,-8.64184036403452e-16,0.707106781186547,6.02409341087391e-05,3.72700391312596e-06,2.20925960511035e-14,3.68239925262142e-14,-5.94073020219486e-15,1.78209536629184e-15,1.57814942117901e-15,-4.46160042900778e-15,-7.82549395700664e-16,-7.89884009575327e-16,-3.09263812555899e-15,-1.59303919336417e-15,-1.56743976925426e-15,-2.22972394748633e-15,-2.02988246273286e-15,-2.97868417524217e-17,4.34610978620975e-16,1.68488867576342e-15,-0.0995037190210011
"t14",0.0169011755685157,-0.222819790223051,0.0435183139602006,0.0399630028657072,-0.00369060384603074,-0.00142085574204398,-0.0010893054280511,0.00144483374542033,-0.000348776078168561,0.271929977291141,0.000245311914355585,-0.000544884988494547,-0.000406943925600111,-0.000810270896218219,0.00637585061993102,0.00105840467759677,0.00148526013519308,0.028005761215019,2.83049249575728e-05,-0.00274498841872142,2.48939960070016e-06,1.00296865888402e-06,0.000117418883933102,-5.2237174509378e-05,1.55464761658856e-05,-0.000308170020844127,-0.0178005337523224,0.00100591190962704,-0.171795882789962,-0.0118084959268606,-0.576066683155033,0.0060364367882564,-0.000116492300534003,-0.00109667461865476,-0.000332455941905961,0.00174935693468777,0.000216154861842358,0.000857574434918516,2.18081737278242e-06,-0.00135161136348653,0.000758660665046379,0.000148409394568498,-0.000331967593607689,5.32068826765439e-05,8.87174677526621e-15,8.94214078200618e-05,-3.33552124004574e-06,-0.000145773950233038,-2.18118830330917e-14,0.707106781186549,-0.000223200120180972,-6.82238268972772e-05,-0.000180167274768585,-1.98273792025149e-05,-2.96290769696839e-15,-0.000118020948096891,-1.03217450833438e-15,-4.24598725337643e-05,8.36764953669062e-05,-4.53874505521009e-06,0.00186173832372299,-1.41476090048771e-16,1.41762742013055e-05,-8.33098685194644e-16,4.0801765373137e-16,0.00012123098543718,8.30686087901578e-06,4.2677058094443e-05,-4.89683585958189e-06,-2.62289676814009e-05,-4.63677689869482e-16,-1.54867799015913e-16,4.15661078006179e-16,-1.81860484676976e-16,-9.63158586221689e-17,4.71113163546484e-05,-2.31151489054982e-16,2.07341022044696e-05,1.22441444019431e-15,6.20107596171239e-16,-3.51862129787664e-16,-5.96415450465336e-16,0.000100769959925981,6.23446351250312e-06,4.74503548064259e-16,9.60904178795152e-16,7.90867093252641e-17,1.33690188285007e-16,4.9320111084341e-16,8.52438276266996e-18,2.44484488053367e-16,-4.44619768755765e-16,-5.33181026390089e-16,-1.43428167835674e-15,5.19356797510038e-16,-6.27181597363583e-16,-1.4000798908347e-16,1.15877670470128e-15,1.72236497937708e-15,1.81503309278797e-15,-0.0995037190210001
"t15",0.0169011755685157,-0.222819790223051,0.0435183139602007,0.0399630028657073,-0.00369060384603022,-0.00142085574204396,-0.00108930542805105,0.00144483374542004,-0.000348776078168473,0.271929977291141,0.000245311914355811,-0.000544884988494448,-0.000406943925600173,-0.000810270896217778,0.00637585061993062,0.00105840467759731,0.00148526013519332,0.0280057612150184,2.83049249572845e-05,-0.00274498841872017,2.48939960123481e-06,1.00296865922206e-06,0.000117418883932911,-5.22371745092667e-05,1.5546476166389e-05,-0.00030817002084381,-0.0178005337523205,0.00100591190962717,-0.171795882789963,-0.0118084959268598,-0.576066683155036,0.00603643678825656,-0.000116492300534829,-0.0010966746186558,-0.00033245594190725,0.00174935693468676,0.000216154861842255,0.000857574434918046,2.18081737296501e-06,-0.00135161136349192,0.000758660665047376,0.000148409394574736,-0.000331967593607592,5.32068826732289e-05,-9.24324221532153e-15,8.9421407820295e-05,-3.33552124499438e-06,-0.000145773950233423,2.15890188864291e-14,-0.707106781186546,-0.000223200120145714,-6.82238268992655e-05,-0.000180167274768296,-1.98273791939675e-05,3.07913416985883e-15,-0.000118020948099765,8.4575275501734e-16,-4.2459872534226e-05,8.36764953680314e-05,-4.53874505559542e-06,0.00186173832372968,2.90672006822973e-16,1.41762742024517e-05,6.85925819619942e-16,-5.52016102714689e-16,0.000121230985433065,8.30686087935018e-06,4.26770580935431e-05,-4.89683585975797e-06,-2.62289676837655e-05,9.43441950249316e-16,2.01578991581238e-16,-3.94722115208095e-16,3.01298937264598e-16,1.66551776646666e-17,4.71113163552199e-05,5.3226276084479e-16,2.07341022066918e-05,-3.99286733319984e-16,-9.92956022708535e-16,-8.67303864788319e-18,8.74630057163019e-16,0.000100769959925092,6.23446351171524e-06,-4.06599984254152e-16,-7.45037378447744e-16,-1.42435995983753e-16,-2.91187181530736e-16,-5.48665192261284e-16,5.85673327551039e-16,3.28705013952526e-17,-1.8465569282112e-16,9.45920088048114e-17,9.2891005886261e-16,-7.4030988817533e-16,-1.78901026472689e-16,1.05817254834442e-15,3.72530395261028e-15,1.49850777954763e-15,1.35635046453032e-15,-0.0995037190209972
