,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
t1,2.0290055,1.695223,4.37394,5.06809,3.3283634,6.444451,5.0027423,5.3927646,5.357123,5.1461053,5.349255,6.103242,4.781973,5.1357365,7.6631675,7.4308553,6.5278983,3.6709297,3.517952,3.2060518,4.0606985,3.8156247,5.058457,2.6234856
t2,1.7524002,1.7876104,4.3141212,5.035336,3.3539383,6.377013,4.863026,5.4268565,5.4017944,5.2241583,5.325079,6.192852,4.6699996,5.2034197,7.7499495,7.3641996,6.600928,3.573117,3.6096547,3.1694303,4.005876,3.8312619,5.156389,2.687184
t3,1.935578,1.6595067,4.310447,5.005671,3.2939832,6.495226,4.9927316,5.342103,5.302735,5.0485463,5.349354,6.0765076,4.7695475,5.0765357,7.604703,7.40511,6.5092955,3.6946545,3.4459639,3.1985743,4.105927,3.7795978,4.9758863,2.5695894
t4,1.7864851,1.7202188,4.301326,5.0420213,3.3448327,6.430528,4.919674,5.3822684,5.3564982,5.1423626,5.320057,6.135783,4.723559,5.149119,7.6886473,7.3847666,6.5413847,3.635827,3.5342486,3.18259,4.057343,3.8042774,5.081135,2.6216729
t5,1.6851497,1.7239922,4.264525,4.9955153,3.331891,6.4317827,4.871791,5.37072,5.3361664,5.1400676,5.319162,6.159628,4.6905165,5.1338067,7.6825466,7.351758,6.5530024,3.6149046,3.569383,3.1650164,4.0724397,3.80173,5.114639,2.6191597
t6,1.7197099,1.7467165,4.230802,4.952342,3.3270063,6.412197,4.8380055,5.387891,5.345918,5.1528263,5.3428197,6.185744,4.6601386,5.105608,7.6933904,7.3168535,6.5746555,3.5905669,3.5869138,3.179145,4.062126,3.7848997,5.133632,2.6354048
t7,11.32706,1.058474,7.5714536,6.0958405,3.5545177,5.769705,7.54791,5.9030414,5.0968604,4.835862,4.043955,6.6018753,6.0577455,3.633647,5.782453,8.068627,6.5158787,4.733393,2.4128466,1.7832431,4.61892,3.9514203,5.347428,3.4475396
t8,11.098163,1.1640028,7.7927365,5.833262,3.6885223,5.7724404,7.5620112,5.7579136,5.223659,4.9711046,4.057544,6.526856,6.1169333,3.7148445,5.807446,8.200559,6.342994,4.6956263,2.2483764,1.7734141,4.4681363,3.868583,5.3440585,3.4085052
t9,1.6089754,1.6335571,4.2369237,4.966878,3.3042808,6.504201,4.9188437,5.3057942,5.2600718,5.0270615,5.296629,6.112691,4.7281914,5.06343,7.588848,7.3457646,6.489124,3.6833234,3.4919221,3.1439857,4.149666,3.7701638,5.033905,2.5379443
t10,11.087758,1.1501445,7.772004,5.8138843,3.6397002,5.794163,7.5902967,5.7307906,5.19626,4.9258018,4.041298,6.5281463,6.0885086,3.6868467,5.7832522,8.1687975,6.389394,4.6774983,2.23411,1.7719371,4.501885,3.8865552,5.3620667,3.4213543
t11,11.048844,1.1620771,7.780038,5.816009,3.642664,5.824162,7.5839815,5.694507,5.1981726,4.9278564,4.049237,6.5196323,6.0641026,3.679128,5.797483,8.174562,6.3811665,4.645041,2.1911345,1.7655784,4.4984064,3.8850448,5.3499384,3.4132056
t12,1.9892355,1.6551186,4.395874,4.9701,3.2332425,6.5220246,5.081716,5.3827577,5.3230157,4.9730344,5.428719,6.0374174,4.8082633,4.998704,7.536944,7.433192,6.5217957,3.7340925,3.3546476,3.264249,4.0843706,3.7480614,4.906499,2.6023815
t13,11.103918,1.1396666,7.7629004,5.8105707,3.6401398,5.7648044,7.590048,5.7704883,5.194039,4.9317117,4.0430803,6.536542,6.1121154,3.6965036,5.7762237,8.164687,6.388766,4.703693,2.2631636,1.7771715,4.504973,3.8858159,5.366894,3.4287224
t14,11.099316,1.1331618,7.725234,5.857078,3.6143405,5.8275,7.600799,5.710057,5.157835,4.8947854,4.025714,6.5331244,6.053112,3.6511297,5.7748303,8.132712,6.4282885,4.64777,2.2261732,1.7607617,4.542325,3.9226854,5.363025,3.4258344
t15,1.5987737,1.6878386,4.242334,4.979237,3.3201866,6.465569,4.8742895,5.3351517,5.296419,5.0971217,5.302005,6.1445155,4.69923,5.1095695,7.6469116,7.3459134,6.525434,3.6360455,3.5543692,3.1447713,4.111093,3.7927456,5.0998774,2.5828414
t16,11.082966,1.1501663,7.763635,5.81537,3.6353407,5.7909975,7.6027017,5.731245,5.191207,4.923159,4.0380197,6.5233984,6.0943522,3.6797416,5.771641,8.164124,6.392946,4.676632,2.2358634,1.7715586,4.506199,3.894618,5.369074,3.4266021
t17,11.083724,1.2048517,7.7822137,5.884219,3.6571379,5.870185,7.5693817,5.6491694,5.198752,4.9411163,4.027871,6.4942684,6.037097,3.666527,5.825062,8.183907,6.36487,4.5966287,2.1568198,1.7358171,4.486431,3.9067533,5.3184676,3.3725927
t18,11.165023,1.1233287,7.686571,5.943526,3.6506796,5.8413005,7.541086,5.7364144,5.116809,4.9180117,4.016407,6.5569987,6.033152,3.6496346,5.826077,8.105146,6.4235177,4.6353874,2.2235782,1.7309315,4.5767736,3.9601827,5.3091626,3.396797
t19,11.148897,1.1054237,7.6568594,5.931228,3.5415475,5.8098783,7.63806,5.769262,5.136976,4.8379045,4.036609,6.5374207,6.0579414,3.6199067,5.7208605,8.108379,6.4978795,4.676452,2.3031573,1.7863473,4.5708857,3.9402294,5.398967,3.4617686
t20,11.047316,1.1599698,7.734825,5.8166537,3.604717,5.8643756,7.6381083,5.6613965,5.143324,4.8867106,3.9881434,6.50014,6.037545,3.6166778,5.754666,8.124285,6.426174,4.604297,2.181828,1.7319868,4.5471377,3.9556708,5.370362,3.4174552
t21,11.2826,1.1222087,7.603184,6.1068273,3.5933034,5.8593616,7.5745473,5.8041234,5.0837083,4.8341765,3.9917545,6.543031,5.972166,3.5780323,5.800274,8.081095,6.5303755,4.6466227,2.3189082,1.7355007,4.614311,4.0242076,5.336317,3.39372
t22,11.177297,1.1124295,7.6689606,5.9557376,3.6316457,5.837037,7.545744,5.7603097,5.1095586,4.903758,4.007796,6.564015,6.029089,3.6426814,5.8213763,8.093471,6.437243,4.641026,2.2569602,1.7295521,4.5875144,3.9634058,5.3130674,3.4000351
t23,1.0333571,1.2773845,4.133903,4.870053,3.1166859,6.857481,5.0423927,5.0215263,4.933047,4.7319794,5.211435,5.9812717,4.8364234,4.8654494,7.2594395,7.208066,6.2041764,3.8664541,3.4047534,2.9284437,4.4452577,3.679235,4.9050694,2.2318256
t24,1.071718,1.2631491,4.131509,4.8292513,3.1469417,6.834828,5.0698357,5.028628,4.9209127,4.703181,5.1909795,5.9958034,4.8459597,4.862408,7.2722473,7.241841,6.2263584,3.9068005,3.380013,2.957684,4.4729056,3.6647563,4.920094,2.2732434
t25,1.9007732,1.6790458,4.2560015,5.0330334,3.3247268,6.551457,4.9870806,5.2813873,5.2594166,5.0444307,5.25058,6.041282,4.790731,5.0839133,7.631209,7.4530215,6.443555,3.7061749,3.3716085,3.112924,4.151922,3.7782502,4.9340935,2.5281851
