,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
t12,10.234217,2.300169,4.8355474,4.6088142,3.8189797,6.766115,8.326376,8.748848,3.4070532,5.9250555,5.534659,2.259102,7.414459,4.610176,3.57936,4.166038,3.5600803,3.8186731,6.2359734,4.7065606,5.405084,3.5220325,6.6499186,5.478692,5.0158415,4.807487,4.969374,5.322855,5.983477,5.7175665,6.0053377,3.5818198,4.6968307,4.853056,1.8280698
t13,10.200444,2.316527,4.9642425,4.613598,3.93273,6.782529,8.374868,8.783738,3.3199303,5.953281,5.6235366,2.1543324,7.414432,4.6315227,3.6307046,4.2352943,3.5036783,3.8478684,6.1509995,4.776081,5.409755,3.6298182,6.66309,5.494283,5.024858,4.729526,4.9773626,5.2647357,5.9849324,5.6840377,6.08253,3.6466873,4.758042,4.7849445,1.8264557
t9,10.205832,2.3139215,4.9381843,4.6125555,3.9177637,6.7721453,8.360407,8.760336,3.3426716,5.9359245,5.607053,2.1717136,7.4011383,4.6066203,3.6076782,4.2181296,3.522332,3.8317058,6.1707873,4.755801,5.3989263,3.6089478,6.653613,5.495181,5.01935,4.7496214,4.9873257,5.290971,5.9736705,5.693763,6.060793,3.6406307,4.7477303,4.793557,1.8306563
t10,10.222517,2.2586195,4.9457645,4.6739798,3.9695141,6.7430196,8.327121,8.768848,3.305631,5.922504,5.6279097,2.1290514,7.4030457,4.6033864,3.586709,4.2737308,3.4585276,3.8014305,6.1701746,4.7326016,5.3370337,3.656827,6.60362,5.5554743,4.9617853,4.746043,4.994454,5.3058734,5.912752,5.683984,6.0528855,3.7048304,4.778223,4.773455,1.8926299
t7,10.186376,2.3254297,4.973286,4.6129837,3.9608157,6.801022,8.386405,8.808979,3.2954385,5.9619217,5.6440353,2.130272,7.404142,4.625314,3.645146,4.270164,3.4614646,3.8640056,6.137563,4.7827325,5.4011574,3.6524827,6.66789,5.5216455,5.0302696,4.7123866,4.978607,5.2545514,5.9695582,5.6601844,6.0928254,3.678653,4.7870755,4.7654896,1.836417
t8,10.221818,2.285506,4.9850636,4.650647,3.9809961,6.736816,8.339787,8.751279,3.304841,5.9319115,5.6395235,2.1144166,7.414843,4.62071,3.602946,4.2594523,3.4855347,3.8106344,6.149633,4.7537866,5.3741364,3.6748664,6.6262784,5.5194902,4.9918795,4.7327228,4.994559,5.285059,5.952487,5.690233,6.069641,3.6830366,4.7716885,4.7709117,1.8496251
t22,10.2587595,2.2117555,4.953534,4.7126245,4.000726,6.6813354,8.269991,8.730709,3.3106608,5.907153,5.6134806,2.1130843,7.419136,4.6049385,3.546784,4.281004,3.4510663,3.7413735,6.1926436,4.6990037,5.2938104,3.6936731,6.5485473,5.5543404,4.900029,4.7726307,4.9925737,5.333345,5.881695,5.701389,6.0221276,3.7265382,4.7570004,4.795812,1.9492347
t24,10.211345,2.2420955,4.9873185,4.68924,4.0084047,6.7215257,8.317072,8.7266035,3.3234024,5.903386,5.6401825,2.1219518,7.380672,4.568838,3.5693216,4.245759,3.500136,3.774518,6.161938,4.7437,5.3229747,3.6661484,6.586042,5.5342155,4.939346,4.739476,5.027785,5.318222,5.896919,5.7087655,6.062172,3.7281396,4.776137,4.7565284,1.9184034
t30,10.2273245,2.2424438,4.9131637,4.671224,3.9305353,6.7363048,8.315392,8.743836,3.3638747,5.91296,5.5752964,2.1850357,7.3903685,4.579322,3.5533063,4.2197504,3.5127149,3.7735896,6.2077804,4.7179656,5.324605,3.609926,6.587215,5.521944,4.9391584,4.7890673,4.986738,5.340973,5.902231,5.704594,6.0271125,3.6755593,4.722949,4.808179,1.9221257
t31,10.239325,2.227962,4.946843,4.6911936,3.9781601,6.7087426,8.301452,8.737845,3.32824,5.9092994,5.602619,2.1356313,7.4040318,4.5925174,3.5530987,4.25762,3.4762728,3.7605624,6.191378,4.71752,5.3112855,3.666671,6.5702667,5.53753,4.922094,4.773508,4.992582,5.333058,5.8951383,5.7043343,6.033917,3.704427,4.7440996,4.7935405,1.9341855
