,0,1,2,3,4,5,6,7,8,9,10,11,12
t2,11.815233,5.605291,4.55949,5.8351736,3.718073,6.325897,4.2186966,5.585475,6.9324455,5.0884995,5.480623,7.5690627,3.1830034
t84,12.669832,6.3894815,3.6235743,6.051049,3.2661145,6.553851,3.6754117,4.941626,7.0390167,5.2522593,5.957029,8.151646,2.5777256
t85,12.656613,6.425447,3.6776707,5.9853244,3.1315691,6.480204,3.579467,4.8120103,7.051112,5.122855,6.0910115,8.239181,2.4818795
t49,12.646687,6.4225526,3.7407243,6.009789,3.1944437,6.5290728,3.6234937,4.8742905,7.056182,5.1988883,6.0265503,8.216806,2.4918497
t50,12.645758,6.2899814,3.6359706,5.9173527,3.2618058,6.410407,3.707773,4.9517574,7.1346283,5.0879526,5.963703,8.150949,2.6107316
t71,12.551376,6.3627768,3.692297,5.9907365,3.1225102,6.499159,3.5663083,4.826767,7.030133,5.169501,6.1035495,8.125711,2.5719125
t72,12.621053,6.309707,3.5922828,5.961159,3.1966007,6.488753,3.6383102,4.899707,7.050882,5.165722,6.02818,8.099881,2.6339428
t9,11.881813,5.6034465,4.449024,5.96238,3.6362548,6.307394,4.079404,5.4586487,6.961468,5.0479617,5.605032,7.5832186,3.1652858
t54,12.291983,6.1941404,3.9059126,6.060078,3.2497678,6.465673,3.7081192,4.9644227,6.996666,5.2146845,5.991345,7.8504534,2.886299
t55,12.183433,6.120515,4.002989,6.0734625,3.3588152,6.4963675,3.7847657,5.065432,6.950159,5.2704024,5.878513,7.7684484,2.9671712
t52,12.3563,6.2059417,3.728233,5.9585137,3.2101836,6.414619,3.6503341,4.928895,7.084895,5.126007,6.0288987,7.901923,2.8073447
t53,12.427582,6.149953,3.7334898,5.892115,3.2294767,6.3557644,3.7038584,4.9762263,7.141623,5.060276,6.0131664,7.9241595,2.74682
t20,12.287761,6.1725616,3.7483125,5.9619546,3.187084,6.374082,3.6399574,4.920887,7.101116,5.105649,6.0535717,7.844783,2.8686898
t27,12.24076,6.058774,4.0657372,5.96456,3.4095352,6.4448724,3.8032894,5.172137,6.9544096,5.143866,5.825452,7.8851047,2.8285017
t33,12.239868,6.0916467,3.8014045,5.932892,3.1544666,6.2992764,3.6483812,4.919763,7.1370535,5.0381317,6.1018305,7.7761717,2.9268305
