,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
t1,0.38675812,-0.108334236,0.018495534,1.0483624,-0.5060689,1.2485704,4.0074835,0.031708933,-0.3433315,0.5926134,0.8679781,0.19158764,-0.83556944,0.69111085,-0.27720967,-0.013928698,-0.034004856,0.581419,3.8133116,0.0048934813,-0.07994458,-0.21986975,1.149046,0.25664002,-0.008415764,-0.22587796,0.049224038,-0.07381999,1.3570781,0.017681137,-0.1647366,-0.086015634,-0.06790334,0.51714426,0.026796844,-0.05450323
t2,1.9488366,-0.33269387,0.074924,2.791767,-0.9012122,2.1775565,6.7065377,0.059426256,-0.52446645,1.1124668,2.2414856,-0.015646782,-1.7226815,0.6948157,-0.44234052,-0.010710829,-0.023339314,0.79322743,6.4062986,0.007882571,-0.1072273,-0.49264118,2.1880713,-0.03647646,-0.02917669,-0.20953557,0.06259925,-0.16511454,2.021488,0.046745546,-0.3113213,-0.23581208,-0.09493378,1.8943822,0.038431056,-0.16788305
t11,3.8132567,-0.6277885,0.17730962,5.2235513,-1.4478207,3.708041,10.777784,0.103114136,-0.7849314,1.3537116,4.44096,-0.05363012,-2.9178486,0.9712522,-0.7356972,0.059917975,-0.006693269,1.0492002,9.591259,0.012230813,-0.056578834,-0.87344193,4.429743,-0.1258701,-0.103858575,-0.22389124,0.08186151,-0.22573577,3.25263,0.090870045,-0.49155715,-0.46531656,-0.17390798,3.314632,0.058711562,-0.35176364
t15,2.76586,-0.48978558,0.13448378,4.105197,-1.2155069,3.029255,9.251634,0.0829285,-0.6700847,1.122931,3.6562748,-0.056250107,-2.3452263,0.8724308,-0.6051648,-0.0013158069,-0.01944658,1.0603471,8.09725,0.010340953,-0.06257781,-0.7129958,3.7774694,-0.07752808,-0.092906326,-0.2097999,0.07527963,-0.17355958,2.9224513,0.072073154,-0.41932875,-0.3574332,-0.11431973,2.4057968,0.04923483,-0.26690298
t16,4.3133106,-0.7029587,0.19958027,5.760276,-1.5995011,4.048958,11.782625,0.11158471,-0.8473714,1.4645698,4.9807663,-0.06261852,-3.2120824,1.0264552,-0.803074,0.05426119,-0.011477992,1.1263623,10.469822,0.013579358,-0.05767981,-0.97120035,4.863388,-0.13948241,-0.11827122,-0.21826172,0.08759864,-0.24742943,3.561706,0.101050034,-0.54778063,-0.51258576,-0.18766345,3.7109396,0.06394899,-0.39346153
t17,4.2299895,-0.6890718,0.19568902,5.688372,-1.5805858,4.0054502,11.668434,0.110474326,-0.83986765,1.4617428,4.9485254,-0.06193774,-3.1698563,1.0001649,-0.79275393,0.04531989,-0.010044646,1.140234,10.353316,0.01341146,-0.057428528,-0.9599072,4.812669,-0.13829431,-0.1178061,-0.21969797,0.08681362,-0.24494235,3.5555682,0.09998595,-0.5440154,-0.50406075,-0.18443722,3.6555815,0.06335995,-0.38870665
t20,3.6125593,-0.60510266,0.17010519,5.0582466,-1.4274797,3.6131828,10.718079,0.099796414,-0.7743564,1.3343396,4.457476,-0.057411265,-2.842246,0.91937745,-0.7161134,-0.00025613976,-0.010505803,1.1510853,9.462555,0.01207436,-0.059306946,-0.86008584,4.3865647,-0.11813675,-0.10761453,-0.21801493,0.08145343,-0.22250628,3.3286605,0.089074485,-0.49811465,-0.4420677,-0.1588765,3.139076,0.058396447,-0.34471694
t21,1.4940209,-0.31526178,0.08166572,2.796763,-0.87874436,2.269896,7.2502813,0.06199828,-0.53946245,0.7771909,2.6968856,-0.034074996,-1.6761279,0.69115275,-0.45692077,-0.0042552105,-0.015634099,1.0203493,6.298971,0.007467589,-0.06352337,-0.5088774,2.814093,-0.051381506,-0.0625831,-0.21714245,0.05647983,-0.12629509,2.4981656,0.05192234,-0.33057675,-0.23323712,-0.088742174,1.3229367,0.0402976,-0.1875519
t13,4.7763524,-0.76427364,0.21859667,6.2235546,-1.7080114,4.341038,12.47176,0.119762585,-0.8966984,1.5590707,5.346339,-0.06444878,-3.4571462,1.0624675,-0.8588878,0.110851794,-0.0092263445,1.138033,11.122759,0.0145158665,-0.05449956,-1.0423158,5.185403,-0.15611929,-0.12502962,-0.22258757,0.091371074,-0.26826036,3.6888323,0.10888379,-0.58043957,-0.55932736,-0.20907058,4.089419,0.067728795,-0.42389968
t55,-0.019733435,-0.078832686,0.035558183,0.95949155,-0.51974916,1.3111416,5.260721,0.038359508,-0.39400473,0.8027288,1.7751292,-0.041286077,-0.88217247,1.0723646,-0.37102458,-0.010225057,-0.04095424,1.0786853,4.727204,0.0043890304,-0.10037666,-0.27759126,1.8398527,-0.011120321,0.16549419,-0.13480651,0.05545585,-0.08475326,2.5349092,0.029168034,-0.22922343,-0.13277856,-0.039482325,0.0058411653,0.034146965,-0.18172953
t56,-0.041832883,-0.01391498,0.022725157,0.6204559,-0.4128416,1.1374207,4.5161734,0.030848775,-0.34895554,0.62176114,1.3536217,-0.031648293,-0.71378994,0.99434096,-0.32458517,-0.010566592,-0.033693172,0.9268633,4.029638,0.0039604874,-0.106543936,-0.22602539,1.5643625,-0.0047280947,0.2900162,-0.13481055,0.047992714,-0.075755134,2.3162332,0.022175744,-0.19477044,-0.10176295,-0.040226307,0.01235402,0.031310584,-0.15387459
t46,0.06398967,-0.1403133,0.05060249,1.4122776,-0.6258065,1.520482,6.004185,0.044061895,-0.44412267,0.86059844,2.0555573,-0.047862854,-1.085273,1.1815099,-0.41452977,-0.009100724,-0.043802574,1.1572022,5.3394737,0.0052966005,-0.08582151,-0.3245587,2.1301346,-0.019782722,-0.00062663335,-0.13983361,0.06355086,-0.090995654,2.6556327,0.036197495,-0.26058295,-0.16528943,-0.04391003,0.014997646,0.036742866,-0.19829306
t47,0.14555277,-0.15279983,0.05457017,1.5122608,-0.64569086,1.5735843,6.147687,0.04616587,-0.45323345,0.88109374,2.1268938,-0.049645275,-1.1304877,1.1848902,-0.42279872,-0.0087395925,-0.042938486,1.1874167,5.451823,0.005413125,-0.08605069,-0.3360074,2.1985354,-0.02258813,-0.00272533,-0.14263207,0.06452792,-0.09455329,2.6714706,0.03760887,-0.2666526,-0.17295153,-0.04472502,0.09449129,0.037255786,-0.20323938
t10,2.762909,-0.48884133,0.13165964,4.1415095,-1.1963539,2.9182985,9.061898,0.08431063,-0.66881293,1.0839144,3.5405958,-0.05373534,-2.3214445,0.8441209,-0.59323984,-0.0018745954,-0.012669473,1.0363507,7.9807696,0.010146858,-0.044700246,-0.6917776,3.7421064,-0.089199215,-0.08613347,-0.20519915,0.0750147,-0.17384273,2.7476237,0.07009115,-0.4022441,-0.34495845,-0.12171851,2.594897,0.0472352,-0.27306825
t7,3.923092,-0.63173085,0.17729016,5.2639604,-1.444962,3.6464186,10.613041,0.10286157,-0.77739275,1.3180821,4.5120645,-0.055954296,-2.9030812,0.9457817,-0.7293375,0.120525554,-0.010106912,1.0764749,9.437177,0.0122722285,-0.04500305,-0.8659544,4.455552,-0.12319749,-0.10959638,-0.22368458,0.08053875,-0.22103165,3.1220083,0.088003546,-0.4829336,-0.45824862,-0.17150499,3.3937027,0.057258468,-0.33932146
t12,4.663054,-0.7513689,0.21189338,6.0069633,-1.6446878,4.227222,11.997323,0.116212964,-0.8641565,1.5229607,5.120559,-0.061155386,-3.3422234,1.0362502,-0.83016115,0.11177919,-0.009025183,1.1211748,10.65171,0.013947604,-0.046607,-0.9987212,5.01256,-0.15137242,-0.11900061,-0.22700836,0.08693743,-0.26449135,3.4854171,0.102784686,-0.55624145,-0.54214257,-0.20736842,3.9574375,0.065938555,-0.40345666
t22,3.588878,-0.60476756,0.16861375,4.9060984,-1.3655828,3.5348032,10.290289,0.09736154,-0.74524593,1.2923819,4.2511797,-0.053333797,-2.7512224,0.9062592,-0.69453657,0.045557763,-0.012414136,1.0766196,9.021674,0.011551532,-0.04207475,-0.81784636,4.213865,-0.11813099,-0.09890929,-0.23070505,0.07684309,-0.2149481,3.1016958,0.0837981,-0.4756317,-0.4401767,-0.15951146,3.0426788,0.056978166,-0.32262892
