,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,400,400,400,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,1,2,2,1,,,,,,,,,,,,,
top,bBMT,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,400,200,200,400,,,,,,,,,,,,,
mean,,,,,-0.007735700645749688,0.044128774248652164,0.09072259279523967,0.08069972913860177,0.07424609205629232,0.06980670924291588,0.07302917627375391,0.07229086468426654,0.054901280068885706,0.05426263930091171,0.0650459010440413,0.04905195076835179,0.048958035520004495
std,,,,,2.712910801229992,0.06468664345506174,0.11009565045752345,0.08477702209766369,0.08267810960931388,0.0843811130386041,0.0840956323376753,0.08452842213344759,0.0745685393678641,0.0733273686434287,0.08972346247526992,0.07247559841477534,0.07127175299506038
min,,,,,-4.65218350580921,4.182121351996924e-07,0.0,2.587881669346989e-11,2.638025683406594e-13,1.4557269837801806e-08,2.1385590595895137e-23,1.9083420635475696e-33,2.6444620016001315e-07,7.681188803754994e-08,6.648995649999979e-07,3.622817170000593e-09,5.3798503629988035e-08
25%,,,,,-0.4564829272693935,0.0003031787206826369,0.0013676738169878333,0.0035921227606787094,0.004864521813585664,0.002764568749785683,0.0032258177818106047,0.0036025215989156927,0.0004513054391957896,0.0006512633210649978,0.00040539296870746935,0.0005213507830004577,0.0004843294597081752
50%,,,,,-0.1727460107948285,0.00908763801858464,0.051225100670331786,0.051696542715701364,0.04246347993902244,0.0333870266848139,0.03600901989702157,0.031392430502678925,0.022359273885415074,0.021765247780382427,0.02518939787213125,0.01384074737229717,0.013027693135868233
75%,,,,,0.07441979041979807,0.0697116949775263,0.15257297377730833,0.1349274908459659,0.11576927920676063,0.10460463624315472,0.11807304600422976,0.1131188456936205,0.0883721247347556,0.09440952956851291,0.09711339139182747,0.0787276986493719,0.08174429387649647
max,,,,,35.4844691069326,0.41612148801250226,0.549820379643392,0.38128764339348087,0.38644082916164024,0.4141374212529607,0.3711444985498641,0.37223233933952443,0.37218348183240824,0.43806935709158135,0.5515869698873672,0.36854370547713394,0.48434727597139976
