,models,stat,p value,hochberg_adjusted_p_value
0,corHMM_xgb_umap_supervised,-15.532862333702814,6.855000017377851e-43,6.238050015813845e-41
1,phylnn_fill_means_xgb_umap_supervised,-12.627092218022408,5.526359118061325e-31,4.9737232062551927e-29
2,xgb_umap_supervised_xgb_autoenc_supervised,11.732459259899342,1.637449979006109e-27,1.4573304813154369e-25
3,logit_PEM_xgb_umap_supervised,-11.447576912063075,1.9713265275039208e-26,1.73476734420345e-24
4,xgb_umap_supervised_xgb_autoencoded,10.888594957424594,2.3784828378636826e-24,2.0692800689414038e-22
5,xgb_umap_xgb_umap_supervised,-10.697429887188678,1.1903843676886946e-23,1.0237305562122773e-21
6,xgb_PEM_xgb_umap_supervised,-10.688837275059939,1.2792876315593952e-23,1.087394486825486e-21
7,xgb_eigenvecs_xgb_umap_supervised,-10.68181048851628,1.356871814829377e-23,1.1397723244566765e-21
8,corHMM_logit_umap_supervised,-10.637425748268516,1.9671890982101276e-23,1.632766951514406e-21
9,corHMM_logit_autoencoded,-10.57748889407003,3.244116418820817e-23,2.66017546343307e-21
10,corHMM_logit_PEM,-10.344174895073891,2.240487550388708e-22,1.8147949158148535e-20
11,corHMM_logit_umap,-10.263821031415205,4.334748209971357e-22,3.467798567977086e-20
12,logit_eigenvecs_xgb_umap_supervised,-10.23958882938541,5.286310365858924e-22,4.1761851890285494e-20
13,corHMM_logit_autoenc_supervised,-10.23522060188822,5.478696703113514e-22,4.2733834284285407e-20
14,logit_autoencoded_xgb_umap_supervised,-10.146472944106884,1.1304973165562934e-21,8.704829337483459e-20
15,logit_umap_xgb_umap_supervised,-10.082112813776327,1.9073623088523e-21,1.449595354727748e-19
16,corHMM_xgb_umap,-10.068816530466405,2.12451527050473e-21,1.5933864528785474e-19
17,corHMM_xgb_PEM,-9.801346972867453,1.8263043730558027e-20,1.351465236061294e-18
18,corHMM_logit_eigenvecs,-9.755715246601122,2.627193087957859e-20,1.9178509542092372e-18
19,logit_autoenc_supervised_xgb_umap_supervised,-9.374926521640012,5.247039214401161e-19,3.777868234368836e-17
20,corHMM_xgb_eigenvecs,-9.230612209045931,1.6011396973456644e-18,1.1368091851154218e-16
21,corHMM_xgb_autoencoded,-8.465643520916748,4.917240897112969e-16,3.4420686279790784e-14
22,corHMM_xgb_autoenc_supervised,-8.16098402802628,4.38913386882922e-15,3.0285023694921616e-13
23,logit_umap_supervised_xgb_umap_supervised,-7.149366892209399,4.186503738448267e-12,2.8468225421448216e-10
24,phylnn_fill_means_logit_umap_supervised,-7.021349050705507,9.515629563399519e-12,6.375471807477677e-10
25,logit_PEM_logit_umap_supervised,-6.046506305419922,3.404572534445963e-09,2.2470178727343356e-07
26,corHMM_phylnn_fill_means,-5.881434123301604,8.611160580403135e-09,5.597254377262038e-07
27,logit_umap_supervised_xgb_autoenc_supervised,5.758893736039453,1.6924599174742046e-08,1.083174347183491e-06
28,logit_umap_supervised_xgb_autoencoded,5.329048718773735,1.6547447697069817e-07,1.0424892049153985e-05
29,phylnn_fill_means_logit_umap,-5.153641614246715,4.026980065902864e-07,2.496727640859776e-05
30,phylnn_fill_means_logit_autoenc_supervised,-5.128772910368541,4.559234549177288e-07,2.781133074998146e-05
31,phylnn_fill_means_logit_autoencoded,-5.025794708059311,7.583647405532634e-07,4.5501884433195805e-05
33,logit_eigenvecs_logit_umap_supervised,-4.727700210827025,3.154118946554693e-06,0.00018293889890017218
32,phylnn_fill_means_xgb_umap,-4.729454930970705,3.128420363073392e-06,0.0001845768014213301
35,phylnn_fill_means_logit_eigenvecs,-4.716476733153127,3.3233633365115196e-06,0.0001861083468446451
34,logit_umap_supervised_xgb_PEM,4.71649923129924,3.3230154892144657e-06,0.00018941188288522454
36,logit_umap_logit_umap_supervised,-4.706239980038833,3.4853252653606657e-06,0.0001916928895948366
37,logit_umap_supervised_logit_autoencoded,4.629392524046099,4.9682289721782104e-06,0.00026828436449762336
38,logit_umap_supervised_xgb_eigenvecs,4.523163557832118,8.046153246100778e-06,0.0004264461220433413
39,logit_umap_supervised_xgb_umap,4.467928912844038,1.0300978014100513e-05,0.0005356508567332267
40,phylnn_fill_means_xgb_eigenvecs,-4.1704073591682675,3.73275194082581e-05,0.001903703489821163
41,phylnn_fill_means_xgb_PEM,-4.145908218071771,4.136684079420512e-05,0.0020683420397102563
42,logit_umap_supervised_logit_autoenc_supervised,3.920092504170813,0.0001041602029758534,0.005103849945816817
43,phylnn_fill_means_xgb_autoencoded,-3.563494005274883,0.0004102342143242408,0.019691242287563557
44,logit_PEM_logit_umap,-3.4890902429024484,0.000538684780014956,0.025318184660702934
45,phylnn_fill_means_logit_PEM,-3.2252850153353023,0.0013621571670294353,0.06265922968335402
46,logit_PEM_logit_autoenc_supervised,-3.0303978493416293,0.0026013909807091977,0.1170625941319139
47,logit_umap_xgb_autoenc_supervised,2.924242580331858,0.00364988593447451,0.16059498111687845
48,phylnn_fill_means_xgb_autoenc_supervised,-2.882475462184858,0.004159000468196399,0.17883702013244515
49,logit_PEM_logit_autoencoded,-2.694688470213086,0.007343102290947197,0.3084102962197823
50,logit_PEM_xgb_umap,-2.589876457204632,0.00995245479572415,0.4080506466246901
51,logit_eigenvecs_logit_PEM,2.577895347214919,0.010298231393242077,0.4119292557296831
52,logit_autoenc_supervised_xgb_autoenc_supervised,2.485682652528157,0.013338895156467585,0.5202169111022358
53,xgb_umap_xgb_autoenc_supervised,2.310261232741503,0.021383147386664074,0.8125596006932349
90,logit_autoencoded_xgb_umap,-0.04405049052868616,0.9648861937358391,0.9648861937358391
54,logit_autoencoded_xgb_autoenc_supervised,2.1805946450344496,0.029796947576447914,1.1024870603285728
55,logit_eigenvecs_xgb_autoenc_supervised,2.1280190723226453,0.033947899704639406,1.2221243893670186
56,logit_PEM_xgb_eigenvecs,-2.054502938903778,0.04057784667310992,1.4202246335588473
57,logit_umap_xgb_autoencoded,1.94324925045293,0.05268895862198722,1.7914245931475654
89,logit_PEM_xgb_autoenc_supervised,-0.10982551979204071,0.912602967049744,1.825205934099488
88,logit_eigenvecs_logit_autoencoded,-0.16193720336190523,0.8714372768245449,2.6143118304736346
58,logit_PEM_xgb_PEM,-1.7473119871040352,0.08135256339773274,2.6846345921251804
59,xgb_eigenvecs_xgb_autoenc_supervised,1.7152532621219319,0.08707517821851275,2.786405702992408
60,logit_umap_xgb_PEM,1.607006156980657,0.108844045526094,3.374165411308914
87,logit_eigenvecs_xgb_umap,-0.18266990032090918,0.8551498121228867,3.4205992484915466
86,xgb_PEM_xgb_autoencoded,0.1857365827608245,0.8527457236286629,4.263728618143315
61,logit_autoenc_supervised_xgb_autoencoded,1.4081461728625186,0.15986646313182787,4.795993893954836
85,logit_eigenvecs_xgb_eigenvecs,0.22490415923797805,0.8221689690765748,4.933013814459448
84,logit_autoencoded_xgb_eigenvecs,0.3263988951468837,0.7442937084577418,5.210055959204192
67,xgb_umap_xgb_autoencoded,1.1961514104677708,0.23234780170399277,5.576347240895826
63,xgb_PEM_xgb_autoenc_supervised,1.276523678074451,0.20251293053234795,5.670362054905743
66,logit_eigenvecs_logit_umap,-1.209802042994144,0.22707113928967726,5.676778482241931
79,logit_autoenc_supervised_xgb_eigenvecs,0.7167683026389214,0.47393641744556547,5.687237009346786
62,logit_PEM_xgb_autoencoded,-1.2904159885361948,0.19765355011978397,5.731952953473735
83,logit_umap_logit_autoenc_supervised,0.3402057509161835,0.7338806192177441,5.8710449537419525
65,logit_autoenc_supervised_xgb_PEM,1.2121147333066984,0.22618573119802735,5.880829011148711
64,logit_umap_logit_autoencoded,1.2208508742636501,0.2228634398457264,6.017312875834613
78,logit_eigenvecs_logit_autoenc_supervised,-0.7264828261372052,0.46796879773797084,6.083594370593621
82,xgb_eigenvecs_xgb_umap,-0.3853531768682651,0.7001811191011628,6.3016300719104645
69,logit_umap_xgb_eigenvecs,1.0626227232226622,0.2885957923808163,6.349107432377958
68,logit_autoencoded_xgb_autoencoded,1.0870707655860752,0.2776617892266597,6.386221152213173
77,logit_autoencoded_logit_autoenc_supervised,-0.7452528568437002,0.45655764048067793,6.391806966729491
71,xgb_PEM_xgb_umap,-0.9805205339319515,0.32742338873642085,6.548467774728417
81,logit_autoenc_supervised_xgb_umap,0.44029985135764277,0.6599583741450157,6.599583741450157
80,xgb_eigenvecs_xgb_PEM,0.508116315569632,0.61165256295813,6.7281781925394295
70,xgb_autoencoded_xgb_autoenc_supervised,0.9907866117657571,0.32239024390020365,6.770195121904277
74,logit_umap_xgb_umap,0.8449776258195644,0.39862971535560054,6.776705161045209
76,xgb_eigenvecs_xgb_autoencoded,0.7515193309736234,0.4527832105832055,6.791748158748082
72,logit_eigenvecs_xgb_autoencoded,0.9131126385607377,0.3617347089866608,6.872959470746555
73,logit_autoencoded_xgb_PEM,0.8545419616644352,0.3933175550079189,7.07971599014254
75,logit_eigenvecs_xgb_PEM,0.7660351411834054,0.4441083271941326,7.105733235106122
