,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.13923717,7.9727244,8.294629,6.139292,-0.6430654,1.4260917,13.030767,-0.09767008,-0.6367792,0.19850995,-0.076987594,6.138732,5.0801835,8.3254385,-0.028847195,9.155264,-0.719434,-0.058936954
t2,-0.22781229,8.570791,3.7649667,6.4934483,-0.11392171,-0.20535111,10.704963,-0.082751356,-0.5197432,0.18835501,-0.041090198,6.572583,6.0395355,6.1177316,-0.024074959,6.272975,-0.7035163,0.5404706
t3,2.334308,3.9612317,13.839069,2.7246253,-1.0140404,8.067632,12.865323,-0.058260556,-0.5280566,0.19862102,-0.10408526,4.7306066,0.78856134,9.070743,-0.028516455,12.560687,-0.57080024,-0.28273278
t4,-0.21390747,9.2436075,5.215899,7.3901997,-0.22218703,-0.11942968,12.530919,-0.1152286,-0.6211508,0.2129203,-0.04840859,7.3767695,6.630491,7.226191,-0.027117254,7.62916,-0.8256991,0.068952
t5,1.773549,2.7383826,11.739102,2.2695656,-0.8371815,6.250425,11.35106,-0.10492273,-0.28720164,0.14391378,-0.07918298,3.6403391,0.34540057,6.5405345,-0.027614485,9.226378,-0.28481653,-0.24785766
t6,2.0585074,3.7186944,14.507952,3.1119547,-1.0516857,7.7139235,14.1441145,-0.12348469,-0.40102845,0.17881553,-0.10147428,4.590363,0.7131041,8.345414,-0.033124313,11.794068,-0.40867957,-0.30662766
t7,3.1163168,4.080165,14.858459,2.666288,-1.0631918,9.352516,13.010181,-0.045932896,-0.6841159,0.2409889,-0.11271223,5.1862464,0.96335685,10.252156,-0.027572699,14.375133,-0.7139825,-0.28147143
t8,2.2921982,3.818383,13.593853,2.7353804,-1.0001992,7.8358493,12.801559,-0.058812764,-0.494068,0.1846983,-0.10090507,4.6326013,0.7892271,8.71758,-0.028507061,12.125461,-0.55535156,-0.293076
t9,1.9574515,2.480581,10.205356,1.7129829,-0.7141698,6.1596103,9.100567,-0.016197488,-0.32338393,0.12947647,-0.07480921,3.5604682,0.12743121,6.252269,-0.020751122,8.81019,-0.4003296,-0.22864868
t10,2.2046022,3.4431455,12.89487,1.8402079,-0.84031504,7.901737,11.255254,0.6830555,-0.4084906,0.19545561,-0.103661336,4.621364,-0.008634146,8.058542,-0.027023865,11.119564,-0.65766996,-0.27649784
t11,3.9528346,2.7665076,12.273756,1.3881088,-0.765048,9.237987,8.881804,0.06398974,-0.72933155,0.24269888,-0.092973284,4.43159,0.27354228,9.166288,-0.019579802,13.085491,-0.7460672,-0.19548768
t12,4.574086,2.2493374,12.126601,1.0726521,-0.6734618,9.359513,7.6781125,0.09044809,-0.771652,0.26137573,-0.09265387,4.2775493,-0.006948186,8.751057,-0.018405601,12.86548,-0.8088778,-0.15453666
t13,4.0145583,3.0461433,12.891705,1.3405843,-0.85295624,10.3091955,9.43171,0.6429175,-0.84027624,0.25132355,-0.10704233,4.518207,0.6086531,10.481355,-0.016234366,15.054626,-0.8123106,-0.20596899
t14,-0.41028318,10.029545,-0.003986841,4.0394025,-0.065205164,-0.50028354,8.235491,2.4007573,-0.016633704,0.24186471,-0.024938418,7.966011,8.4648695,7.872174,-0.02345275,3.771489,-0.40065947,6.2180777
t15,1.8379028,2.8947477,11.759149,1.1061792,-0.6330925,7.511683,9.645545,1.9676232,-0.25318563,0.18268338,-0.097083576,4.3231997,-0.07250293,6.695149,-0.026461214,9.168334,-0.70442235,-0.27109957
