,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
t5,-2.8752298,5.2386155,4.572271,-1.7572823,4.7101326,4.0839357,3.612056,0.3198165,6.9211955,3.824916,4.2453976,6.0857315,0.7060819,4.514225,3.2084527,4.6894226,1.8293835,0.34158158,3.5634346,5.012249,3.0276618,2.8948069,5.7572775,6.9512835,4.0661516,6.4861264,3.751109,7.3207054
t6,-2.8035178,5.281244,4.575847,-1.8309654,4.7703066,4.122682,3.5326989,0.31738198,6.865312,3.8491976,4.337977,6.030186,0.76603734,4.521293,3.1248765,4.739653,1.8963729,0.26241702,3.6399462,5.013883,3.1034348,2.808202,5.730159,6.887158,3.9825196,6.488816,3.7435434,7.259854
t16,9.040763,-0.69186574,0.75822127,3.3086255,5.4003415,5.170201,3.9525757,2.2305617,8.213405,5.57273,6.350939,5.2337027,2.7309382,6.683001,5.3200197,4.3472424,4.269555,3.5183618,4.390991,4.927147,4.1477036,2.7637684,6.6571884,7.127844,3.7427764,6.637493,4.298386,5.662634
t17,9.043571,-0.6773003,0.78263676,3.2802038,5.3727126,5.195641,3.9805799,2.2171853,8.246722,5.540119,6.375441,5.238128,2.706818,6.7143273,5.2948174,4.3486323,4.2833247,3.5013404,4.3571496,4.927557,4.162916,2.7680173,6.684868,7.1601505,3.7694564,6.6683035,4.2681437,5.6941633
t28,8.880642,-0.5854902,0.6812272,3.1900008,5.566725,5.150601,4.0638285,2.0984845,8.253635,5.558352,6.379304,5.099198,2.6306007,6.6904573,5.374799,4.4728713,4.1374636,3.4707637,4.3547397,4.8839655,4.1973495,2.9099295,6.7684474,7.124751,3.7029068,6.620164,4.3112016,5.6769905
t44,8.798339,-0.53896743,0.5820975,3.1575747,5.6035705,5.147356,4.1025977,2.0041478,8.241346,5.600398,6.330992,4.9794374,2.606503,6.6180644,5.4454083,4.588754,4.019705,3.4457204,4.38167,4.8348784,4.2441945,3.043007,6.79394,7.0961185,3.6683095,6.571233,4.345406,5.638794
t62,9.562129,-0.8124128,-0.32973722,3.6179075,2.8816977,5.319657,3.6720598,1.7768533,7.4144,6.3851204,5.0653877,4.3321776,2.9549403,4.8864837,6.149102,5.4659986,3.7553551,3.6168885,5.3028083,4.173881,4.7206426,4.136782,6.1925144,6.9662075,3.5377903,5.6014633,5.0752463,4.733627
t66,9.6009,-0.8234394,-0.3886328,3.6178792,2.741997,5.346868,3.6411428,1.7834599,7.3646812,6.4101477,5.023583,4.3150806,2.9780197,4.793287,6.1701956,5.5095873,3.7614682,3.641276,5.333525,4.168222,4.714673,4.207096,6.186276,6.9320407,3.5628781,5.557524,5.1361923,4.694986
t275,10.074455,-0.83343655,-0.888325,3.4504275,1.3561801,5.583134,3.3415642,2.0762682,7.0980296,6.381579,4.7251544,4.5016017,3.1173582,4.215871,6.2697268,5.5407276,3.9772637,3.958926,5.107703,4.349526,4.3823504,4.89615,6.3421407,6.6667805,3.800203,5.561871,5.684361,4.2167115
t276,10.061139,-0.8282228,-0.86287594,3.4304774,1.4279956,5.5729485,3.3614948,2.0733016,7.0752335,6.408653,4.65687,4.4980845,3.148252,4.213347,6.2568674,5.5699906,3.97083,3.9303682,5.1023555,4.369501,4.4366384,4.848642,6.3015604,6.6903033,3.748559,5.6115,5.7311144,4.1742187
