,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
t2,11.41684,-0.40179455,4.210909,4.576099,6.4499283,5.8743296,6.430679,6.7300906,0.32390782,5.1239634,5.4038324,4.080705,5.859045,4.7958107,3.870966,4.0172706,6.122098,3.162105,2.4152458
t3,11.383947,-0.3594888,4.1882215,4.557298,6.4100347,5.850274,6.459376,6.6919255,0.37612128,5.109922,5.374794,4.0843573,5.8740444,4.7355905,3.818883,4.0058675,6.17186,3.1713378,2.405297
t1,11.417276,-0.40323827,4.171467,4.575366,6.4918375,5.8656664,6.4035053,6.773609,0.30748585,5.136912,5.4222407,4.10597,5.8789253,4.820185,3.8825057,4.0009165,6.1083145,3.17386,2.443131
t25,11.4094,-0.40942094,4.2188797,4.5223775,6.3826866,5.8881273,6.4109073,6.6596885,0.35527042,5.1422534,5.4130487,4.1190543,5.8714385,4.7707872,3.8380637,4.0247188,6.134657,3.1954715,2.4662457
t28,11.311747,-0.2851681,4.120849,4.510204,6.429356,5.8535633,6.475898,6.7089925,0.39423501,5.1521697,5.3390436,4.026133,5.874221,4.7476997,3.7805345,3.969801,6.1704855,3.2165477,2.3411708
t29,11.347043,-0.33060184,4.1755404,4.5540433,6.379047,5.8281174,6.491493,6.658196,0.38985762,5.105179,5.3487267,4.0548835,5.878825,4.715237,3.8020675,4.001571,6.192148,3.188273,2.3779
t6,11.866971,-0.5742078,4.541091,4.2886195,5.4496293,4.959322,6.3121963,5.680236,1.1902844,5.0414295,4.839512,4.417379,6.249865,3.809768,3.6273923,3.7691135,6.893545,3.015071,2.503683
t7,11.858821,-0.58302975,4.512863,4.26834,5.4940653,5.0190225,6.2896657,5.751063,1.1738176,5.070897,4.887894,4.4433374,6.220737,3.8505087,3.6563988,3.7891238,6.8792524,3.0350175,2.4977841
t8,11.874793,-0.5325235,4.5037336,4.2411075,5.3895617,4.9068384,6.2393312,5.640824,1.3049147,5.071591,4.8963046,4.4697766,6.1986623,3.7954218,3.6865857,3.7663314,6.923136,3.0752513,2.5550635
t23,11.7994175,-0.5526978,4.4765606,4.3232546,5.5860524,5.1175895,6.374194,5.833,1.0733312,5.0661764,4.9211454,4.3827286,6.1955924,3.9134517,3.6376512,3.83424,6.8046565,3.044044,2.499976
t24,11.839993,-0.4971922,4.4942026,4.2396555,5.3446374,4.8817253,6.226378,5.589596,1.3124231,5.0776916,4.886083,4.4444094,6.1948447,3.7552218,3.6612375,3.7296574,6.943814,3.0422268,2.5347774
t18,11.808243,-0.63090426,4.519398,4.333416,5.462613,4.9928365,6.3020577,5.6596055,1.1444708,4.9997225,4.836631,4.373198,6.260636,3.8253648,3.660755,3.707669,6.8288407,2.9808378,2.4486454
t26,11.729578,-0.56187785,4.442111,4.3205647,5.528495,5.0948873,6.3007956,5.7481008,1.0721272,5.0278697,4.8958135,4.3469677,6.2147493,3.9135175,3.6452045,3.742549,6.782719,2.9372385,2.3895512
t27,11.825072,-0.58554566,4.495498,4.2650914,5.5103774,5.0221405,6.287256,5.776371,1.1971163,5.0901747,4.9270477,4.465679,6.1737976,3.8651705,3.6907527,3.7902455,6.8706746,3.0747902,2.5059483
t16,11.85834,-0.5267438,4.553823,4.27426,5.276494,4.7311006,6.278768,5.5027375,1.3941792,5.0682306,4.8585687,4.4800277,6.176126,3.7081308,3.6786444,3.7263992,7.0147815,3.162504,2.6846433
t21,11.862185,-0.5995846,4.515937,4.2668743,5.3292046,4.76168,6.231899,5.541081,1.3355657,5.0563893,4.874275,4.457919,6.2104616,3.7362745,3.6943731,3.7191656,6.9615436,3.1544633,2.6684625
t37,12.026605,-0.9637199,4.7770395,4.4551425,5.0599136,4.2258973,6.4676213,5.1917324,1.5051954,4.8165894,4.729879,4.6322484,6.322442,3.674615,3.9615889,3.784042,7.079165,3.707768,3.279134
t61,12.065503,-1.7095613,5.028759,4.742893,4.765691,3.1315117,6.745788,4.779042,1.7318494,4.480887,4.6089945,4.767294,6.4156046,3.6443152,4.3963804,3.8446715,7.3528566,4.4469223,4.1581755
t168,11.822314,-1.7985456,4.7836795,4.511223,4.8091235,2.3234565,6.6415043,5.0467715,2.0168285,4.6040306,4.7969522,4.567555,6.54956,3.8289142,4.2786255,3.9617023,7.3878317,4.3970995,4.264828
t169,11.903006,-1.75439,4.796268,4.523791,4.8301206,2.4321084,6.588547,4.9985223,2.0022657,4.6107354,4.800987,4.5703926,6.58778,3.8348677,4.282964,3.9295125,7.316701,4.3920174,4.2653646
t196,11.830277,-1.8061935,4.8342667,4.563777,4.7605,2.3804479,6.66263,5.003461,1.961557,4.5491567,4.74485,4.6247554,6.513687,3.7797916,4.340443,3.9980128,7.3870354,4.3887877,4.200622
t197,11.825826,-1.7855588,4.7759204,4.503953,4.8048887,2.349334,6.610702,5.0631843,2.0026543,4.5946684,4.796475,4.5731587,6.5757985,3.82773,4.2946234,3.9941664,7.3543878,4.3583403,4.213139
