,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
t565,10.08059,4.434948,4.558978,5.4000015,5.50811,4.063652,4.977337,5.23977,4.9755297,5.418725,4.8561316,5.695132,4.2982764,4.941106,4.271681,2.6178992,4.9531517,5.49517,3.748326,4.917612,6.2954073,4.2444463,4.825879,5.3812094,5.442537,5.1517076,7.0096393,5.847973,5.0045004,4.1635485,4.1770773,4.4706817,5.2530894,5.279254,5.085586,4.301285,5.029265,4.240251,4.08628,4.872196,5.095137,4.7220755,4.0883064,4.6166787,4.4936943,5.3434253,4.0377207,5.4066954,5.176854,5.8827,5.408059,4.509323,4.69236,3.780983,4.4585032,4.1135697,5.309451,4.7466536,5.3444347,5.639691,4.231368,5.016857,4.115769,5.9776735,5.5275536,5.5925417,5.3243337,4.390307,4.016744,4.3420973,4.803493,5.471967,4.062787,5.348287,3.971458,5.682368,5.7362976,5.949298,4.537304,5.8827305,4.9048414,4.781947,5.752972,3.906519,4.7287564,5.371066,5.596549,4.0858755,3.920618,3.795397,6.4126177,5.6031475,5.458108,5.384389,4.8202667,5.0481377,4.9383254,5.263382,4.865443,5.4592514
t566,10.061703,4.4206347,4.5783854,5.394039,5.496621,4.073339,4.9885964,5.2262125,4.979475,5.414593,4.8296423,5.6500587,4.3197894,4.9324503,4.276133,2.619121,4.9496613,5.4807367,3.7473252,4.933471,6.3124857,4.23876,4.8122687,5.3738375,5.457504,5.1571555,7.0047483,5.86306,4.9851823,4.18072,4.1909065,4.4564013,5.245291,5.2832456,5.08375,4.281776,5.043071,4.250241,4.084113,4.8844633,5.1033096,4.7160087,4.082817,4.627906,4.4963136,5.3463097,4.037075,5.395592,5.1823378,5.8737164,5.4050384,4.5294375,4.6835837,3.777041,4.447214,4.139048,5.3212495,4.7544827,5.351413,5.652808,4.2453003,5.0083857,4.1137595,5.9866996,5.5286484,5.637976,5.3315687,4.406273,4.021588,4.3327303,4.78875,5.4871697,4.0609803,5.32817,3.9666057,5.686618,5.7506013,5.9644494,4.548892,5.882148,4.8967137,4.7681966,5.7524347,3.9205022,4.7401943,5.367606,5.59829,4.0821,3.9146733,3.7863185,6.3921723,5.602774,5.464988,5.3932543,4.82129,5.031863,4.938213,5.257469,4.845959,5.4530773
t438,10.098985,4.438411,4.5370407,5.4246078,5.5260806,4.059254,4.9600954,5.250438,4.97322,5.4244337,4.875617,5.713007,4.2780137,4.959563,4.248448,2.5958178,4.9516797,5.5064316,3.7618308,4.911988,6.2889514,4.249946,4.838487,5.3832703,5.421994,5.144628,7.0121403,5.8300858,5.024576,4.142967,4.168852,4.4832377,5.259911,5.256727,5.0872326,4.324144,5.009196,4.226857,4.0949373,4.8562856,5.0985575,4.7266016,4.0698195,4.603657,4.4914308,5.333927,4.0487747,5.4139447,5.1600895,5.908178,5.4127474,4.4901047,4.713299,3.7948966,4.471716,4.092895,5.2905426,4.7432284,5.33234,5.620271,4.2214117,5.024124,4.1229134,5.972106,5.5299945,5.579124,5.312332,4.3708534,3.9993324,4.364776,4.820692,5.4484253,4.071336,5.365967,3.9546156,5.6647983,5.7310596,5.926999,4.5247517,5.8828344,4.9018006,4.7702646,5.747003,3.8989942,4.715715,5.3929987,5.606896,4.0991297,3.9073994,3.81402,6.4306445,5.623913,5.450921,5.3740993,4.8246202,5.0604987,4.917429,5.2713566,4.8738995,5.470883
t420,10.076059,4.4332457,4.5656304,5.3915787,5.5022535,4.0632467,4.98305,5.2376137,4.977323,5.4178767,4.8503184,5.694838,4.3039327,4.9334936,4.2799306,2.625091,4.9544244,5.4924655,3.7429643,4.91701,6.295505,4.2411027,4.8234453,5.3825126,5.4498367,5.154616,7.0116167,5.8549786,4.9978924,4.169375,4.1779804,4.4647937,5.252152,5.286732,5.0856023,4.289423,5.0361557,4.243267,4.0801296,4.877885,5.091925,4.7214303,4.093742,4.6199384,4.492438,5.348344,4.0325904,5.4051924,5.183821,5.872864,5.407766,4.514205,4.684206,3.7740839,4.4518356,4.119219,5.317135,4.746825,5.3498197,5.648235,4.2334347,5.0134954,4.109919,5.9789596,5.5272408,5.591728,5.329522,4.3964067,4.0229683,4.3335853,4.798296,5.4831977,4.059248,5.3429894,3.9766722,5.688888,5.738501,5.9598603,4.5407324,5.8835917,4.905878,4.7864256,5.7568445,3.9061103,4.732973,5.363314,5.5937734,4.0793676,3.9262643,3.785944,6.4069395,5.5963483,5.462272,5.388129,4.817743,5.044274,4.944943,5.2607784,4.8658156,5.456748
t258,10.09041,4.436224,4.545824,5.4295616,5.520562,4.0821047,4.9649816,5.2423277,4.969735,5.418101,4.8626256,5.6497655,4.2887716,4.957212,4.2406645,2.5868952,4.9494815,5.498977,3.759969,4.9417353,6.31797,4.2550197,4.8271356,5.3749666,5.42244,5.144752,7.0018177,5.8311443,5.019126,4.149613,4.179362,4.4863353,5.253042,5.249883,5.084831,4.3276644,5.00893,4.236148,4.1038094,4.852464,5.122914,4.7101507,4.056736,4.6120987,4.500014,5.3298116,4.0507693,5.408536,5.1596613,5.912866,5.406059,4.5013866,4.7107744,3.7988968,4.4772444,4.1074123,5.29079,4.7615857,5.3304987,5.6173368,4.244335,5.0262313,4.1330714,5.9896407,5.5272565,5.6433153,5.311129,4.373882,4.00412,4.369652,4.814093,5.4448805,4.0707436,5.358143,3.9401593,5.6546,5.730206,5.9252515,4.53164,5.8793,4.902526,4.7445536,5.7411494,3.9152925,4.719771,5.40206,5.5987144,4.103235,3.885285,3.8209536,6.4242773,5.6341352,5.4453406,5.3759,4.8275127,5.056039,4.908046,5.2690125,4.8391533,5.461834
t259,10.090274,4.4362526,4.546016,5.428947,5.5204086,4.0815015,4.9651284,5.2422476,4.9698133,5.4181023,4.862653,5.6512356,4.288906,4.9570546,4.241275,2.5876443,4.9494853,5.498889,3.7598233,4.940933,6.3171926,4.2548823,4.827084,5.3749804,5.4227953,5.1448283,7.0018315,5.8313413,5.0189004,4.1499124,4.1793523,4.486139,5.253007,5.250603,5.08483,4.3274183,5.0093484,4.236225,4.103684,4.852879,5.1221323,4.7105727,4.0576863,4.6121726,4.4999676,5.329937,4.0506682,5.40847,5.159816,5.912389,5.406076,4.501525,4.7105803,3.798746,4.477033,4.107428,5.290989,4.7610583,5.330637,5.6175814,4.243774,5.0261035,4.132942,5.9891624,5.52727,5.641666,5.3112707,4.3742266,4.0042453,4.369118,4.813942,5.4452176,4.070696,5.3579907,3.941066,5.6553226,5.730213,5.925477,4.531722,5.8793283,4.9025764,4.7456613,5.7412505,3.915178,4.7198935,5.4014015,5.598709,4.103089,3.8861895,3.820703,6.424116,5.6333594,5.445491,5.3760104,4.8274627,5.0559096,4.90888,5.2689376,4.839998,5.4618034
t346,10.093357,4.439139,4.5419097,5.440028,5.5233464,4.0937533,4.9620886,5.2437153,4.9665246,5.4167767,4.864977,5.6211367,4.285453,4.9610963,4.229797,2.5747898,4.949379,5.5009313,3.761991,4.957055,6.332307,4.2598977,4.8269415,5.3734303,5.414719,5.1424465,6.998807,5.825254,5.0247045,4.1440415,4.1797395,4.4935055,5.2528296,5.238027,5.084456,4.337061,5.0004497,4.236114,4.1095195,4.8433113,5.138453,4.702283,4.0429654,4.6114635,4.503152,5.325999,4.052984,5.410034,5.156039,5.9223113,5.4041834,4.4988356,4.7148914,3.8034415,4.484729,4.1054416,5.2853923,4.770827,5.32626,5.6098466,4.2540045,5.0306416,4.139172,5.997611,5.5258927,5.673134,5.307098,4.366679,4.002682,4.3800077,4.8171797,5.435563,4.0717287,5.362143,3.9262714,5.6416183,5.726813,5.9175053,4.530181,5.877814,4.904253,4.725574,5.737836,3.918702,4.7169337,5.413692,5.595935,4.107677,3.8676348,3.829093,6.4293394,5.6467977,5.4397426,5.372988,4.829064,5.060052,4.8952556,5.270517,4.821885,5.46049
t902,10.101983,4.4417477,4.5298095,5.455319,5.5331635,4.0927477,4.9526863,5.2495832,4.964619,5.4195223,4.8753705,5.617336,4.274169,4.972596,4.2157145,2.5603514,4.9486337,5.5072885,3.770868,4.9572244,6.331251,4.263589,4.8336225,5.374356,5.402364,5.1383142,6.9994645,5.8148985,5.0363216,4.1318107,4.175572,4.501449,5.256312,5.22281,5.0852456,4.3520555,4.9878354,4.229136,4.1152215,4.833346,5.1436806,4.7050714,4.0295324,4.604487,4.5025373,5.3205037,4.0590243,5.4141054,5.1468134,5.9372416,5.406317,4.488508,4.7272134,3.8115218,4.492835,4.0942616,5.2746434,4.769102,5.319309,5.598491,4.249118,5.035193,4.1441197,5.994192,5.526906,5.679379,5.3001904,4.3545833,3.9926705,4.3943505,4.8265624,5.420037,4.07632,5.372101,3.9140503,5.6286254,5.7254014,5.903386,4.523291,5.877643,4.9022956,4.713788,5.7342963,3.915203,4.709699,5.4275284,5.6020174,4.1152496,3.8556445,3.8403487,6.4396315,5.660799,5.435106,5.3670583,4.8315473,5.067241,4.880525,5.274897,4.822263,5.4662447
t903,10.09176,4.438324,4.533411,5.443863,5.5297623,4.0784855,4.9567304,5.2510166,4.970038,5.423628,4.8711877,5.628586,4.275456,4.9731226,4.233235,2.573089,4.9504375,5.5080857,3.7761426,4.943784,6.318839,4.253862,4.8387046,5.381177,5.411948,5.141966,7.008226,5.8245983,5.0306067,4.134147,4.1725426,4.4897766,5.2591696,5.231099,5.086704,4.3421807,4.9951215,4.226111,4.102836,4.8469543,5.128266,4.7206464,4.0415263,4.602301,4.4943457,5.329828,4.052883,5.4141726,5.1550384,5.9209175,5.4115853,4.489963,4.724477,3.8017392,4.4780087,4.09491,5.284484,4.7545214,5.3280845,5.61293,4.235401,5.027508,4.130642,5.979373,5.529625,5.6652856,5.3079343,4.3596487,3.9899695,4.3825474,4.8227677,5.4288487,4.0734115,5.368218,3.9295142,5.638778,5.7441134,5.9112396,4.5228105,5.881817,4.894062,4.7296534,5.743396,3.904224,4.713412,5.411014,5.6159,4.104469,3.8728619,3.8240783,6.43284,5.6479177,5.446721,5.371063,4.826924,5.062599,4.8892007,5.2728305,4.8351436,5.4705963
t206,10.105429,4.4431906,4.534287,5.4506307,5.529001,4.101301,4.9562383,5.2467775,4.963191,5.4162765,4.873527,5.621193,4.2788515,4.9635134,4.217815,2.5640755,4.9490876,5.504403,3.7603712,4.9630337,6.3385167,4.2659626,4.8284183,5.3719707,5.4048243,5.1391006,6.9963636,5.816252,5.0330696,4.1369386,4.1777034,4.5026045,5.2537994,5.229376,5.0843596,4.3463244,4.9915023,4.2340875,4.1160913,4.8317184,5.145847,4.6933084,4.033393,4.609031,4.506036,5.3202677,4.056992,5.4128423,5.149521,5.935127,5.4028764,4.4922805,4.7194495,3.8098714,4.4949265,4.0986023,5.276783,4.779469,5.3197207,5.5988355,4.2614007,5.0364666,4.14604,6.0063987,5.524762,5.673133,5.3009768,4.3585124,4.001704,4.3903847,4.823553,5.427121,4.07419,5.36945,3.9158854,5.6330004,5.7143154,5.909906,4.526991,5.8760953,4.9095097,4.7179933,5.733157,3.9204638,4.7117014,5.425333,5.5896482,4.1145926,3.859448,3.8397875,6.438266,5.6573772,5.43242,5.368488,4.8314238,5.066441,4.8867884,5.2734365,4.8171525,5.460974
