,models,stat,p value,hochberg_adjusted_p_value
0,corHMM_xgb_umap_supervised,-33.15699087534659,7.466511001344114e-196,9.706464301747348e-195
1,corHMM_logit_umap,-28.638812863631316,1.4179617289842123e-153,1.7015540747810546e-152
2,corHMM_logit_eigenvecs,-27.957107066356027,1.998183417654685e-147,2.1980017594201534e-146
3,corHMM_logit_umap_supervised,-26.757192662426412,8.916944693802877e-137,8.916944693802877e-136
4,corHMM_logit_autoencoded,-26.27679298279695,1.4062209603483595e-132,1.2655988643135236e-131
5,corHMM_logit_autoenc_supervised,-25.997748822902295,3.700663860695263e-130,2.9605310885562103e-129
6,corHMM_xgb_umap,-24.736728176309313,2.1444118758296985e-119,1.5010883130807888e-118
7,corHMM_logit_PEM,-21.634056514849075,2.92593605789515e-94,1.75556163473709e-93
8,corHMM_xgb_PEM,-20.812227030948854,5.84701120162807e-88,2.9235056008140353e-87
9,corHMM_phylnn_fill_means,-20.614489553631042,1.8145500455844087e-86,7.258200182337635e-86
10,corHMM_xgb_autoencoded,-20.29790196716301,4.239218068770698e-84,1.2717654206312094e-83
11,corHMM_xgb_eigenvecs,-19.770082747249884,3.3141415350738438e-80,6.6282830701476875e-80
12,corHMM_xgb_autoenc_supervised,-19.44345051846572,7.832692240492983e-78,7.832692240492983e-78
