accepted_species,estimate
t41,-0.082430884
t66,-0.050775003
t138,0.6087438
t226,0.6087438
t283,0.46472847
t259,0.62100345
t246,0.70457596
t195,0.73577994
t65,-0.082430884
t260,0.36023676
t261,0.2867419
t171,0.13235486
t125,0.020685386
t52,-0.036243863
t102,-0.01994068
t103,-0.07514861
t29,-0.15908855
t91,0.21169889
t67,0.024413982
t55,0.024413982
t69,0.050765768
t118,0.0991122
t119,0.094969526
t113,0.103299335
t129,0.0991122
t169,0.060207445
t308,-0.2832548
t121,0.0991122
t48,-0.14951944
t34,-0.15908855
