,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
t1,-0.19213408,-0.24192055,0.01811001,-0.33118984,-0.049616065,6.225109,2.1803334,-0.14156292,0.04306826,4.6550994,4.205531,4.347933,0.4384077,12.197602,1.7699578,4.147627,2.8077288,0.0013816061,-0.0058228024,0.39338067,-0.032078903,0.22703359,6.5462723,-0.12495575,2.9367514,-0.0071700923,0.020526033,5.204481,-0.010014175,7.885849,-0.22582136,-0.442269,-0.15746273,-0.25530544,0.35740948,7.1708837,0.54068136,0.15459317,-0.21296962,-0.08697727,-0.45217225,-0.20971194,0.0005863776,0.16562532,-0.34526426,13.166023
t2,-0.20558313,-0.2498146,0.020074591,-0.3625641,-0.051629897,6.4665375,2.1164784,-0.16133629,0.044173814,4.4215183,4.488272,4.171536,0.4601988,13.092383,1.8285246,4.094389,2.9108126,0.0014415454,-0.006975765,0.73991746,-0.026059093,0.45244756,7.2730107,-0.13005212,3.0254407,-0.023411866,0.02313195,5.711831,-0.010531029,8.130154,-0.24138345,-0.47625548,-0.1627033,-0.28559214,0.76301044,7.776344,0.5507128,0.17830728,-0.24672243,-0.09412039,-0.47673604,-0.21979454,0.00083814305,0.27829728,-0.35346267,14.193953
t3,-0.21594119,-0.25459373,0.021484438,-0.38140395,-0.05249262,6.6119995,2.0577502,-0.17672122,0.04508263,4.2768445,4.647554,4.066687,0.41067013,13.593413,1.8987077,4.100523,3.0008373,0.001480566,-0.00776587,0.9551828,-0.020823248,0.6015666,7.7675385,-0.13410057,3.039667,-0.03592496,0.024631487,6.0483804,-0.010915932,8.278217,-0.24904394,-0.5089427,-0.1668723,-0.30514285,0.96829176,8.146934,0.5551714,0.1930003,-0.26705918,-0.101697326,-0.49263865,-0.2275328,0.0013093497,0.35008842,-0.3602368,14.863291
t4,-0.16539395,-0.22634041,0.012955033,-0.2474091,-0.04488246,5.688674,2.380589,-0.09025612,0.039196357,5.342551,3.4335465,4.827939,0.4746663,9.955953,1.4755627,4.1104445,2.7104442,0.0012889081,-0.0023756386,-0.0022690438,-0.055048168,-0.013540297,4.818244,-0.11836261,2.7225728,0.61331284,0.014817293,4.0217857,-0.008381945,7.262043,-0.18416162,-0.37027487,-0.1381083,-0.18499339,-0.058185697,5.660328,0.50234425,0.099690825,-0.12504907,-0.06529288,-0.39376166,-0.17823097,0.004241096,-0.0034618787,-0.32075506,10.751934
t5,-0.21420853,-0.24660075,0.016221367,-0.29574615,-0.050508253,6.3709207,2.674511,-0.12274219,0.045196723,5.8738446,3.5431232,5.273836,0.43313852,11.571722,1.6104083,4.545891,3.0816696,0.0014400539,-0.0029806725,0.057777762,-0.05744957,-0.0053044227,5.9260845,-0.118914016,3.1237588,0.5010454,0.018876892,4.758978,-0.011515156,8.158041,-0.21037284,-0.46399173,-0.1699101,-0.2374234,-0.010025698,6.568541,0.5759968,0.12895443,-0.17150001,-0.1096205,-0.45075014,-0.21130544,0.00041191495,-0.0036938952,-0.40822357,12.94063
t6,-0.21420251,-0.24621722,0.016068378,-0.29328078,-0.050540905,6.3519144,2.6697512,-0.12179997,0.045047645,5.8891487,3.5247684,5.273188,0.4353603,11.510204,1.6036594,4.554616,3.0860858,0.0014369506,-0.0029136597,0.054317407,-0.05847194,-0.0055291816,5.8833785,-0.11884378,3.126039,0.51010257,0.018748699,4.7341714,-0.011533465,8.139158,-0.20906512,-0.4634625,-0.16950598,-0.23587595,-0.011894893,6.5370054,0.57405025,0.12798047,-0.1692923,-0.109489284,-0.44933438,-0.21058536,0.00042828885,-0.0038832761,-0.4067399,12.882246
t7,-0.19870639,-0.24675705,0.012505979,-0.23617582,-0.046010498,6.042374,2.6860497,-0.08893365,0.043172754,6.356283,2.9194221,5.6409287,0.39345586,9.84542,1.52224,4.4064627,3.1180964,0.0013645223,-0.0003716151,-0.0020000774,-0.07986018,-0.024806216,4.819764,-0.11504201,2.9417894,0.96612656,0.014966829,4.0142264,-0.01172616,7.7164063,-0.17804295,-0.44922656,-0.15857615,-0.19385003,-0.079529814,5.445337,0.5557905,0.09225743,-0.100202546,-0.09447602,-0.41514337,-0.1922104,0.0009820297,-0.01392681,-0.39992005,11.336799
t8,-0.22283457,-0.25349838,0.01456176,-0.27352458,-0.05044096,6.4084654,2.861528,-0.11123475,0.046522032,6.4882183,3.2039495,5.728648,0.38927042,11.043374,1.5873525,4.6964784,3.260696,0.0014716294,-0.0012408549,-0.0007551338,-0.073794335,-0.014446416,5.5540433,-0.116541654,3.1221426,0.77572536,0.017655447,4.5389004,-0.012481173,8.241037,-0.19842865,-0.48614612,-0.17459565,-0.228044,-0.03993972,6.1317773,0.58976007,0.11346785,-0.13994263,-0.11557382,-0.44843608,-0.21020485,0.00037766513,-0.009010774,-0.43532914,12.651784
t9,-0.1557247,-0.21097933,0.009792129,-0.1799611,-0.038626973,5.27113,2.5116756,-0.04470384,0.036927685,5.8466926,2.736393,5.0932207,0.5297346,7.825787,1.3294239,3.5754013,2.7234802,0.001166635,0.09552756,-0.0039240434,-0.07827368,-0.045202438,3.8225725,-0.12233205,2.6684508,1.1682172,0.012116098,3.3355675,-0.010049704,6.5630083,-0.15435474,-0.37415272,-0.12421824,-0.122943446,-0.13005032,4.438926,0.46071455,0.06298687,-0.0709061,-0.04423559,-0.3493784,-0.15898678,0.0023495727,-0.027043542,-0.31128913,8.964779
t10,-0.1883479,-0.24003197,0.023248235,-0.45974872,-0.04690405,6.7926755,0.6958921,-0.22155571,0.041346807,2.0080125,5.706934,2.1634252,0.5092489,15.293333,2.118508,3.3468275,2.8758879,0.0014878938,-0.012597375,2.0500197,-0.016078686,1.4736842,9.53018,-0.15175708,3.0788114,-0.116444014,0.027389675,7.106688,-0.009526003,8.0983305,-0.29388854,-0.4734961,-0.14832263,-0.34988526,1.8720498,9.547715,0.5059187,0.2570379,-0.32257903,-0.063364975,-0.51016957,-0.2181531,0.0018549631,0.8882006,-0.23946849,16.010633
