,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
t8,9.721302,12.04975,7.2975883,3.328171,10.003295,4.0371013,2.6913688,4.8475056,3.6598392,4.3022885,4.8425736,6.6219616,5.0790358,3.3780327,3.942009,6.3121147,5.706355,5.6585584,7.0320582,5.256518,4.8608336,5.017151,3.6653202,5.4046674,2.9397192,4.9461217,5.7986784,4.810758,3.6761944
t13,9.929339,11.784577,7.2581143,3.3797624,9.74044,4.025641,2.7000527,5.287136,3.5131485,4.2561827,4.934921,6.5633807,5.095114,3.0262291,3.9890501,6.5183716,5.421499,5.5807548,6.724983,5.371353,5.078538,5.095403,3.496409,5.657208,3.0957732,5.303204,5.873962,4.7294207,3.3273
t14,9.9253,11.827368,7.3366847,3.3970373,9.789876,4.062838,2.697925,5.234919,3.4899492,4.242411,4.995218,6.532805,5.1296678,3.067866,3.9673207,6.505857,5.4129486,5.5575085,6.695857,5.376798,5.0329843,5.1010947,3.5120583,5.6490755,3.0759456,5.310763,5.912257,4.728452,3.3620129
t15,9.962372,11.80962,7.2966795,3.4028957,9.763338,4.0717516,2.7244613,5.264843,3.4704294,4.245675,4.9522614,6.5249124,5.129616,3.0477166,3.9955182,6.503921,5.414072,5.5835214,6.7178216,5.3574357,5.083523,5.131346,3.4681299,5.685063,3.0968494,5.3018203,5.9170074,4.7005687,3.3475335
t83,-4.8406663,6.9079733,6.2813053,4.310186,5.7961545,5.2836795,2.5052996,3.2840095,4.4387407,5.689023,4.9351087,4.4333425,5.611427,2.5844967,4.1061244,6.225479,6.1982355,3.0868118,7.021214,6.067614,6.9830265,4.5469704,3.832102,4.519462,5.285629,4.2188063,6.5095906,5.2273498,2.4722102
t215,-5.9936175,4.323976,7.8736506,3.1890202,6.9639473,3.9608161,2.641278,2.8208382,6.7006993,4.6345525,6.922309,5.7545595,5.2953863,2.2861485,4.0700645,5.5283318,7.539917,4.467952,7.9021378,4.452631,5.8711014,6.9265666,3.5558488,5.086599,3.7392533,5.2005706,4.548381,6.866648,4.389014
t239,-5.963755,4.254517,7.860845,3.231368,6.9353085,3.9050293,2.6579893,2.7861178,6.75719,4.68057,6.8855124,5.7097154,5.3270736,2.321019,4.0244813,5.4706707,7.4933386,4.4445066,7.959403,4.4890842,5.917513,6.9220457,3.5975637,5.084528,3.7038999,5.171756,4.5544086,6.84863,4.3597045
t244,-5.930934,4.263227,7.8359017,3.2602684,6.904705,3.858167,2.669542,2.723333,6.74668,4.7142577,6.85542,5.677925,5.375468,2.353869,4.0328717,5.4231515,7.462088,4.415151,8.00694,4.519776,5.9514065,6.913112,3.6167293,5.1116023,3.64066,5.141824,4.576064,6.821764,4.328849
t289,-5.936082,4.3014464,7.8171096,3.249245,6.904208,3.8850496,2.676543,2.7572548,6.707268,4.6964774,6.85916,5.694671,5.341409,2.3405833,4.0743337,5.449065,7.47837,4.409851,7.9797087,4.5150776,5.9333878,6.8728247,3.5769925,5.070253,3.6753619,5.1399674,4.6045513,6.8089066,4.3274927
t290,-5.9718947,4.284726,7.8470173,3.212058,6.939256,3.9372716,2.6476426,2.7979836,6.7259927,4.657761,6.896068,5.732362,5.291791,2.303558,4.0565624,5.504679,7.5163774,4.4433336,7.9265003,4.478162,5.8945823,6.896978,3.572463,5.086357,3.7069886,5.174931,4.576966,6.8405514,4.362965
