,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
t8,1.971848,5.289106,3.575827,1.3572841,0.5245498,3.4479492,-0.5747979,2.4112415,2.822606,-0.026052577,-0.058544762,-0.0035897295,-0.02464556,0.043626223,2.1353528,6.570645,-0.2316594,-0.37425843,-0.15902026,1.7638018,0.03730505,-0.2502927,2.343737,1.3566648,-0.18675695,-0.11353718,0.80564564,-0.26751146,0.34391278
t13,4.3873987,14.033592,5.6386175,2.0315454,-0.08003483,6.7302113,-1.1915336,2.2465744,6.3068643,-0.029589651,-0.13510248,-0.0032002968,-0.17002074,1.1468389,0.5638013,14.725359,-0.4341135,-0.68044424,-0.3077867,0.81080437,4.3984914,-0.7884933,3.734146,1.9185799,-0.31071556,1.2533526,0.008996324,-0.8275405,0.8061675
t14,4.6049194,15.080598,5.9700027,2.1967795,-0.10948659,7.093275,-1.2526165,2.311218,6.7681503,-0.029259065,-0.14085978,-0.0032313114,-0.1884869,1.3305775,0.31889623,15.785976,-0.45918024,-0.70854586,-0.328793,0.84032536,4.945898,-0.857363,3.9648037,2.052986,-0.328859,1.6188408,0.02301791,-0.9038509,0.86416656
t15,4.2040267,15.623369,7.0856194,2.1223633,-0.13505198,7.797836,-1.3741595,2.741035,7.940431,-0.022550764,-0.1541674,-0.004910531,-0.20232692,1.671556,0.30912647,17.423851,-0.5039324,-0.7606539,-0.36732125,0.3700572,4.7138486,-0.9095005,4.391253,1.4327933,-0.3466626,1.6153778,0.0200375,-0.9753894,0.91996384
t83,0.19037682,0.081593364,13.066849,0.015798442,1.4439083,9.8893585,-0.6844285,10.736416,5.403978,4.178888,1.9153349,-0.020629827,-0.114220366,0.11548286,2.8236785,7.2572,-0.19342051,3.8579345,-0.4041364,0.92688495,0.16059385,5.3274417,7.9517965,-0.22681509,-0.29770684,-0.4212596,1.1139164,3.8057954,0.7326269
t215,0.058243454,0.26006097,12.511705,0.039702427,3.260434,10.761147,-0.11030897,14.721843,0.6192864,6.435864,3.6884341,-0.01570427,-0.2092778,0.25495267,3.2116234,0.721747,-0.0357739,8.823727,-0.41343313,3.695508,0.23574518,13.065389,9.662828,-0.07439163,-0.3415292,-0.5798208,1.5999721,10.786984,0.7706367
t239,0.04204751,0.28399217,12.460896,0.042146906,3.4771144,10.834207,-0.027618455,15.129816,0.0015272028,6.656181,3.816562,-0.015066336,-0.22839442,0.26895702,3.2859228,0.113803156,-0.017953817,9.373093,-0.4198855,4.0715322,0.24827127,13.973548,9.852303,-0.0503217,-0.35143358,-0.5954954,1.6528691,11.478919,0.7791387
t244,0.042709842,0.28305155,12.478198,0.042134866,3.4534602,10.830291,-0.032290265,15.123561,0.00050184655,6.6330304,3.8265934,-0.015087317,-0.22694828,0.26810437,3.3080575,0.106476754,-0.019000487,9.340905,-0.41979578,4.062214,0.24697699,13.9579,9.837632,-0.051399972,-0.35189393,-0.5938746,1.6523849,11.49206,0.7776053
t289,0.043399207,0.28315502,12.493216,0.042069852,3.4314473,10.850158,-0.032906596,15.116599,0.014789071,6.640416,3.8351014,-0.015105339,-0.22582752,0.2682396,3.3163147,0.11823648,-0.019422676,9.341789,-0.4195271,4.0645723,0.2468525,13.97539,9.847247,-0.052870654,-0.3511102,-0.59458464,1.6409372,11.4810295,0.7780599
t290,0.043404408,0.28315672,12.493237,0.042068787,3.4313195,10.850172,-0.032928992,15.116524,0.0149654485,6.6403675,3.8351207,-0.015105856,-0.22583282,0.2682343,3.3163571,0.11819345,-0.019419443,9.341805,-0.41952458,4.0644665,0.24684751,13.97537,9.847294,-0.052871197,-0.35110945,-0.59458035,1.6408485,11.481103,0.7780675
