"accepted_species","trait_ARD"
"t55","0"
"t56","0"
"t1","1"
"t31","0"
"t61","0"
"t62","0"
"t17","0"
"t29","1"
"t32","1"
"t59","1"
"t60",NA
"t12","1"
"t13",NA
"t63","1"
"t20","1"
"t21","1"
"t22","1"
"t82","1"
"t83","1"
"t81","1"
"t64","1"
"t69",NA
"t70","1"
"t11",NA
"t86",NA
"t87",NA
"t53",NA
"t54","1"
"t34","1"
"t84","0"
"t97",NA
"t98","0"
"t96","0"
"t88","0"
"t89","0"
"t73",NA
"t19",NA
"t24","0"
"t85","0"
"t92","0"
"t93","0"
"t80","0"
"t37","0"
"t35","0"
"t65","0"
"t66","1"
"t45","1"
"t49","1"
"t50","1"
"t58","1"
"t44","1"
"t23","0"
"t4","1"
"t42","0"
"t43","0"
"t10","0"
"t18","1"
"t15","1"
"t6","1"
"t5","1"
"t7","1"
"t25","1"
"t26","1"
"t94","0"
"t95","0"
"t79","0"
"t90","0"
"t91","0"
"t9","0"
"t16","0"
"t41","0"
"t67","0"
"t68","0"
"t48","0"
"t76","0"
"t77","0"
"t14","0"
"t33","1"
"t78","1"
"t27","0"
"t28","0"
"t3","1"
"t57","1"
"t2","1"
"t39","0"
"t40","1"
"t38","1"
"t74","1"
"t75","1"
"t51","1"
"t52","1"
"t99","1"
"t100","1"
"t30","1"
"t46","1"
"t47","1"
"t36","0"
"t71","0"
"t72","0"
"t8","1"
