,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,400,400,400,400,398.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,1,2,2,1,,,,,,,,,,,,,
top,ER,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,400,200,200,400,,,,,,,,,,,,,
mean,,,,,0.2594053847480612,0.1470109245313123,0.19406529418068286,0.20400625343366252,0.21156009487578545,0.21556325155937084,0.21268166508374484,0.2109978603269075,0.18848846838456879,0.201530745878189,0.24374246987476308,0.19326789728665125,0.18862236539160573
std,,,,,0.3866143712177486,0.0850848764104779,0.07945864798304858,0.08077766217221,0.09106054292094586,0.10312409133466997,0.08198503331244235,0.0790653777968001,0.10205840907632904,0.0959755892678329,0.12755624461611312,0.10006309541302644,0.10015711696169688
min,,,,,-3.277310654388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,,,,0.03701098013248015,0.08002720847097325,0.1464086558078943,0.15578288099551235,0.15549167542516282,0.14283701302983282,0.16023040552131965,0.15988024439030668,0.11936782399539748,0.13891794546469938,0.1565362753110593,0.12437343439945531,0.11458739957742381
50%,,,,,0.310781550438909,0.14707349031007502,0.20467652420720184,0.22348196506073137,0.22121032774302185,0.21751740514457665,0.2320811315221496,0.22684736736797695,0.18965925521915464,0.2136057964999168,0.24667366660681453,0.19947204873786478,0.20072552096368806
75%,,,,,0.5156105674714777,0.20756913911931751,0.24264188241195783,0.25019695254484675,0.25634616177711816,0.27049071534826985,0.2596991350785114,0.2598333454202406,0.24666608773337245,0.25595066336002686,0.3224009585793295,0.2541972089241974,0.253570755145117
max,,,,,0.919505694940795,0.44721477514227803,0.5169204400510204,0.5471540575144738,0.7703138554588769,0.7706240221063357,0.6129561839612354,0.49082365099196884,0.6565564285356489,0.6201201331329601,0.7566442458336535,0.6622989332028313,0.5645335473848723
