,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
t1,7.733083,3.421976,-0.27352852,-0.09243445,-0.18118848,-0.13009515,0.24344328,2.4786086,6.153555,-0.1415506,-0.5289227,14.057821,-0.3509439,-0.12527116,6.7175775,-0.16506754,9.495584,7.6317954,3.7595897,-0.09318725,5.656831,4.785952,-0.0656298,10.958616,3.9655826,0.48962715,-0.34501168,-0.07979198,0.13163131,3.411204,-0.23202066,-0.054768905,-0.54199743,0.00081284513,-0.044553958,11.212636,0.12207696,3.8085625,-0.18553902,-0.21690276,-0.016875979,-0.063581266
t14,14.296498,2.7377954,-0.39209762,-0.02623177,-0.09116507,-0.09008562,0.07631743,2.52234,8.75743,-0.09940716,-0.8654997,19.46167,-0.48065412,-0.16126646,11.078797,-0.18644999,11.6125345,11.421196,3.4402301,-0.040035665,4.8307214,4.7996836,-0.104913,16.657951,1.7690637,0.54004234,-0.22454077,-0.099479355,0.05247942,3.468036,-0.07734333,-0.062097464,-0.39212137,0.06487138,-0.011217022,12.895447,0.1709746,6.518347,-0.10591886,-0.15333161,-0.029149408,-0.07613745
t15,14.163677,2.7321153,-0.39034018,-0.027268348,-0.092889376,-0.090746835,0.08014568,2.530915,8.699774,-0.10120585,-0.8587816,19.353308,-0.47848094,-0.15991901,10.989284,-0.18608023,11.576641,11.34675,3.432228,-0.039149813,4.8455606,4.8034296,-0.10403692,16.538506,1.8177732,0.53952163,-0.22919819,-0.099365436,0.054310653,3.465731,-0.08061922,-0.061848737,-0.3951095,0.059133142,-0.011862511,12.860441,0.16954161,6.472277,-0.10771425,-0.1551928,-0.028880052,-0.07640462
t19,15.0176935,2.7240515,-0.40966126,-0.016984694,-0.089936554,-0.08517431,0.051452212,2.4912226,9.151148,-0.09958098,-0.9030122,20.033356,-0.49715245,-0.17177504,11.604997,-0.18892458,11.848354,11.863633,3.467774,-0.036877327,4.687564,4.9015417,-0.11103649,17.415596,1.5941125,0.5578438,-0.2145891,-0.101519756,0.04415677,3.483734,-0.07698313,-0.062561214,-0.3854663,0.13893606,-0.008945899,13.200475,0.17826112,6.915599,-0.09813386,-0.13498457,-0.030190052,-0.07640282
t20,15.332187,2.7067835,-0.4140674,-0.014705894,-0.087153696,-0.08315324,0.04204421,2.4876752,9.267641,-0.10169541,-0.9142338,20.244087,-0.50621206,-0.17516409,11.786219,-0.19011357,11.944832,12.018873,3.4374855,-0.03312981,4.676398,4.92467,-0.11361966,17.695526,1.4871304,0.56095517,-0.21034464,-0.103397086,0.041621856,3.5106595,-0.07384628,-0.06283213,-0.3813766,0.13691565,-0.007709159,13.298124,0.18003614,7.0637245,-0.08721078,-0.12933749,-0.03057227,-0.07560193
t13,15.886225,2.73075,-0.42140576,-0.010778277,-0.08143045,-0.079699665,0.024672886,2.4557195,9.466123,-0.10464677,-0.9311899,20.554491,-0.52278656,-0.1792429,12.073639,-0.19338132,12.111252,12.334589,3.3300042,-0.020944465,4.714772,4.9231486,-0.11768799,18.150696,1.3140275,0.5630053,-0.20077932,-0.10635897,0.0402729,3.5649085,-0.06393439,-0.06306639,-0.374313,0.13781957,-0.004293969,13.466286,0.18305345,7.363185,-0.073190905,-0.122348495,-0.031986583,-0.07234316
t10,13.638391,2.7993844,-0.38226536,-0.028644454,-0.101341315,-0.09174244,0.0894853,2.5697532,8.519278,-0.10691219,-0.8293725,18.944508,-0.46460956,-0.15689975,10.65322,-0.18405506,11.343719,11.067971,3.4178646,-0.035497688,4.8464837,4.805663,-0.1004305,16.013071,2.0428145,0.534084,-0.24610856,-0.098199524,0.06356987,3.4330914,-0.090949826,-0.06095965,-0.40716815,0.042824976,-0.014351401,12.697996,0.16484419,6.3082314,-0.11570807,-0.1583371,-0.028049197,-0.07428548
t11,12.692237,2.820423,-0.3694356,-0.036941774,-0.11447122,-0.09638749,0.1178271,2.5910976,8.128164,-0.11073406,-0.78922004,18.269339,-0.44436646,-0.14976752,10.040686,-0.18105145,11.054525,10.560512,3.4468155,-0.03961984,4.9532347,4.77413,-0.09336591,15.15662,2.4200141,0.52618587,-0.26492584,-0.09453676,0.07332892,3.3992553,-0.10671437,-0.05942148,-0.41969368,0.0731035,-0.018715272,12.433749,0.15778194,5.939206,-0.12965518,-0.1689804,-0.026397511,-0.074891746
t5,10.79914,3.006742,-0.33628753,-0.0608377,-0.1431732,-0.11205026,0.1704172,2.6194,7.4438725,-0.11925678,-0.6895056,16.791727,-0.4070315,-0.13959543,8.784688,-0.17402016,10.539884,9.427318,3.6555154,-0.058698572,5.2707944,4.803868,-0.082484744,13.600688,3.043134,0.51618546,-0.2954223,-0.090379976,0.09427478,3.4377074,-0.14956225,-0.05776742,-0.47161198,0.06551491,-0.029485082,12.03804,0.14625454,5.111232,-0.14311929,-0.1906441,-0.022514312,-0.07172675
t2,4.6595154,3.8848026,-0.21036772,-0.12102938,-0.21572949,-0.1470735,0.31426862,2.2698135,4.77852,-0.1746214,-0.3785439,11.201612,-0.295937,-0.11076768,4.646647,-0.16073465,8.43387,5.871273,3.8487868,-0.117567696,5.9396386,4.747341,-0.050171357,8.26175,4.831925,0.4620837,-0.40140456,-0.06777343,0.17128015,3.2863808,-0.32365766,-0.05209402,-0.6147013,0.0045507615,-0.059066053,10.268658,0.09606508,2.552555,-0.24219121,-0.24109383,-0.011877793,-0.05484827
