,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
t1,5.588938,3.6485949,8.527598,-0.9063275,7.20479,5.7013936,6.251615,7.0669594,2.0763662,5.097175,7.1829805,2.6681123,4.2429466,5.6561003,3.151673,3.901572,5.2765245,3.1781745,4.1673193,3.2874007,2.7696,4.32515,7.304101,4.503394,5.666578,4.305324,5.6124825,5.1051064,3.2434578,4.497766,4.1387587,4.942183,4.8167853,5.7472024,6.690825,6.2789335,3.348597,3.516612,4.383804,4.869296,6.9033594,3.9533365
t14,5.50608,3.1917508,8.50591,-1.3306993,7.1650634,5.704223,6.403011,7.0029073,1.721534,4.9721804,7.158788,2.6919262,4.1811333,5.8343635,2.9613585,3.888365,5.23904,3.0970001,4.158264,3.2117085,2.8556027,4.5063014,7.293732,4.633433,5.656743,4.358818,5.4491105,5.123186,2.917084,4.405959,3.9641206,5.088559,4.803387,5.3924847,6.7139497,6.3710837,3.5228372,3.668033,4.4567366,4.6757236,6.9723096,3.9468694
t15,5.5141826,3.2558835,8.514549,-1.2687403,7.1630273,5.6990743,6.3755083,7.0003843,1.774138,4.984199,7.154618,2.6995893,4.1812744,5.8034787,2.986557,3.8793755,5.2250104,3.1087978,4.1698594,3.2184157,2.8522425,4.485335,7.297194,4.613048,5.669103,4.363804,5.4668417,5.118299,2.9648154,4.4118795,3.9876454,5.076137,4.8133917,5.4454494,6.7245073,6.369786,3.5025446,3.6489801,4.4587708,4.701835,6.9729786,3.9448597
t19,5.518873,3.2309506,8.5142765,-1.2935799,7.158028,5.6909776,6.397833,6.9890523,1.7449728,4.960265,7.1438127,2.7054768,4.167675,5.827769,2.9579728,3.8884256,5.226954,3.1068892,4.1484313,3.2174625,2.8711827,4.512726,7.2770486,4.621967,5.678023,4.376894,5.440364,5.11758,2.9348168,4.391816,3.9603558,5.1001115,4.823856,5.4168515,6.7343616,6.3822136,3.5294187,3.6760876,4.4706135,4.673519,6.9789567,3.9399889
t20,5.516058,3.2159934,8.511147,-1.306985,7.162395,5.6967454,6.3953447,6.9958167,1.7437502,4.9665866,7.1508064,2.6984706,4.1743503,5.825299,2.9629903,3.8890615,5.233668,3.1053128,4.152719,3.2175188,2.8644416,4.507055,7.2839746,4.622805,5.6702576,4.36975,5.4462442,5.1190906,2.9359665,4.3985147,3.9659002,5.0938087,4.816235,5.4152174,6.726836,6.3757753,3.5237336,3.670327,4.463909,4.678714,6.973606,3.9428833
t13,5.511477,3.1306047,8.4979515,-1.3869956,7.182762,5.7248225,6.387911,7.0251617,1.7163681,4.9900317,7.1835976,2.6639216,4.2042046,5.8234105,2.976714,3.895515,5.262747,3.1042337,4.1634336,3.2244453,2.8390698,4.4895124,7.3087764,4.624347,5.639868,4.3438053,5.4658484,5.1199164,2.9211853,4.422714,3.9810789,5.0707746,4.785653,5.3860803,6.6988983,6.3467965,3.5061493,3.6516316,4.4353166,4.6915135,6.9462886,3.9491067
t10,5.525513,3.1823342,8.514092,-1.3409077,7.154425,5.6822715,6.41979,6.979495,1.7115842,4.936029,7.132812,2.7103033,4.154958,5.8505964,2.9252148,3.8991349,5.233579,3.1060631,4.124191,3.2176607,2.8898358,4.540529,7.2542295,4.628864,5.6877055,4.388449,5.4143043,5.117299,2.9008934,4.3720136,3.9340463,5.123994,4.8355565,5.384702,6.7432466,6.3916726,3.5549777,3.7034278,4.480309,4.642789,6.9826837,3.935487
t11,5.4877687,3.2491791,8.506146,-1.2758253,7.1650825,5.7013187,6.3889904,7.008023,1.775928,4.9966903,7.1579666,2.7005665,4.1863394,5.808966,2.9904213,3.8775444,5.2364964,3.08639,4.181964,3.1983407,2.8327696,4.476007,7.314481,4.6339684,5.644589,4.3388453,5.477573,5.1344023,2.9664063,4.43098,3.9962983,5.0620613,4.792224,5.4469543,6.6976404,6.366341,3.4931278,3.640122,4.450197,4.7081237,6.978948,3.9605687
t5,5.5246964,3.386132,8.515258,-1.1526518,7.175287,5.705852,6.350781,7.026542,1.8760844,5.016024,7.1677876,2.6857433,4.205498,5.7742863,3.0297277,3.8818517,5.2462096,3.1197295,4.172031,3.2301638,2.823227,4.4437017,7.302425,4.59245,5.660937,4.33574,5.506068,5.1177244,3.052239,4.439756,4.0261955,5.0388184,4.807514,5.546679,6.703552,6.3359823,3.4625034,3.6137717,4.4294443,4.741662,6.9533253,3.947985
t2,5.5806084,3.7884676,8.504798,-0.7758444,7.234514,5.672533,6.247346,7.0933347,2.200864,5.175736,7.174472,2.6898704,4.2515016,5.5934553,3.2115624,3.9515052,5.341113,3.1544247,4.158768,3.2765794,2.6920233,4.2053328,7.3294287,4.504395,5.5997987,4.22625,5.719284,5.1515174,3.3603573,4.5912066,4.248459,4.8336005,4.7724943,5.8639965,6.60947,6.263391,3.2460608,3.437295,4.3514285,4.981321,6.894284,4.013433
