,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
t1,6.2685885,4.132632,3.8442254,3.934441,0.49433562,6.3006587,7.062063,3.7616086,6.9179063,6.793276,2.7236369,4.957194,3.401883,3.297542,6.823951,3.4220994,4.154062,4.4606533,2.8700871,4.6629853,4.095891,3.4604442,3.62404,3.8302863,3.200807,5.2698207,5.894055,5.786945,3.0881186,3.6619601,6.6765733,5.5344872,3.6458664,6.5658183,3.6741753,4.298836,4.355022
t24,8.546622,6.2350564,0.43990922,2.904379,6.4086494,5.712382,6.604703,3.872871,6.4741197,7.522267,4.2116055,5.605107,6.180814,3.7576013,4.961438,5.0893264,5.353681,6.7333593,2.0747926,3.4878476,4.1946564,3.0595589,3.3689556,4.137859,2.34444,4.279754,6.0369263,2.824303,3.4698284,3.652923,9.146363,5.385033,7.193993,8.413932,2.7201374,6.062104,4.2955565
t46,8.598028,6.238815,0.387544,2.9005277,6.4735947,5.7109876,6.610733,3.8543537,6.4902205,7.5225496,4.217451,5.600137,6.1906557,3.7559931,4.924489,5.084112,5.36307,6.726473,2.043575,3.49453,4.177884,3.0761387,3.3598804,4.1515718,2.3327358,4.2808228,6.0258865,2.823786,3.468293,3.6506674,9.156281,5.382426,7.1993155,8.411633,2.711339,6.0569115,4.281185
t47,8.5797205,6.227316,0.39969087,2.8934445,6.4066896,5.6940103,6.631152,3.8821254,6.5199723,7.5483165,4.2117686,5.576012,6.166392,3.7909143,4.9357076,5.0696807,5.3418045,6.7107253,2.0337446,3.5125647,4.1487093,3.1035485,3.3270755,4.187623,2.431993,4.327185,6.1250286,2.8437355,3.4204535,3.626575,9.13598,5.3664384,7.1105623,8.402917,2.8145742,6.042891,4.299649
t23,8.578981,6.2424555,0.4065997,2.9078476,6.4267898,5.7153716,6.60811,3.8624334,6.5076995,7.5225797,4.198447,5.6006966,6.177994,3.774247,4.9407797,5.0890207,5.3482485,6.731153,2.0454082,3.4918752,4.1642427,3.0911179,3.345113,4.172965,2.3897846,4.310563,6.082846,2.8256578,3.439937,3.6516178,9.147907,5.3871813,7.1506653,8.4200945,2.7697327,6.0621486,4.2945824
t26,8.619368,6.291382,0.4041001,2.8592103,6.424842,5.7740593,6.546059,3.9118595,6.503441,7.457987,4.2374396,5.664342,6.2008195,3.825753,4.892915,5.1470537,5.3657765,6.7910395,2.0526586,3.4334955,4.171497,3.0878236,3.351445,4.2091584,2.4049115,4.3083296,6.097618,2.7744422,3.446129,3.7152588,9.177262,5.4453974,7.1330724,8.475979,2.7820263,6.119949,4.2734365
t27,8.568068,6.278025,0.40840945,2.944855,6.4206142,5.752419,6.5754066,3.8289073,6.503633,7.486104,4.154023,5.633243,6.2061415,3.7579374,4.9646134,5.1210537,5.375178,6.762166,2.051088,3.4611015,4.167389,3.087888,3.3482049,4.172491,2.4186053,4.3110585,6.111824,2.7952945,3.439526,3.6868987,9.178788,5.423296,7.1191874,8.45597,2.7949944,6.0945864,4.263039
t28,8.582373,6.2846193,0.4255759,2.8992577,6.4104433,5.7684064,6.553916,3.8724196,6.476659,7.46624,4.1998873,5.655886,6.204865,3.7848828,4.933659,5.138986,5.3715487,6.782719,2.073631,3.440099,4.1934276,3.0623896,3.370988,4.172954,2.3802114,4.283017,6.0734615,2.7800727,3.468205,3.7072012,9.178153,5.439534,7.1547575,8.467335,2.7563252,6.1120157,4.2695565
t33,8.623525,6.278509,0.44302988,2.8401985,6.385084,5.7731047,6.545488,3.9303842,6.452274,7.4542823,4.2613034,5.6663237,6.1659756,3.8377306,4.878103,5.1426196,5.3289127,6.7881427,2.0991802,3.436444,4.220146,3.037156,3.3986695,4.2035785,2.3658369,4.2557526,6.059396,2.784446,3.496726,3.717923,9.147743,5.4436407,7.1688914,8.469163,2.7446787,6.1154017,4.3070464
t34,8.5718565,6.235727,0.41435537,2.9120862,6.418288,5.7112813,6.611308,3.8579998,6.5038724,7.5251145,4.1966004,5.597964,6.1702056,3.7678785,4.946296,5.0845003,5.3386374,6.727127,2.0507867,3.4958308,4.169367,3.0865703,3.351156,4.165891,2.379397,4.3056164,6.0724373,2.8311331,3.445353,3.6488116,9.139957,5.3829546,7.162784,8.414588,2.760653,6.057586,4.3066587
t30,8.576697,6.255489,0.4106291,2.9114802,6.423184,5.7306113,6.5926847,3.8592923,6.5015345,7.506328,4.1926727,5.6164255,6.188297,3.772578,4.94373,5.1033597,5.3577104,6.7457647,2.0513415,3.4771924,4.170289,3.0855124,3.3504674,4.170978,2.3899398,4.30542,6.083015,2.8121662,3.445566,3.6675768,9.158812,5.4022245,7.1491694,8.434064,2.768567,6.0765014,4.2850785
t18,8.601327,6.3171206,0.38737458,2.8992493,6.446574,5.7956977,6.526481,3.872471,6.5217433,7.4389634,4.182338,5.6834226,6.249909,3.8006678,4.9275494,5.1673703,5.421569,6.810306,2.0312135,3.4119928,4.1501164,3.1077492,3.3268206,4.200768,2.4325256,4.329742,6.125725,2.7483935,3.4235086,3.7345724,9.220025,5.467156,7.1021852,8.496549,2.8077374,6.1404667,4.217828
t2,6.2746344,4.135387,3.846765,3.9944336,0.49259743,6.3495355,7.0210223,3.7764392,6.8833447,6.746229,2.7181122,4.912166,3.4199395,3.2866611,6.8631387,3.4337478,4.1018767,4.46179,2.8817143,4.639988,4.1293955,3.5063527,3.588114,3.8530784,3.2325287,5.2821226,5.8466997,5.816604,3.1012442,3.624399,6.682246,5.570418,3.5910122,6.573836,3.6700792,4.326491,4.302912
t48,-2.0048003,7.9054966,7.8502784,4.2055697,3.0906856,6.8091006,7.1413136,4.90611,6.6138334,5.9761305,3.546535,5.8155494,5.7555246,3.768824,5.325284,5.0727887,4.1391783,4.914153,3.0318372,4.468682,3.5636547,3.3608959,3.2998168,4.121878,4.380456,4.5158443,5.721206,4.2933087,4.277875,3.0723207,6.717845,5.692432,3.650238,5.8842835,4.8011885,4.2583737,5.2337384
t59,-1.991019,7.9472604,7.834359,4.232325,3.092674,6.7877665,7.160599,4.885635,6.6233673,5.9914923,3.5541394,5.836868,5.7361307,3.783315,5.2965198,5.080666,4.1382904,4.9329276,3.027518,4.476684,3.5819502,3.3507519,3.2764475,4.1317005,4.4013495,4.512209,5.6972933,4.281007,4.2821665,3.0598156,6.7295647,5.6967483,3.6624522,5.8947287,4.79581,4.2609854,5.2359514
t118,-1.8740675,8.880856,7.7725716,4.458976,3.0054612,6.5954537,7.3389792,4.6907187,6.7064195,6.1611586,3.6929796,6.070535,5.6426563,3.8882508,5.1839275,5.0657053,4.2001767,5.0948687,2.9584842,4.6014843,3.7261255,3.3936908,3.100345,4.118863,4.532519,4.543169,5.5136437,4.1902847,4.2482715,2.965005,6.728334,5.73982,3.763372,5.998273,4.7775726,4.309346,5.1709795
t119,-1.9029709,8.564862,7.790327,4.386785,3.0399292,6.6525574,7.2855673,4.7481427,6.6843266,6.0906863,3.6315486,5.9792867,5.6717052,3.8696723,5.1957693,5.089585,4.1778474,5.04498,2.974428,4.555386,3.6853645,3.3675041,3.1546636,4.1360116,4.4914937,4.524285,5.5674367,4.2138786,4.260512,2.9924707,6.7394524,5.726318,3.7264585,5.9687963,4.7863636,4.291032,5.1970696
