,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
t6,-0.7670985,0.8693572,0.062954694,0.026726255,1.9745493,8.287573,0.6743658,-0.035180528,0.18307976,9.194769,4.9470215,0.31554055,0.038107086,3.8657632,2.6207972,4.005755,9.216308,3.4355175,-0.15101132,-1.3459356,-0.01361727,10.73838,-0.059589695,-0.030121293,-0.986811,0.09987515,0.024310432,-0.27111226,-0.19084202,0.39436898,3.8387616,-0.83521914,1.9699755,-0.089799955,-0.3502536
t11,-0.8908506,1.3473283,0.08173063,0.36354282,3.7795825,11.737425,0.631123,-0.061039373,0.23880178,10.894943,5.1604443,0.5673971,0.015278621,7.9705086,3.0103738,6.1499906,11.472509,5.2301354,-0.20141196,-2.6341517,-0.0051240646,15.019024,0.90375394,0.85137564,-0.79565245,0.17942725,0.06995617,-0.31266528,-0.27014756,0.5890405,5.5287986,-0.9207002,4.1792064,-0.10911162,-0.39167994
t12,-1.0150801,1.7074391,0.09324667,0.57811373,4.920732,13.288327,0.41565582,-0.083917804,0.25515103,12.112444,5.405317,0.73920393,0.51596284,11.062902,2.602109,6.645989,13.008751,6.5522785,-0.20995966,-3.416298,0.089191295,17.12638,2.4074337,2.3854432,-0.481986,0.2504745,0.08828567,-0.32990932,-0.3163646,0.69784796,6.683898,-1.0308303,5.669412,-0.12370984,-0.35723642
t5,-0.8475308,1.2695051,0.07843219,0.26843894,3.3459573,10.780784,0.62741214,-0.05145582,0.22592342,10.265868,4.7697935,0.49179158,0.023371233,6.8491716,2.7832928,5.7899,10.580258,4.7836695,-0.17972487,-2.2884521,-0.005893313,13.9259205,0.47954735,0.36078182,-0.8704369,0.14887331,0.06295378,-0.3029634,-0.24532017,0.53451276,4.9314017,-0.8833562,3.648071,-0.09858832,-0.38263085
t3,-1.5512747,-0.14282782,0.05890446,0.010738179,-0.5569468,-0.32194427,0.13411169,-0.003246379,1.544223,5.8496804,6.5350847,0.17038786,0.07268974,-0.81855136,3.1853971,-0.377875,5.7962885,-0.55895114,-0.10466498,6.9572697,-0.020629358,3.9174497,-0.34206837,-0.2162804,-1.2532201,0.38603595,0.017388912,-0.0071654487,-0.02214856,0.24970841,0.36008486,-0.96103185,-0.28178582,-0.0012381575,-0.06956768
t4,-1.4651928,-0.123101845,0.056079637,0.016475841,-0.55080724,-0.26580742,0.2218931,-0.0026884405,1.1594083,5.8230367,6.292324,0.15301175,0.07169022,-0.7520182,2.9445174,-0.32955545,5.84644,-0.48398644,-0.092261985,6.4816394,-0.020470819,4.0140944,-0.32611394,-0.20733663,-1.233532,0.35865694,0.011270967,-0.02562841,-0.0349049,0.24235076,0.37604752,-0.94737625,-0.2686178,-0.0023496088,-0.09348808
t1,-1.6213186,-0.16690478,0.06164164,0.0103489105,-0.55848753,-0.38235486,0.05511955,-0.003255242,1.8811597,5.874936,6.6623907,0.18200548,0.07341194,-0.86061054,3.3405418,-0.42119074,5.7811546,-0.6162953,-0.11675344,7.384241,-0.020366618,3.8455,-0.3545347,-0.2241036,-1.2627769,0.41147318,0.020514375,0.21060921,-0.010690074,0.25575164,0.3353289,-0.972701,-0.29518896,-0.0013985542,-0.050614413
t2,-1.5187675,-0.14330573,0.057686202,0.02226271,-0.562222,-0.31948882,0.16221815,-0.002975416,1.4277582,5.8390455,6.396565,0.16166776,0.072137035,-0.78682613,3.074593,-0.36475816,5.8392224,-0.5328389,-0.10299124,6.7935944,-0.020235345,3.930065,-0.33880466,-0.21339643,-1.2401543,0.38048142,0.012239612,-0.010921289,-0.0257182,0.2458569,0.36308905,-0.9572605,-0.2802644,-0.002196847,-0.07231915
t8,-2.973137,-0.78781,0.10709819,0.9361033,-0.2952014,-1.2239281,-0.106519565,0.23951395,8.999715,5.2785196,8.311644,0.37743506,0.0565621,-1.5133913,7.973759,-1.2010404,3.459853,-1.6838497,-0.17618556,15.486278,-0.016305737,3.3300905,-0.5631034,-0.36083022,-1.3914859,0.8398856,0.1501668,7.0648623,6.2009373,0.3788934,-0.2771793,-1.0630566,-0.3081581,0.017746614,1.9431435
t9,-1.9040334,-0.38366035,0.072238944,0.7995233,-0.35153702,-0.66926396,-0.037279543,0.35800487,4.3425565,4.5484204,5.3622494,0.22174548,0.05559494,-0.9855585,4.3584776,-0.6676088,3.97135,-0.87452507,-0.16541958,9.658577,-0.013514745,2.722585,-0.37041336,-0.22589841,-1.0376121,0.51433307,0.062010244,3.0878117,2.8618283,0.2579536,0.050492227,-0.8216138,-0.23941508,-0.012247207,0.45759195
t10,-3.318101,-0.9812713,0.12076144,1.2088746,-0.21877216,-1.4605805,-0.11925471,0.33087832,10.96865,5.295179,8.853704,0.41867194,0.04982808,-1.6607703,9.422661,-1.4095418,2.9189856,-1.9727868,-0.15481718,17.699474,-0.016827183,3.5210958,-0.6174658,-0.40453887,-1.4630882,0.9513149,0.18642989,8.668036,7.5708575,0.41587886,-0.35436133,-1.1042453,-0.33132744,0.048255965,2.414068
t90,-0.9757802,3.920691,0.115524165,6.028641,-0.80268157,-0.2843318,1.0029341,1.7810036,0.14450684,7.679657,-0.018668571,0.18996611,0.09266317,-0.29289386,-0.0037908498,-0.27996174,6.9164085,5.3723083,-0.36519104,6.241065,-0.008004421,4.7053146,-0.0491891,0.45363653,-0.8458002,0.29067397,4.936171,-0.045985855,0.63934517,0.123288214,12.413437,-0.98937845,-0.2782185,-0.21441507,1.3560759
t116,-0.7005811,7.543421,0.13728772,5.1869287,-0.04932956,6.32462,-0.062156543,-0.045076698,0.22126377,13.006114,-0.021460375,0.2825319,0.052868508,5.850669,-0.10728068,-0.0024526862,11.673034,10.968316,-0.54011714,-0.9322144,1.0553081,8.87484,3.697552,6.201534,0.8705811,0.29789993,6.647472,-0.22751273,-0.100489706,0.32894796,17.72172,-1.273812,1.4912775,-0.30898035,0.88960654
t163,-0.62704855,7.386322,0.12902199,6.224109,-0.34149852,4.7779326,-0.048498306,-0.02392268,0.22217146,12.498068,-0.025473047,0.17475036,0.07959147,3.659767,-0.10131695,-0.026260637,10.398456,10.406852,-0.5387218,-0.25486535,0.43897292,7.5773563,2.5235674,5.264477,-0.12253595,0.25462624,7.03056,-0.21274048,-0.06855824,0.2651909,17.015701,-1.234989,0.39444828,-0.3117598,0.69313276
t164,-0.6369352,7.6269526,0.13193871,6.1220098,-0.30194595,5.2913804,-0.057268854,-0.028502947,0.22491978,12.7962055,-0.024780404,0.19103524,0.07679036,3.9906385,-0.104514204,-0.020220518,10.804277,10.709426,-0.5514871,-0.40932798,0.6398899,7.873439,2.826262,5.525836,-0.06966235,0.26471525,7.0884194,-0.22103867,-0.07105238,0.28088918,17.382933,-1.2540324,0.5772388,-0.31477746,0.6392409
t159,-0.6263597,7.178858,0.1263077,6.350513,-0.39045957,4.2721605,-0.03646703,-0.018992105,0.22310482,12.155453,-0.025102133,0.1625114,0.08315278,3.3546338,-0.096601136,-0.030680165,9.9640875,10.124967,-0.5239255,-0.08091336,0.30066428,7.28226,2.2154403,4.93152,-0.17592388,0.251284,6.9181056,-0.20328864,-0.06673014,0.24884567,16.57185,-1.2069292,0.21823335,-0.3068647,0.75031763
t210,-0.6649384,7.857171,0.13859591,5.891504,-0.32773665,5.8858294,-0.08595341,-0.03710912,0.22848958,12.900229,-0.023359489,0.22840452,0.06914477,4.6755996,-0.113318704,-0.014719606,11.621557,11.180278,-0.58962524,-0.6371215,0.8260206,8.342008,3.320449,5.9741826,0.61605746,0.3003101,7.3091784,-0.22063802,-0.08170991,0.3015951,18.250414,-1.2815956,0.91229784,-0.3223471,0.92555714
t211,-0.69206434,8.035499,0.14242938,5.5573792,-0.22759461,6.404041,-0.096154824,-0.044660896,0.23060969,13.138666,-0.022265024,0.27043214,0.059752114,5.465457,-0.11858122,-0.009254511,12.012317,11.496534,-0.59085405,-0.85701394,1.0377777,8.862809,3.7640216,6.411561,1.2584193,0.3114529,7.1817265,-0.22542426,-0.09361827,0.3263985,18.645079,-1.3069365,1.3089559,-0.32249328,1.0856143
t262,-0.7797024,8.609453,0.15471889,4.7863183,0.2356787,7.746879,-0.102173276,-0.06632032,0.23789218,14.026278,-0.020052912,0.39660683,0.034725275,7.766178,-0.13535106,-0.0030423417,13.266299,12.5351715,-0.6025382,-1.4976763,1.6609962,10.320981,5.1615596,7.713358,3.2163377,0.34602562,6.903469,-0.23674452,-0.12347379,0.4001493,19.850546,-1.3919493,2.6114874,-0.33042273,1.6727179
