,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
t1,10.22045,10.692179,1.9775493,5.0685062,6.5173874,3.2015755,7.1730595,3.832083,4.2360635,8.453387,4.8577576,7.727994,9.402256,5.7435145,4.860305,4.299532,1.8611293,6.079613,4.7840905,7.553734,3.1039438,6.3373394
t2,10.207767,10.610384,1.9850298,5.064436,6.5058146,3.155344,7.176138,3.82785,4.224609,8.439325,4.8580093,7.7853336,9.399254,5.7288933,4.858533,4.301733,1.8681942,6.074507,4.7891283,7.534942,3.1299572,6.345028
t3,10.166331,10.58072,2.0090356,5.0267034,6.475775,3.1365435,7.181118,3.8356307,4.1846995,8.39614,4.8388205,7.804889,9.410978,5.685175,4.872091,4.3359647,1.8952793,6.047947,4.821722,7.492293,3.1696057,6.3641725
t4,10.187796,10.66054,1.9056168,5.020219,6.4186153,3.229151,7.1137023,3.9208865,4.1596556,8.383232,4.7731285,7.7295103,9.477168,5.6552978,4.958026,4.3466516,1.8182265,5.981187,4.7900605,7.509695,3.095704,6.4338927
t5,10.167722,10.656716,1.9365457,5.0060906,6.450848,3.2258334,7.1490297,3.895168,4.163777,8.389774,4.7825723,7.725838,9.477254,5.671348,4.937377,4.3621526,1.8487593,6.005417,4.816306,7.4993067,3.1129336,6.402573
t6,10.255321,10.7856455,1.9291172,5.0862937,6.4819326,3.2803273,7.119062,3.875375,4.24053,8.455682,4.84357,7.6432457,9.40628,5.730307,4.8907356,4.282171,1.8133551,6.051025,4.746291,7.583128,3.0535738,6.3755913
t7,10.278105,10.788353,1.9032916,5.10215,6.4517956,3.257408,7.0923967,3.8990664,4.218134,8.437379,4.8232617,7.663125,9.409915,5.704058,4.91362,4.2677684,1.7876878,6.022446,4.7217407,7.5905333,3.0403728,6.4048786
t8,10.248685,10.844216,1.9030942,5.0666556,6.4686913,3.3622851,7.098176,3.9099038,4.231082,8.447082,4.818878,7.5670013,9.434377,5.7225313,4.922816,4.299911,1.7977229,6.0305758,4.7520733,7.583749,3.026959,6.3984404
t9,10.221044,10.754044,1.9125274,5.047879,6.453649,3.2875755,7.1155453,3.903902,4.1994267,8.421059,4.802343,7.6489816,9.450706,5.693573,4.93005,4.3213587,1.81379,6.015016,4.7709303,7.548612,3.0644412,6.404163
t10,10.288613,10.885613,1.8667955,5.094111,6.4271493,3.3329403,7.0555925,3.9344466,4.222507,8.44252,4.8117657,7.571608,9.428763,5.695322,4.939018,4.2745943,1.7570351,5.997075,4.708579,7.603678,3.0037386,6.4393287
