"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112"
"t1",-0.028940761739111,-0.0328395786234069,0.0148564672556578,0.017255341873179,-0.0659323394585651,5.39433984905433e-05,0.00138509824303794,-0.00215234457878054,-0.0167881083346099,0.00278564266556864,0.00125587305274144,-4.1117997051009e-06,0.00978739942366902,-0.0185524705228989,-0.0361498975917444,-0.00953741312097664,0.0618523620464805,-0.000754369634103051,0.100542594162234,-0.00346853361043349,-0.12372783658031,-0.00314075409118745,0.00873126360120973,-0.101283465222488,-0.0140376606888938,0.0744661129545843,-6.55800616287845e-05,-0.0202781610043115,0.00312010666563583,-0.0742064110958403,0.0175606091737145,-0.00787919427664513,0.00285244825360618,0.00424444956713099,-0.00307843093493079,0.0138401571852424,-0.0780191983819938,2.52353194756102e-15,-4.09525684192562e-05,-0.000224136752801974,0.00232586962991348,0.0229096842868441,0.463256355684793,-0.000208274897074909,0.467342941856956,0.0778808482707676,0.00546317008206281,-0.00791104810311003,0.00280847507966378,5.57560799534193e-16,-0.0201834007706167,-0.00438962179577955,-2.3730432154894e-05,2.40705744305677e-15,1.34876472487977e-15,-0.0458960765423946,-0.000852463528850923,0.0252627508805155,6.70593385596676e-15,0.501118975791671,-0.00384046719710493,2.09175543508473e-15,0.00240176493158477,5.3604194445404e-15,0.374579272305934,0.106025857214183,1.28489794361753e-15,-0.00148434536303471,0.2658843538082,-3.50409059819554e-08,0.0291028590323564,-0.0358740481860359,-2.07337448572556e-15,0.000287812861236982,1.26141540123802e-05,3.97264085154068e-15,0.0765480694203637,-3.63778771513215e-15,4.0608521498285e-05,1.06312719114264e-07,-0.00354838742693811,0.000188310713966206,-8.04298154845917e-05,-0.000175748773505441,1.21416362241635e-15,-3.11864293743286e-15,5.71630440968699e-17,-2.03633247216412e-15,-3.54650749143681e-16,1.2292425923567e-15,1.08385608708777e-16,9.19095671813703e-16,-9.58874012936086e-16,3.57011290186951e-16,-6.8598949514409e-07,-2.63432540310731e-05,4.12791112300823e-05,-1.03039465643938e-15,-6.33672478688875e-06,4.39757524653128e-05,8.12225455798544e-06,3.44627891621013e-16,-2.92014293302732e-15,-9.05095836036273e-16,4.23689179212987e-16,1.3848395516368e-16,-2.20411965484441e-15,-2.55952150384487e-15,-6.51566632713054e-15,-1.60973634466715e-15,-3.08584345044806e-14,9.57306381400693e-15
"t2",0.0067134433851852,-0.0479217085023802,0.00768161419549823,0.0260639427807959,-0.108404466301508,-0.000377307175560976,-0.000694683753388481,-0.00174059778960198,-0.0158511843540545,0.00285869685394435,0.00129314895518311,-4.2672852052673e-06,0.00422313023403544,-0.0193240974141473,-0.0373955486750336,-0.0097077402488676,0.0629037196505038,-0.000699155230493296,0.0628895808975777,-0.00279148235235378,-0.158259237805452,-0.00171831603962255,0.00567862702830145,-0.0487974288100149,0.0110063542706654,0.0781370280198235,-5.80286324731779e-05,-0.00288516342267675,0.00203273504184458,-0.032693181217706,0.0183860009506259,-0.00760983990284733,0.00269956765765295,0.00396712097260711,-0.00174453125372748,0.0124241957183123,-0.0693724289352255,3.31273328129014e-15,-3.5635442240971e-05,-0.000156147778261294,0.0019507893243308,0.019193232746608,0.384845956210585,7.70481635642457e-05,0.354102493442252,0.0585788438519484,0.00406432733476777,-0.00803356193538036,0.00180225097020405,5.66742842287951e-16,-0.0101158269681517,-0.00180887288554669,-9.49586711062269e-06,-1.58392004881737e-16,-1.5454425780562e-16,-0.0170246978986618,-0.000310657157824972,0.0073754824028896,-3.00174821963042e-15,-0.111976439742468,0.000949216586981806,-3.30657000993379e-15,-0.00122067973242144,-7.76521221916362e-15,-0.482032651756223,-0.121985391423109,1.1143314328297e-14,0.00261855614254751,-0.620975733760601,1.5515577561105e-07,-0.0240120809204795,0.0231113174905474,3.05677274573537e-15,-0.00287005064534608,-0.000286331532584801,-7.23388482536981e-15,-0.0357322504616564,4.34869985884546e-15,0.000660361044646967,1.40340043242938e-06,0.0214980805513801,0.00169323744618867,-0.000652112133789765,-0.00124048277351558,-2.31794283412e-15,3.86380673536246e-15,8.9550129084187e-16,3.19748789323403e-15,4.13556840281038e-16,6.80466364768044e-15,-6.49988342855818e-16,-1.98427196972201e-15,-1.52071397183973e-15,-7.53619168333115e-16,-1.59762569886394e-06,-6.12837325429441e-05,9.40528760398021e-05,-1.84142202543096e-15,-1.43062186036286e-05,-9.06853074335943e-07,-1.33417036427918e-07,-3.24727865690557e-15,-1.09933357736465e-15,-6.36161922106039e-16,-3.32022964711362e-15,2.44040741037264e-16,-4.21035628433786e-15,-4.42642119303268e-15,-9.15844816002646e-15,5.4652886246665e-15,-2.90171404415031e-14,1.00377280839545e-14
"t6",0.00726437758239809,-0.0620179960334933,0.012189301588452,0.0524932898035073,-0.28535204464846,-0.00360558767423271,-0.0182200462260652,0.00470426303021028,0.0160154232666973,-8.16348902444824e-05,3.43830577607262e-05,-8.03193347656887e-07,0.00192637706447052,-0.016536415269791,-0.0385066385387939,-0.0128798931354998,0.0842465010390202,-0.00138218355068893,0.148938226133505,-0.00962416397376373,-0.827584221448586,0.0340336082329295,-0.0524988060306936,0.262477874781288,-0.0496281580874242,-0.226245447377348,0.000128126479758992,0.00614311758321853,-0.00242294797590252,0.0383961997629881,-0.0189936267566824,0.00666629960002927,-0.00217908222503125,-0.00302681384535142,0.00126647875937711,-0.00786985190006711,0.0422267854284571,-7.40668285309938e-16,2.00254777065531e-05,8.31851818225447e-05,-0.00101820981015758,-0.010027630237466,-0.216587441539287,-0.00156700545699616,-0.0730614965598724,-0.0156387687769961,-0.00112749847048514,0.00217936889705405,-0.000435517696552422,-5.14182195365548e-17,0.00194954136330183,0.000310837460807567,1.60917488257419e-06,1.23042303269263e-16,-6.79590120267432e-17,0.00279153723526578,5.05770596808767e-05,-0.00111505054947786,5.11215337717066e-16,0.011896483830837,-9.96925348615243e-05,1.02428425931497e-16,0.000114845976227448,5.9291768851816e-16,0.0366931006024261,0.00919674014270186,-1.33603460996543e-15,-0.000182621067853878,0.040155784494426,-8.60089473537842e-09,0.00131186858271402,-0.00112702301089271,-4.66190149107541e-16,0.000134878107075225,1.2323851523056e-05,6.69614034449481e-16,0.0013990522039804,-1.01447705145312e-16,-2.26532398569911e-05,-4.64939947239624e-08,0.00730349746959545,-3.60317973844359e-05,1.61370669664346e-05,2.9777960492995e-05,-5.42160026514087e-16,-3.12621263910111e-16,5.42736861643904e-16,-5.8978167808332e-16,-3.13716656887943e-16,-2.02710268985873e-15,-1.01899091767176e-16,4.29050441981555e-16,1.66187416538423e-16,2.22271655087634e-16,-4.47834087707592e-08,-1.72623659306704e-06,2.89765184250069e-06,-1.26368731120026e-15,-4.5810171272651e-07,-3.00486931976696e-08,-4.60497391739022e-09,-5.03673867695626e-16,-1.83923274794674e-15,-8.07379423179383e-16,-9.93670113231098e-17,-6.80642002432677e-17,-3.03862984775617e-15,-2.99101450565907e-15,-7.62241014012332e-15,2.29256253757662e-16,-3.04731170512945e-14,9.49979757962854e-15
"t21",0.00755636904956815,-0.0701506904119462,0.0149913631481355,0.0700132255267711,-0.408812790114697,-0.00610181601950116,-0.0320623444592282,0.0103591493253256,0.046966513774452,-0.00386117999698914,-0.0016440287111423,4.49938040522791e-06,-0.00322944107624432,0.0100445890905115,0.0173805260695518,0.00396746090753603,-0.0256036314287689,0.000252603641646276,-0.022233157713458,0.00100634156132954,0.0639039502479878,-0.00100214221912373,0.00113496495893886,-0.00342201425796527,0.00048690664730456,0.000471443955432539,6.56376736722786e-08,3.54889635596745e-06,5.29020196467067e-05,-0.000900454245227954,0.000791206517720683,-0.000539944741512133,0.000242223966295529,0.000418361202997653,-0.000212659513619361,0.00233175367436856,-0.0150578808751553,7.08557721585356e-16,-1.10441424742715e-05,-7.02680119524333e-05,0.00143956936779846,0.014795370022996,0.584663994041276,0.0170764000992776,-0.673016572510196,-0.0604412457087475,-0.00319313933553396,0.00346422805781924,-0.000485883729101667,7.8000265003897e-16,0.00166233295813926,0.000246365932075515,1.26609613062671e-06,-1.23953037709759e-15,-1.51398072190202e-16,0.00216101692366293,3.90235132912335e-05,-0.000834022280005433,5.96386307675396e-16,0.00813810280577395,-6.80746225938765e-05,5.28763306893489e-16,7.72744128118463e-05,-6.70413454987259e-16,0.0242583633610953,0.0060770685592895,-8.01619336419625e-16,-0.000120297858472827,0.0264142830373648,-5.67236259256477e-09,0.000865788097930311,-0.000750476219032192,-8.29726200249427e-16,9.02282138097696e-05,8.37609225838279e-06,7.3609347815723e-16,0.000979697861777493,1.23842260229585e-15,-1.76146976347098e-05,-3.87958059757572e-08,0.065099830050101,6.28940904305506e-05,-6.03081454715308e-07,1.03782323695877e-05,1.93714086642727e-15,-5.0359660494687e-16,1.92466596247622e-16,-3.36041389159889e-16,-4.34613612819742e-16,1.86180273817684e-15,4.32625644582532e-16,9.44112963195207e-18,-2.76366089589915e-16,2.58612806596976e-16,-2.57560215191236e-08,-9.92810099000029e-07,1.66678199960587e-06,-3.29058357886482e-16,-2.63521715501669e-07,-1.72860605355371e-08,-2.64919671385765e-09,7.60580582564452e-16,-1.78758471541743e-15,-5.10117821252293e-16,-6.13757439606862e-16,-8.65373448178237e-17,-1.72957855663183e-15,-2.6592393983072e-15,-7.27935228503743e-15,4.86489600297113e-16,-3.08061219440592e-14,9.47457811581484e-15
"t54",0.0076406652244726,-0.072450323903105,0.0157696108709507,0.0748059262147304,-0.442186990227375,-0.00676105831518701,-0.0357008199691174,0.0118120127315585,0.0547520104604423,-0.00476236366078121,-0.00204165199723846,5.72684606007968e-06,-0.00435926996214628,0.0152682201224367,0.0278518798443611,0.00690138732487938,-0.0446798325104282,0.000504811247764434,-0.047274976068194,0.00241247775788908,0.171440212109753,-0.004073585485069,0.00536174308215712,-0.0210308625056483,0.00350182441678416,0.00907616395195465,-2.09486283885586e-06,-7.88988139429681e-05,-0.000132395158983764,0.00217676172428043,-0.00143155787438742,0.000683688638100577,-0.000257224909774683,-0.000393080067317111,0.000179047359212181,-0.00143021567716823,0.00835507222840324,-2.43805923257452e-16,4.89685021755468e-06,2.55919258268502e-05,-0.000429775105306053,-0.00435400413285963,-0.145250919765844,-0.00348703686413798,0.114826145553418,0.008723836564282,0.000406517955959415,-0.000260115485003712,1.03455801994367e-05,-7.8421061521375e-17,5.63940075221435e-05,1.18784960934372e-05,6.2570229155787e-08,1.09013451269154e-15,8.84755866535304e-17,0.000111985881594884,2.03930118926254e-06,-4.59542556150577e-05,1.14166869470732e-16,0.000193963716435819,-1.45842914555953e-06,7.59976854929521e-16,-5.42710421431585e-07,-1.0688255185477e-15,-0.00232475589201214,-0.000615097567103944,3.43826112215619e-15,1.80782103391385e-05,-0.00551642927139739,2.12915140681514e-09,-0.000342375043141995,0.000443459794688226,2.8329607701091e-16,-6.0783161547465e-05,-7.77643466478683e-06,-6.91079798570286e-16,-0.00132544131556842,-3.75312949126671e-15,4.66758901346567e-05,1.3304302458206e-07,-0.842726628486855,-0.00119031979379448,0.000149161986285168,0.000114866791052954,-9.49346412809637e-16,-5.52578745783193e-15,7.78775087216148e-16,-6.47088126990558e-15,-3.90800182231969e-16,-1.89755731804056e-15,-1.82976296138944e-15,9.34280837756159e-16,-2.38095342260053e-15,6.5227241901903e-16,-2.12457001756531e-08,-8.18174128990433e-07,1.349817303321e-06,-8.90940168790577e-16,-2.11818797858079e-07,-1.38032292627722e-08,-2.09896249969845e-09,-6.50934574969304e-15,7.7582616072419e-17,-1.47479053796861e-15,3.01397409775312e-15,3.41859246782268e-16,-4.360072226942e-15,-3.52246534019078e-15,-6.8345363592797e-15,-2.14049253707751e-15,-2.68477413864911e-14,9.28509253140413e-15
"t74",0.0076688958759162,-0.0732091254278263,0.0160232722729497,0.0763524524839656,-0.452874270391117,-0.00696913579081063,-0.0368459741753213,0.0122631975863364,0.0571411862840338,-0.00503125943451555,-0.00215991571867292,6.08786140528342e-06,-0.00468342612677695,0.0167036322111466,0.0306816884705074,0.00767591402500103,-0.0497114546026388,0.000569180969558315,-0.0535830284063331,0.0027588137346427,0.197450515063841,-0.00478095463920772,0.00632296940194163,-0.0249655238495026,0.00416991240126099,0.0109270259622048,-2.54710683171933e-06,-9.60821087221764e-05,-0.000167194974131426,0.00275247437753842,-0.00183245721561266,0.00089187781410866,-0.000339277269013784,-0.000522827605240898,0.000240056575186799,-0.00196720791810021,0.0115940117983853,-1.26119758788254e-15,6.93878047751052e-06,3.69771251084735e-05,-0.000633855309603087,-0.00643123020634684,-0.218441140862707,-0.0053557895895417,0.179800430035997,0.0139047857476327,0.000656463968114478,-0.00044203190706914,1.91103417959448e-05,4.92911125956233e-16,0.00012598040421846,3.02218424321472e-05,1.62101767976426e-07,4.44470894848982e-16,-1.6017282300742e-16,0.000303515692491048,5.58392389751809e-06,-0.000141585334429734,2.41921080459786e-16,0.00232009110286509,-1.96565674133512e-05,2.89452409752965e-16,2.50585591883944e-05,-7.37694404719463e-16,0.00968286372127317,0.00244850469163895,2.86570172295963e-16,-5.23259124664366e-05,0.012406042766824,-3.1616431644832e-09,0.000491166196914237,-0.000495263040034184,-2.79848488754822e-16,6.29506902206333e-05,6.79178956842771e-06,-8.63632164757792e-16,0.000973800415470087,3.0003704670655e-15,-2.71173136682573e-05,-7.23133185915155e-08,0.377514430299941,0.00052002895620993,-6.18402610212631e-05,-4.26038924160466e-05,-2.32541943490234e-14,2.87942376165469e-15,1.93991435686767e-16,-2.10262462490801e-14,5.81774583497819e-15,-0.707106781186544,-4.85556642677408e-14,6.98423226984532e-15,2.20479406935474e-14,4.00519894270304e-15,-5.71877881686721e-09,-2.210072667417e-07,3.88823345605321e-07,-4.47940248943286e-16,-6.27070821024841e-08,-4.18577970831974e-09,-6.54911711009484e-10,1.94075529677136e-14,-2.91718472766451e-14,1.74167230452691e-15,1.20775120242526e-14,-5.17078090352917e-15,-5.02342679922654e-15,-1.7844222864648e-15,-6.21403668382916e-15,1.63056865109219e-15,-3.5257743573094e-14,8.08628041112437e-15
"t75",0.00766889587591617,-0.0732091254278263,0.0160232722729503,0.0763524524839662,-0.452874270391116,-0.00696913579081035,-0.0368459741753219,0.0122631975863364,0.0571411862840332,-0.00503125943451532,-0.00215991571867305,6.08786140508661e-06,-0.00468342612677662,0.016703632211146,0.030681688470507,0.00767591402500085,-0.0497114546026402,0.000569180969558508,-0.0535830284063324,0.002758813734643,0.197450515063838,-0.00478095463920818,0.0063229694019422,-0.0249655238494991,0.00416991240125996,0.010927025962202,-2.54710683249819e-06,-9.60821087199111e-05,-0.000167194974130914,0.00275247437753595,-0.0018324572156132,0.000891877814111634,-0.000339277269014151,-0.000522827605240431,0.000240056575186168,-0.0019672079180993,0.0115940117983818,-2.04753104667693e-16,6.93878047490713e-06,3.69771251069789e-05,-0.000633855309603805,-0.00643123020634639,-0.218441140862707,-0.00535578958954239,0.179800430035997,0.0139047857476325,0.000656463968113638,-0.000442031907069096,1.91103417969757e-05,-8.7931044086636e-16,0.000125980404218549,3.02218424343329e-05,1.62101766936273e-07,-5.26830029518057e-16,4.04735071334682e-16,0.000303515692489575,5.58392389767391e-06,-0.000141585334431773,-1.09123390955994e-15,0.00232009110285738,-1.96565674096542e-05,-1.06160190752405e-15,2.50585591955335e-05,2.74933975994905e-15,0.00968286372127595,0.00244850469163138,-2.25621875901546e-15,-5.23259124632066e-05,0.0124060427668363,-3.1616423971497e-09,0.000491166196929176,-0.000495263040044439,-1.5467756124332e-17,6.29506902191225e-05,6.79178956382403e-06,1.10623466169139e-15,0.000973800415467565,-5.29130405661496e-16,-2.71173136664545e-05,-7.23133033445097e-08,0.377514430299935,0.000520028956211713,-6.18402611111907e-05,-4.26038924205501e-05,2.39793751473899e-14,2.59048652334553e-17,2.98638606984756e-16,2.63810796808987e-14,-5.40858777363649e-15,0.707106781186551,4.96276994654579e-14,-7.22117267439797e-15,-2.20022638848415e-14,-4.4374020552432e-15,-5.71877145877064e-09,-2.21007236844942e-07,3.88823330699831e-07,-3.32359523062382e-15,-6.27071392320083e-08,-4.18575719237855e-09,-6.54881050371534e-10,-1.61041251272669e-14,2.2347923394798e-14,-2.91953471495979e-15,-1.65442905525313e-14,5.18230963554844e-15,1.65357742677489e-16,-3.93621709950352e-15,-7.47775706195321e-15,1.51926801938561e-15,-2.89947980088211e-14,1.1632913902599e-14
"t14",0.0614550198878285,0.0600472826867561,-0.00237185071724653,-0.112663075236673,-0.00845675177554314,-0.00243360966490262,-0.0130020193580128,0.00559177144742722,1.4689538505577e-05,0.0131696005208164,0.125831725383535,-0.0115743406876564,-1.86928128031686e-05,-0.00463360129056377,-0.00960326774146533,-0.000428984091378896,0.000298164754027753,-0.000303405780821449,0.00198660772014704,-0.000122703697780086,-0.00851173220757619,-0.00849571081439183,0.0642437397726,-0.0189201256373238,0.0401719259282728,-0.00569950337763759,8.81160076940965e-05,0.000185556721180637,0.00974863265435569,-0.00754676814876594,0.148104553607999,-0.950348536963042,-0.0316414735078361,-0.00221446525740296,0.000519495077855397,-0.0243803801875328,0.0848290924646196,-2.41290476857247e-15,0.0128993499154538,6.26054704040166e-06,-0.00043697133404508,-0.00408409393530389,-0.0175714380565395,0.027464127890826,-0.0158265923563014,0.00365494005820472,0.000466963520363734,0.000292316768532556,0.00130891976595282,2.79826735771136e-16,-0.00753487982619033,-0.0222780612595678,-9.78449241705531e-06,5.03447845637818e-16,1.54633462945685e-15,-0.000657095639234035,-0.000863031565759917,0.108709791883109,-1.9094560936653e-15,0.00272429998636224,5.86294232465954e-06,2.02793766973146e-16,-0.008971950602923,5.53433787202364e-16,0.00124770784001577,0.0003557630125289,2.73655778244937e-16,0.000141163691159403,-0.000801965640993094,2.82165290019156e-06,4.39358427627504e-06,-5.40346420317694e-06,1.7847412653904e-17,-1.81820647483847e-05,-2.11815172101861e-06,-2.28247688336961e-16,-2.43053619491691e-07,6.7888861383491e-17,6.521481444034e-06,1.25358628336977e-05,-1.81266949102882e-05,2.28774523774613e-05,-0.0153500334953404,-0.000473458607591518,1.84248115258964e-16,-1.34718753912906e-15,5.44385033867665e-16,3.75887746359249e-16,1.37244986966703e-16,2.9727857040395e-15,-4.35064457432225e-16,3.25125410790499e-16,-4.32123702951333e-16,-1.25859600174318e-16,-3.52225719573173e-08,-3.19797071584654e-05,4.99254459925433e-05,-9.91797779606244e-17,-0.00032012483023397,-4.45760725682142e-09,-6.71401784180474e-10,-9.78823457020605e-16,-1.39136449632292e-15,-9.10054771855661e-16,-1.73873039523617e-16,-1.08183023494063e-16,-2.93207170808712e-15,-3.23044815895242e-15,-6.4310306008285e-15,4.23486101056086e-16,-3.04285152735341e-14,9.28336883400165e-15
"t63",0.0638176297497957,0.0672707389190649,-0.00285115774092827,-0.14434794686709,-0.0114240387490404,-0.00367870236127937,-0.0201387506700583,0.00983130469328911,2.95141612146367e-05,0.0412654573861276,0.422617526565343,-0.0523291447611509,-0.000450563314118451,0.0150698860500157,0.0210457904402133,0.000631357994826079,-0.000433414611569196,0.000293392873634611,-0.00167880051950854,8.42968831707005e-05,0.00503085562415755,0.00351843661251947,-0.0244870532316056,0.00645281939699418,-0.0130183352954458,0.00154925436459285,-2.05427717286882e-05,-4.22313802066712e-05,-0.00127720179503175,0.000969223456616837,-0.0157027755859464,0.0735997060275777,0.00200867338835162,0.000119537627008032,-2.37301395342303e-05,0.000566842246433515,-0.001418663640278,-1.57193994852715e-16,-4.20215773640203e-05,4.50621350225677e-08,-7.1925250899676e-06,-6.97560787921412e-05,-0.000419758762823096,0.000842797925296143,-0.000569393684454831,0.000146819452338904,2.00326790362726e-05,1.49662574100732e-05,7.72347154265679e-05,1.81562418755494e-16,-0.000473555022247788,-0.00134241440148327,-5.8438313048502e-07,3.16780367675441e-16,-3.87603811359173e-16,-3.82921054246007e-05,-4.99908347024122e-05,0.00581396443460449,1.6991151832394e-16,2.19776503052153e-05,3.3698707664349e-08,-4.48739548828154e-16,0.000179119124695345,-4.22789469052704e-17,-0.000115508251164763,-3.44429920249006e-05,-5.79328566379565e-16,-1.90572741268198e-05,0.000144234022426998,-8.60789864007788e-07,-1.40608379752471e-06,2.51062216446996e-06,-3.41090047465306e-15,9.55378562023126e-06,1.50728149231542e-06,-6.78600195276101e-15,2.4768432354931e-07,-8.29786100564722e-16,-1.26658881485158e-05,-3.11718034671584e-05,0.000155652002377561,-0.00027386057294524,0.877867809447909,-0.00425525204513809,1.11789857576989e-14,-1.56530582877251e-15,3.13360924867635e-15,-1.05613590091562e-15,-5.75497194916447e-16,5.67156860809352e-14,-9.07168583840762e-16,-1.5738350555694e-15,1.93797659008847e-15,1.42694604446864e-15,-1.97296665199685e-08,-1.78948942873788e-05,2.75041464597678e-05,4.64962870696765e-14,-0.0105204265822008,-2.38225675653487e-09,-3.57014545866974e-10,9.73552676275813e-16,-1.08781269003834e-14,-1.19468172093495e-15,-3.80088442800846e-16,-1.76563250439302e-16,-1.54594607592808e-15,-4.68571923805671e-15,-5.69847815538325e-15,5.52496372603885e-16,-3.18348071635899e-14,8.3643667930466e-15
"t88",0.064047402903641,0.0679576176634598,-0.00289588614355971,-0.147259289735372,-0.0116934670783414,-0.00378922664188955,-0.0207694296526141,0.010198086273396,3.07725069770169e-05,0.043543886247107,0.446558749127952,-0.0555563608441546,-0.000483364622946879,0.01645870715922,0.0231429361230765,0.00070089777627921,-0.000481318247200041,0.00033014521862319,-0.00189894618479271,9.61975981106572e-05,0.00578183303886618,0.00412040548821401,-0.0288138380564999,0.00764330063411178,-0.0154680659658914,0.00186112618500861,-2.49238682865219e-05,-5.13185686955241e-05,-0.00160981484892504,0.00122322575001812,-0.0200643111397808,0.0958618451956789,0.00264571037938172,0.00015879264656486,-3.17799146520444e-05,0.000779169029913485,-0.00196773725266839,4.03491278266532e-16,-5.95469904248253e-05,6.51463361722585e-08,-1.06204584258679e-05,-0.000103162255381163,-0.000632418396246004,0.00129779245283632,-0.000894541637122274,0.000234961410944748,3.24992706714746e-05,2.56139190134144e-05,0.000144386819316709,-2.43053094624916e-16,-0.00108723945797263,-0.00356060242740472,-1.58187159185073e-06,-8.89428347772053e-16,3.35385509438444e-16,-0.00010907963409644,-0.000144069489311446,0.0191927666617805,-5.25365394325533e-16,0.000606695163459806,1.31496189424387e-06,6.60002227820073e-16,-0.00215358728813495,-2.37722494807641e-16,0.00034319398233363,9.84995611901639e-05,1.60708996541277e-15,4.12878923532016e-05,-0.000248333904531189,9.98604392899285e-07,1.57715992841296e-06,-2.19635936605329e-06,6.10909509129442e-16,-7.74424722289305e-06,-1.0259869808802e-06,9.31817334445252e-16,-1.40713323025683e-07,1.5713721869271e-15,5.59423677412825e-06,1.28000587609573e-05,-5.15110411885881e-05,8.80881613609524e-05,-0.265956473460766,0.00113291102659267,-5.11500783749726e-15,3.76084736304439e-15,1.02151423793464e-15,3.98222226942291e-15,-1.59648705893e-15,1.76409158743638e-14,-2.98100709911866e-15,3.79851471691543e-15,-1.04067634598237e-14,3.24472955175789e-15,-2.88823929620185e-09,-2.53250151227274e-06,-5.63174321823887e-06,-3.74544986005536e-12,0.820321582594407,-2.2029017176277e-09,-2.16920830966515e-10,-1.66785584434287e-14,1.23556690242761e-13,-8.56859718964882e-15,5.0627696775088e-15,-6.86978827568239e-15,-1.52875940009174e-14,-2.63439622756237e-15,6.11123754427557e-16,1.48505220818848e-14,-3.4052762983069e-14,1.77253774107187e-15
