"accepted_species","trait_ARD"
"t18","0"
"t19",NA
"t21","1"
"t65","1"
"t66","0"
"t70","1"
"t71","1"
"t53","1"
"t34","1"
"t35","1"
"t86","0"
"t87","0"
"t58","0"
"t59","0"
"t95",NA
"t96","0"
"t93","0"
"t94","0"
"t45","0"
"t56","0"
"t57","0"
"t44","0"
"t78","0"
"t79",NA
"t43",NA
"t97","0"
"t98","0"
"t88","0"
"t10","1"
"t7","0"
"t14","0"
"t39","0"
"t40","0"
"t11","0"
"t89","1"
"t90","1"
"t84","1"
"t16","1"
"t23","0"
"t24",NA
"t60","0"
"t61",NA
"t82","1"
"t83","1"
"t33","1"
"t26","0"
"t27","0"
"t28","0"
"t64","0"
"t80","0"
"t81","0"
"t62","1"
"t63","0"
"t32","0"
"t41","0"
"t42","0"
"t5","1"
"t85","0"
"t38","1"
"t29","0"
"t9","1"
"t25","0"
"t3","0"
"t12","1"
"t8","0"
"t22","0"
"t49","1"
"t50","0"
"t74","0"
"t75","0"
"t31","0"
"t68","0"
"t76","0"
"t77","0"
"t15","0"
"t13","1"
"t4","0"
"t36","1"
"t37","0"
"t30","0"
"t54","1"
"t55",NA
"t72","1"
"t73","1"
"t67","1"
"t20","0"
"t47","1"
"t48","1"
"t46",NA
"t51","0"
"t52","0"
"t69","0"
"t99",NA
"t100","0"
"t2",NA
"t6","0"
"t17","1"
"t91","0"
"t92","0"
"t1","0"
