"accepted_species","trait_ARD"
"t4","0"
"t5",NA
"t6","0"
"t8","0"
"t9","0"
"t7","0"
"t67","0"
"t260","0"
"t261","0"
"t257","0"
"t88","0"
"t114","0"
"t115","0"
"t55","0"
"t132","1"
"t232","0"
"t233","0"
"t192","0"
"t135","0"
"t136","0"
"t131","0"
"t116","0"
"t264","0"
"t265","0"
"t225","1"
"t226","1"
"t107","0"
"t73","0"
"t74",NA
"t25","0"
"t18",NA
"t19","0"
"t14",NA
"t42","0"
"t69","0"
"t91","0"
"t98","0"
"t193",NA
"t194","0"
"t169","1"
"t244","0"
"t245","0"
"t191","0"
"t215","0"
"t216","0"
"t197","0"
"t163","0"
"t151","0"
"t121","0"
"t146","0"
"t147",NA
"t228","0"
"t229","0"
"t152",NA
"t213","0"
"t214","0"
"t170","1"
"t83","0"
"t49","0"
"t104","0"
"t180","0"
"t181","0"
"t240","0"
"t241","0"
"t211","0"
"t184","0"
"t161","0"
"t154",NA
"t242","0"
"t243",NA
"t227","0"
"t120","0"
"t92","0"
"t50","0"
"t51","0"
"t53","0"
"t76","0"
"t160","0"
"t209","1"
"t230","1"
"t231",NA
"t198","1"
"t155","0"
"t156","0"
"t137","0"
"t93","0"
"t145","0"
"t187",NA
"t255","0"
"t256","0"
"t173","0"
"t103","0"
"t46","0"
"t84","0"
"t125","0"
"t126","1"
"t127","0"
"t102","0"
"t75","0"
"t143","0"
"t144","0"
"t171","0"
"t172","0"
"t258","0"
"t259","0"
"t48","0"
"t72","0"
"t89","0"
"t90","0"
"t111","0"
"t208","0"
"t236","0"
"t237","0"
"t190","0"
"t108","0"
"t157","0"
"t158","0"
"t122","0"
"t123","0"
"t40","0"
"t31","0"
"t138","0"
"t139","0"
"t105","0"
"t62","0"
"t41","0"
"t97","0"
"t100","0"
"t101","0"
"t43","0"
"t178","0"
"t179","0"
"t24","1"
"t32","0"
"t45","0"
"t195","0"
"t196","0"
"t148","0"
"t113",NA
"t61","0"
"t63",NA
"t251","0"
"t252","0"
"t117","0"
"t112","0"
"t20","0"
"t21","1"
"t140","1"
"t141","1"
"t189","1"
"t205","1"
"t234","1"
"t235","1"
"t99","1"
"t167","1"
"t199",NA
"t200","1"
"t153","1"
"t81","0"
"t82","0"
"t12","1"
"t188",NA
"t206","0"
"t207","0"
"t165",NA
"t166","0"
"t94","0"
"t95","0"
"t80","0"
"t79","1"
"t70","0"
"t15",NA
"t64","0"
"t128","1"
"t129","1"
"t130","0"
"t220","0"
"t221","0"
"t223","0"
"t224","0"
"t210","0"
"t96",NA
"t16","0"
"t17","0"
"t23","0"
"t29","0"
"t30",NA
"t22","0"
"t39","0"
"t247","1"
"t248","1"
"t246","1"
"t222","1"
"t168","1"
"t142","1"
"t56","0"
"t33","0"
"t34","0"
"t37","0"
"t38","0"
"t68","0"
"t106","0"
"t109","0"
"t110","0"
"t28","0"
"t162","0"
"t203","1"
"t204","1"
"t52","0"
"t182","0"
"t183","0"
"t164","0"
"t217","0"
"t249","0"
"t250","0"
"t212","0"
"t262","0"
"t263",NA
"t238",NA
"t239","0"
"t253","0"
"t254",NA
"t119","0"
"t60","0"
"t59",NA
"t47","0"
"t77","0"
"t78","0"
"t65","1"
"t66","0"
"t44","0"
"t85","0"
"t86","0"
"t13","0"
"t26","0"
"t27","0"
"t118","0"
"t175","0"
"t176","0"
"t174","0"
"t149","0"
"t150","0"
"t87",NA
"t71","0"
"t35","0"
"t36","0"
"t201","0"
"t202","0"
"t159","0"
"t177","0"
"t185","0"
"t186","0"
"t218","0"
"t219","0"
"t124","0"
"t133",NA
"t134","0"
"t54","0"
"t57","0"
"t58","0"
"t10",NA
"t11","0"
"t3","0"
"t2","0"
"t1","0"
