,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,400,400,400,400,398.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,1,2,2,1,,,,,,,,,,,,,
top,HiSSE,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,400,200,200,400,,,,,,,,,,,,,
mean,,,,,0.6544566071724474,0.15615821917679557,0.1684328525002369,0.18245865731080074,0.18483056624337926,0.19814074230529946,0.1827772619735557,0.18409083747268887,0.18179912911250967,0.1828873853318081,0.22945208985457097,0.17978105560777777,0.17677017084309377
std,,,,,0.965511081352393,0.08284175948956866,0.09315922500510314,0.09411363751882897,0.09678723049440713,0.11914007123343522,0.09067168450000462,0.09455158838211132,0.1040097256561832,0.09821601161290308,0.13560286088599213,0.1020697001936026,0.09820701870143149
min,,,,,-0.563817312931068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,,,,0.42715403713140576,0.09466802254719632,0.10462543252595155,0.11061703185547807,0.11231512397636954,0.11403061029626194,0.10987485376141792,0.11127774740443586,0.09951640769520098,0.10992903109097438,0.12206223167627446,0.10664666550134597,0.10009925278570636
50%,,,,,0.590030294455897,0.1650363577405435,0.17482926453426972,0.19745235828738,0.19980541152010783,0.20230499509097868,0.19854510587024954,0.19969603350593107,0.1855555294498035,0.1955293952221817,0.2229394107468723,0.18167746175539554,0.18390248557349087
75%,,,,,0.7162502220926428,0.2173966198357149,0.22888294920809144,0.24583933071649217,0.2462047523699139,0.26098107984736596,0.24526635929826646,0.2480846710257986,0.24577830780797924,0.24901597699817668,0.3180879411793315,0.24247000550254355,0.2375280135098483
max,,,,,11.7616485923731,0.41731715222003574,0.6017014723435585,0.5999924646771604,0.6310793891896842,0.8031822672295884,0.524545368518978,0.5657854804478228,0.6673288378080401,0.5808728153359121,0.7448904091848487,0.610027353283953,0.57501765901041
