,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
t6,-0.08681246,11.172797,0.094011925,3.4935844,-0.07440124,-0.34173182,4.0996976,-0.17129861,5.3312564,5.360174,0.03983891,1.8224976,-0.3213733,0.77606595,-0.27030668,0.116902135,4.0328364,-0.11158798,0.111785494,-0.044921376,0.010488466,1.047991,0.004583143,9.848847,-0.078307815,-0.11308092,4.11276,2.1656551,0.6982731,11.556387,12.119991,-0.7232152,0.12389706,-0.10424131,9.400199,-0.053907514,0.5662551,-0.00844237,-0.00019758832,-0.049960956,2.2239385,-0.14231266,-0.03599549,0.0023744896,-0.04270408,-0.60594636,8.34307
t7,-0.08073372,10.871001,0.089987576,3.138469,-0.06251699,-0.31972387,3.8844755,-0.14478455,4.720628,5.030759,0.03806702,1.4607143,-0.322698,1.048647,-0.24677141,0.10711662,3.778575,-0.10860592,-0.0035789036,-0.042726018,0.009543312,0.61591196,-0.002637695,9.347453,-0.0678734,-0.1001487,4.1764793,2.0423074,0.6519695,10.636199,11.595894,-0.67362905,0.11039772,-0.076520346,8.948299,-0.05260193,0.52502006,-0.008706004,-0.00019390523,-0.039844394,1.8484955,-0.097043976,-0.00522311,0.0019953628,-0.04522938,-0.57898253,7.929793
t8,-0.08085664,10.8406515,0.08958345,3.1275733,-0.062009014,-0.31790018,3.8862906,-0.14741135,4.695405,5.017535,0.038040694,1.4284228,-0.3255198,1.0603484,-0.24536285,0.106860004,3.7795753,-0.1101826,-0.0040834774,-0.042510595,0.009526631,0.59731394,-0.0027154419,9.3508,-0.06739741,-0.09978366,4.179311,2.0602252,0.6502123,10.627819,11.573499,-0.67410517,0.109906375,-0.07920343,8.946053,-0.053227462,0.5256569,-0.008785529,-0.00019387553,-0.03882375,1.8451898,-0.09548512,-0.0063791703,0.0020180186,-0.045595326,-0.5773074,7.954669
t5,-0.0871821,11.202334,0.09411115,3.5432863,-0.07587414,-0.34452015,4.125518,-0.17408228,5.3984694,5.393898,0.040026788,1.8792777,-0.32094756,0.7478281,-0.2733592,0.11783224,4.06143,-0.111867584,0.13469182,-0.045107357,0.010587728,1.1011294,0.003373106,9.896423,-0.079400904,-0.11430506,4.1010556,2.182716,0.7031446,11.6637,12.179232,-0.72923577,0.1253509,-0.107421495,9.453913,-0.053976595,0.570968,-0.008530703,-0.0001979929,-0.051487297,2.2502964,-0.14789817,-0.03992046,0.0024016888,-0.041964877,-0.6098476,8.374458
t19,-0.10824192,17.815786,0.08114665,0.5091643,-0.02203979,-0.42982805,4.56268,-0.29909304,2.572739,6.4671955,0.059541117,-0.17531115,-0.4278161,2.0689306,-0.3435535,0.089341976,3.4236913,-0.106976405,-0.046091843,-0.06801738,0.012309235,-0.08449904,-0.07267588,12.988795,-0.019948618,0.59042215,6.813875,2.61841,0.7739911,6.7043147,16.53538,-0.85047585,0.078984715,1.1098875,9.800802,-0.09134765,0.6674458,1.4236602,-0.0003205234,1.343581,-0.003385776,4.238557,5.4105587,1.4605567,-0.0355998,-0.57072705,10.805492
t22,-0.11920381,19.315737,0.100902885,-0.021191822,0.38949496,-0.43685317,4.2905188,-0.2709182,1.5636892,6.4748826,0.059528597,-0.26345196,-0.4266432,2.691289,-0.32476658,0.0715663,2.8290305,-0.11856976,-0.062229782,-0.07066706,0.012656305,-0.117197566,-0.073866375,13.434849,0.2996213,1.7005912,7.3849583,2.63589,0.7771984,5.199364,16.869907,-0.83401394,0.064990364,1.7437896,9.372415,-0.09460671,0.65144265,2.2295113,-0.0003557305,2.1187913,-0.009319379,6.485859,7.549882,1.8544738,-0.029613506,-0.5020919,10.900616
t23,-0.11808437,19.194471,0.10238917,-0.031524,0.9373604,-0.4257514,4.1273336,-0.24348755,1.1678088,6.317306,0.05820345,-0.2845469,-0.41892186,2.9892728,-0.3046026,0.06368359,2.637241,-0.12163935,-0.06586864,-0.06777384,0.012463912,-0.117953315,-0.07007137,13.06335,0.61674803,1.8991753,7.4783783,2.459389,0.76009804,4.7789655,16.483427,-0.8165477,0.060665168,1.7813696,9.024962,-0.09222122,0.61965066,2.424427,-0.00035359865,2.2718604,-0.010888049,7.049,7.9607716,1.777064,-0.030700851,-0.45756474,10.591457
t31,-0.112324126,20.328556,0.13072282,-0.13047427,4.517343,-0.397253,2.9233313,-0.06569934,-0.0442541,5.6034966,0.0609924,-0.37770864,-0.4871838,5.2669044,-0.19889478,0.011192698,1.9925551,-0.14786136,-0.11271507,-0.053698502,0.012581006,-0.13667461,-0.08260274,11.473317,3.2412553,3.4001358,8.337695,1.5833791,0.6848497,2.0538871,16.175503,-0.8409129,0.052503135,2.4253778,7.603679,-0.08482291,0.51662564,4.5648694,-0.00038386817,3.7284815,-0.022166062,12.535114,11.400129,1.8762133,-0.021123655,-0.1064416,9.197837
t136,-0.038426496,15.174756,0.09916095,-0.29265434,12.793689,-0.26398745,0.9813078,2.2436256,-0.16891624,1.3807555,0.054336317,-0.31410462,-0.59751976,11.720515,-0.032115933,2.9189198,1.9095491,-0.17513256,-0.19304259,-0.0071420753,0.009515009,-0.14221834,-0.11736154,3.9804156,6.6189156,5.0456944,10.336449,-0.1960925,0.30159777,-0.012435355,12.716668,-0.61216295,0.05885081,1.8793262,3.6401353,-0.055999547,0.11964907,7.902286,-0.00040463117,6.026038,-0.02950699,22.291016,14.661746,3.1065014e-05,0.026503831,5.1621714,3.6105192
t137,-0.043314263,15.6344,0.1003157,-0.2812262,12.258973,-0.27517036,1.1758041,1.9736968,-0.16180049,1.6465071,0.055273406,-0.32116973,-0.597423,11.274832,-0.042069178,2.701414,1.845975,-0.17288847,-0.1874184,-0.009422601,0.009635076,-0.14126305,-0.121309295,4.518566,6.320409,4.7711644,10.287097,-0.17004858,0.3282488,-0.010455103,12.998603,-0.6342191,0.05968216,1.9235834,3.9361043,-0.057740353,0.14759497,7.6894274,-0.00040725732,5.9075184,-0.029175764,21.66986,14.498028,0.12874074,0.019367794,4.663169,3.9879265
t119,-0.035527974,14.962584,0.09893308,-0.2993432,13.021935,-0.2603092,0.8597093,2.3825562,-0.17320493,1.2241905,0.053830415,-0.30803147,-0.6124639,11.952631,-0.02486567,3.0055516,1.971796,-0.17701593,-0.19562155,-0.005899894,0.009474325,-0.14433737,-0.11464143,3.7568376,6.7593117,5.178585,10.2779665,-0.20674852,0.28674364,-0.013691536,12.559317,-0.6000977,0.059123356,1.84753,3.4870133,-0.054682028,0.10767779,8.059502,-0.0004023515,6.073601,-0.029760933,22.59139,14.723495,0.0001072408,0.068065286,5.4370065,3.4191875
t120,-0.045977246,15.894263,0.10059686,-0.27654538,11.982839,-0.28024837,1.2521944,1.8554655,-0.15793173,1.797651,0.055470806,-0.32827747,-0.59503925,11.050699,-0.048144646,2.5740256,1.8149267,-0.17246702,-0.1840921,-0.010617727,0.009711812,-0.14096074,-0.12132981,4.7716455,6.179513,4.6630664,10.2386265,-0.15557219,0.34040874,-0.009494799,13.161229,-0.64475346,0.06094212,1.9511187,4.0669765,-0.058575615,0.16437423,7.612162,-0.00040804662,5.8092837,-0.029040094,21.332602,14.441027,0.19564243,-0.00013480308,4.430206,4.1739945
t118,-0.04702493,15.989678,0.09979476,-0.27400455,11.870595,-0.28272575,1.2939591,1.8032317,-0.15669848,1.8628834,0.055623185,-0.327854,-0.5940745,10.9554405,-0.048780374,2.5346339,1.8068838,-0.17193267,-0.18285802,-0.011009278,0.009758193,-0.13980924,-0.12206622,4.8823895,6.127148,4.606211,10.215232,-0.14991769,0.34561175,-0.00914972,13.199029,-0.6456497,0.061321117,1.9664025,4.135659,-0.058977984,0.16955484,7.563887,-0.00040860218,5.768481,-0.028924167,21.215586,14.411281,0.22114637,0.009678874,4.3378525,4.248064
t100,-0.048746392,16.108862,0.09780368,-0.27303237,11.579105,-0.27704483,1.3078094,1.7701747,-0.15323555,1.9564047,0.05543854,-0.33563796,-0.58399034,10.745752,-0.051338445,2.3737407,1.8798938,-0.17384666,-0.17825718,-0.012360815,0.010057199,-0.13874604,-0.12187396,5.171529,6.1318436,4.6766706,9.983719,-0.12275297,0.3535654,-0.008738957,13.195623,-0.6503673,0.0612225,2.0470371,4.1757464,-0.058666162,0.1873658,7.5450172,-0.00040648252,5.6270347,-0.029058315,20.963877,14.28706,0.35377595,0.12349276,4.221231,4.3363667
t101,-0.066215344,17.321394,0.10368325,-0.23710552,9.910772,-0.31134412,1.7511762,1.1905632,-0.1278915,2.8989174,0.05748155,-0.34953943,-0.58682454,9.444913,-0.07844886,1.6206958,1.8291503,-0.16679339,-0.16480951,-0.02160475,0.010521436,-0.13201375,-0.11941066,6.711257,5.376697,4.020854,9.77909,-0.02191018,0.4434075,-0.003204427,13.937645,-0.710056,0.061747305,2.151319,5.2074533,-0.06568342,0.26225477,6.7919526,-0.00040714134,5.270457,-0.027758513,19.027859,13.722551,0.6551488,-0.0025320174,2.9013674,5.536718
t51,-0.084300816,18.46545,0.110882975,-0.19556105,7.5619216,-0.3339876,2.0495572,0.49768123,-0.099815965,3.9585598,0.058564737,-0.35088035,-0.51406324,7.508367,-0.120052606,0.81867754,1.8736767,-0.15786101,-0.1459409,-0.03525526,0.011147267,-0.12769954,-0.1100266,8.675049,4.6547093,4.0568957,8.741341,0.66354156,0.53840685,0.29040074,14.59872,-0.76789314,0.0583357,2.404584,6.030593,-0.0732062,0.37535802,5.9465227,-0.00039092015,4.4677157,-0.026149116,16.4504,12.701339,1.373454,-0.002034678,1.4917889,6.923688
t52,-0.09454472,19.17864,0.118513055,-0.17576005,6.5805254,-0.3546722,2.3234928,0.21411586,-0.083052196,4.545439,0.059866436,-0.36188674,-0.5218067,6.812098,-0.14243934,0.4261361,1.8315506,-0.15229829,-0.13676406,-0.041243225,0.011560627,-0.12821269,-0.101262,9.615446,4.1315656,3.688539,8.638372,0.8816717,0.58890694,0.8285476,15.097641,-0.8005624,0.05894123,2.4074018,6.6403847,-0.07733401,0.4212644,5.4658947,-0.00038917825,4.237074,-0.025557522,15.238032,12.313788,1.4945536,-0.008042887,0.7388127,7.6306777
t38,-0.10559044,19.95428,0.1261265,-0.14755934,5.3270664,-0.38415235,2.7401936,-0.03416993,-0.058368705,5.2376223,0.061258595,-0.373121,-0.5126309,5.9252305,-0.17747822,0.0037697223,1.8748412,-0.14818782,-0.12286337,-0.048810203,0.012219844,-0.13280936,-0.0880522,10.785123,3.5061333,3.367991,8.591343,1.257462,0.64829016,1.6011791,15.766654,-0.8291307,0.05525645,2.424312,7.304392,-0.08243873,0.47477487,4.881821,-0.00038919356,3.961588,-0.023706662,13.575312,11.8168335,1.6604954,-0.01787096,-0.035429694,8.633415
t32,-0.122335225,20.83266,0.1335747,-0.10375583,3.6253896,-0.41825283,3.3649743,-0.12704702,-0.021735333,6.112064,0.061464865,-0.3886071,-0.50409466,4.704611,-0.23549278,0.026534433,2.086466,-0.14446734,-0.10266411,-0.059916556,0.013066181,-0.13232222,-0.07850194,12.447355,2.5823658,3.1346233,8.337084,1.9518595,0.73921496,2.8035154,16.824251,-0.86508936,0.052205138,2.2824225,8.241687,-0.08889898,0.56631374,4.045035,-0.00038480843,3.4604902,-0.01971803,11.208547,10.883411,1.8992498,-0.027725155,-0.2222892,9.973139
t25,-0.13862371,22.526974,0.14095642,-0.09634276,1.9571881,-0.44945043,3.6945114,-0.18945983,0.21096188,6.8452735,0.061992567,-0.37954763,-0.46961585,3.5044205,-0.29284322,0.048370805,2.7259808,-0.15000094,-0.08606986,-0.07567175,0.015053287,-0.14583604,-0.086173706,14.558397,2.5754435,4.231005,7.51572,2.9111109,0.82712555,3.4108937,18.433609,-0.90661836,0.052345965,2.6710062,8.630454,-0.097939424,0.70713997,3.9025826,-0.00040259273,2.879978,-0.018767333,10.163691,10.631158,2.713132,-0.017147155,-0.32585317,11.401809
t33,-0.1302218,23.179604,0.16041908,-0.1600323,3.3426805,-0.4164687,2.7341502,-0.070569195,-0.037267823,6.36117,0.06310258,-0.38498616,-0.42966083,4.282358,-0.23712434,0.019210149,2.7258394,-0.16993274,-0.11040392,-0.069542445,0.015469377,-0.16965283,-0.10212717,13.788423,4.438296,5.7000527,7.1399703,2.6860023,0.7748056,1.6840401,18.416527,-0.90789676,0.04851731,3.2638905,7.510543,-0.09246168,0.6878073,5.2496557,-0.00042119535,3.4755585,-0.025044903,13.407096,12.27598,3.2339091,-0.0027397308,-0.095603086,10.644376
