,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
t6,5.4644217,7.6689544,4.8679357,0.106313124,1.1336496,3.7696247,3.8921728,3.1633031,6.076157,6.450849,5.4765997,4.1817656,6.7407603,3.3825698,5.036916,4.417146,5.0151963,4.8758054,4.674304,4.7880483,7.27625,5.99684,5.7102475,6.504341,4.843265,4.2063527,5.816078,4.5768423,5.005904,4.814575,5.253732,4.88421,6.5304446,4.990179,5.021875,3.526101,5.931516,6.515974,2.6798244,5.93089,5.30697,5.3441916,6.48966,4.2380843,5.8260937,5.795041,3.4747133
t7,5.389175,7.695413,4.831516,0.10302248,1.2077236,3.697697,3.9040928,3.1552804,6.0908976,6.4860525,5.523807,4.1723704,6.6925764,3.394737,5.0642505,4.39526,4.971538,4.8731937,4.6262608,4.813047,7.28494,6.019169,5.762823,6.51941,4.860531,4.1823225,5.8720326,4.547613,5.0209208,4.7914753,5.2117205,4.854398,6.5320296,5.0065656,5.024552,3.5678036,5.9923506,6.5006638,2.6184895,5.9589567,5.305364,5.3250403,6.455872,4.2188635,5.831088,5.757318,3.4933703
t8,5.4068437,7.687949,4.8360567,0.107728615,1.1902977,3.7149305,3.9020598,3.1559596,6.0963545,6.4899406,5.530099,4.1771984,6.6879435,3.4005277,5.071594,4.387908,4.967665,4.8704667,4.625671,4.81759,7.2817874,6.0247755,5.768211,6.5173984,4.8548703,4.1822343,5.8792176,4.555132,5.0264964,4.7840476,5.2101197,4.8519583,6.527314,5.005073,5.018282,3.571269,5.9957876,6.4959583,2.6127667,5.9655924,5.310705,5.3245063,6.461896,4.2196417,5.835083,5.7630105,3.4981992
t5,5.4653754,7.6552978,4.8752937,0.11445874,1.1299909,3.7716157,3.8896236,3.1686194,6.080557,6.4477787,5.4732304,4.1913657,6.745341,3.3891351,5.0406594,4.4127407,5.018284,4.874231,4.681382,4.7901254,7.273957,5.9995203,5.7072167,6.4987144,4.8342075,4.210297,5.8129034,4.591563,5.008857,4.809973,5.2570233,4.8874183,6.5244036,4.98483,5.01417,3.523656,5.9242897,6.5126557,2.6854208,5.9334216,5.3117146,5.3479853,6.501945,4.239653,5.8299465,5.806178,3.477208
t19,3.467642,8.306107,4.540195,-0.20909333,3.5226076,2.0789335,3.7209663,3.0474422,5.803447,6.648058,5.389559,4.008974,6.6243014,3.0458598,4.6728735,4.6347785,4.9382124,4.643595,4.562708,4.5995574,7.318282,6.003561,5.5290465,6.6971254,4.877905,4.0913844,5.723327,4.348258,5.1179004,5.020916,5.34629,4.7529016,6.449153,5.074164,5.1341534,3.4808326,5.9782925,6.612995,2.735033,5.8391695,5.3318353,5.222125,6.4302325,4.341902,5.775185,5.7402906,3.3207974
t22,3.4374475,8.304292,4.541397,-0.20904467,3.5636053,2.0576222,3.7229292,3.0467784,5.8025336,6.6493597,5.391078,4.0048265,6.6185703,3.0411465,4.6690974,4.6403275,4.9346614,4.6413126,4.5651927,4.598454,7.3192124,6.009097,5.5281463,6.6994824,4.8839426,4.093424,5.7248034,4.342358,5.119727,5.025162,5.341211,4.75041,6.4483566,5.0734982,5.12985,3.4845898,5.9763637,6.6080832,2.7372203,5.842679,5.329879,5.2226424,6.426797,4.336195,5.7733707,5.7384014,3.3170652
t23,3.372972,8.334388,4.525608,-0.21805689,3.6379142,2.0025327,3.706499,3.0420833,5.797417,6.648395,5.3780885,4.014411,6.6393275,3.0449934,4.66986,4.625398,4.9459257,4.6353807,4.5536036,4.5963206,7.315164,5.9880633,5.5204782,6.69729,4.8589377,4.081461,5.7113123,4.3584886,5.1169915,5.020825,5.366165,4.757306,6.4458814,5.0822926,5.1531262,3.4641924,5.9834046,6.6324472,2.734616,5.8251815,5.3363104,5.216066,6.440466,4.363716,5.7733693,5.7472,3.3267386
t31,3.1789255,8.404037,4.486646,-0.24980517,3.8631778,1.848519,3.689909,3.0357862,5.766473,6.6595893,5.360309,4.0477176,6.6889515,3.0904987,4.685835,4.5942726,4.9885807,4.650673,4.525012,4.5871377,7.3316464,5.9370394,5.5375094,6.689794,4.799617,4.0565243,5.6724586,4.3993263,5.086721,4.9779296,5.4133263,4.7470093,6.4717326,5.07701,5.205374,3.430754,6.0226164,6.6841087,2.7235527,5.76181,5.355202,5.2185917,6.4933677,4.440994,5.792732,5.748279,3.3545961
t136,2.1095974,8.792327,4.198247,-0.3834182,5.1572533,1.0835099,3.5597546,3.008921,5.645018,6.6831946,5.220141,4.342473,7.1263194,3.4783034,4.906051,4.1876736,5.25272,4.7754307,4.2961187,4.5181613,7.4567366,5.5168405,5.710491,6.535574,4.2712107,3.8659089,5.420021,4.7662826,4.847462,4.611275,5.7502556,4.7006445,6.6856484,5.0200105,5.613372,3.1680973,6.333962,7.1008277,2.5808198,5.3743052,5.5178742,5.2741494,6.869129,4.9910326,5.847941,5.734461,3.5932624
t137,2.1051798,8.794908,4.193127,-0.39000085,5.1627502,1.0797373,3.5590472,3.011043,5.6410656,6.6829743,5.213603,4.3448024,7.134178,3.4852977,4.913382,4.1800785,5.2562313,4.77885,4.2884736,4.515024,7.460975,5.5103087,5.7186117,6.527987,4.2648926,3.856623,5.4141326,4.7750287,4.8397284,4.605289,5.757673,4.6968603,6.6935697,5.017842,5.6209064,3.1611278,6.3409696,7.1090956,2.5720015,5.367205,5.526701,5.277119,6.8772984,4.995491,5.8498187,5.734929,3.5985825
t119,2.095276,8.79419,4.1973057,-0.3968683,5.1791472,1.0800766,3.5709872,3.0223482,5.6366243,6.6855087,5.2212825,4.3452053,7.1279826,3.479239,4.9003263,4.1829953,5.251228,4.7666197,4.290253,4.5055447,7.463206,5.519252,5.7115602,6.533807,4.2655225,3.8548915,5.4258485,4.766721,4.843039,4.617039,5.7500854,4.687238,6.69429,5.015298,5.6092343,3.1734352,6.3281507,7.1025014,2.56867,5.3761563,5.5297046,5.2847896,6.8706408,4.994391,5.840942,5.7262917,3.5868926
