accepted_species,estimate
t28,-0.01033542
t302,-0.68489134
t208,-0.22396551
t309,0.26822957
t232,0.19356191
t293,-0.012210883
t153,-0.0820315
t60,-0.6950089
t260,-1.1685908
t216,-1.4862255
t107,-0.7558579
t97,-0.9056792
t117,-0.6606758
t132,-0.115483634
t119,-0.29939607
t140,-0.115483634
t141,-0.17976747
t212,-0.7244385
t131,0.088065006
t85,-1.1309794
t89,-0.7133797
t109,0.2564552
t304,-0.74322635
t258,-0.2947074
t169,-0.0017645867
t312,1.2193892
t316,0.9922719
t317,-0.16246487
t324,-0.71568984
t227,-0.45331877
t158,0.103267916
t173,-0.81621784
t204,-0.81621784
t225,-1.0545249
t83,-0.4780578
