,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,200,200,200,200,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
unique,1,2,1,1,,,,,,,,,,,,,
top,Clonality,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,200,100,200,200,,,,,,,,,,,,,
mean,,,,,0.648023466001554,0.2327149137093383,0.24502485339202265,0.24577931122047555,0.2509004455480804,0.24159433026033,0.23234605022031915,0.22702155809828287,0.23269933810020668,0.24567491926010476,0.27712259428062586,0.24121952460811585,0.2367457829572745
std,,,,,0.03497659777731908,0.08259027752270237,0.08246347768940757,0.0718916149371913,0.08123360904238898,0.10147412375898181,0.07494522350556806,0.07522673616234454,0.07981251569920184,0.0816186434080254,0.12159060596208701,0.0819534833606336,0.08370421818959203
min,,,,,0.532670327324356,0.08071188931084025,0.05158024691358025,0.0893366568725045,0.08700377904385442,0.06795060023256158,0.09200973926265547,0.07843627843015674,0.09031944806107209,0.09811172214284734,0.0011184476262400005,0.062223087663858,0.050547373127031746
25%,,,,,0.6258332135152298,0.17669623799101355,0.18781801922970148,0.20924924182246357,0.2039122663165931,0.17554839421989318,0.1782636766391758,0.17273262998539304,0.1793664673883392,0.19380631976155197,0.19594499750001598,0.19205581109638972,0.185898369964391
50%,,,,,0.6496008848667705,0.22270383510727537,0.24067283950617285,0.241388153561324,0.23988368997139103,0.2268617546751675,0.23257008955757047,0.22197274743423773,0.2278826369908064,0.23184507358977607,0.26165101020398057,0.2342820287532026,0.22838613116524498
75%,,,,,0.6716366033368952,0.26274000496497335,0.2830098120946028,0.27603600659867245,0.2883801781653924,0.2946350602421933,0.27090653500919737,0.27322910092015784,0.27284145328022447,0.28798241581997397,0.3528970529127141,0.28390049580801263,0.2759707849318322
max,,,,,0.728414335939813,0.5517360305912471,0.5404517882512151,0.5948648292461787,0.5549613366785926,0.8161889450850408,0.5206474188461621,0.5298267260886202,0.5963147651388,0.5552640437938183,0.86846440701969,0.5282624148067934,0.6886771584709064
