,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
t1,-1.1242894,8.833717,2.4816077,4.675198,5.824854,6.700029,5.4834213,2.6789858,3.0713136,5.350695,6.7338233,8.169048,5.7774253,5.020707,4.826227,5.306024,4.6245065,4.6601343,3.5631444,5.2935767
t2,-1.1877222,8.816702,2.5078962,4.6389313,5.759434,6.7337117,5.5370746,2.690851,3.0216439,5.374867,6.7459226,8.199419,5.7160783,4.983061,4.860663,5.3036013,4.6089144,4.695123,3.584946,5.2680626
t8,-1.3644233,8.75052,2.5783288,4.5418015,5.6187835,6.830792,5.6436195,2.7545125,2.907877,5.427966,6.78765,8.286839,5.6226525,4.899492,4.92776,5.259938,4.5534806,4.780005,3.6290886,5.1649737
t9,-1.2915565,8.761332,2.5137918,4.561156,5.6787267,6.8068447,5.585052,2.7241814,2.981517,5.420725,6.7786303,8.231647,5.670006,4.9219804,4.926339,5.320197,4.571341,4.752301,3.5837932,5.21568
t6,-1.3271972,8.782073,2.50434,4.5526834,5.6697445,6.8257113,5.605897,2.7483826,2.9917145,5.401573,6.7980905,8.2618685,5.647134,4.9019823,4.916607,5.3290124,4.550107,4.7711716,3.6011763,5.202959
t11,-1.472808,8.872276,2.5447087,4.6372256,5.495206,6.8147664,5.7336187,2.8012643,2.9440515,5.3282094,6.7166057,8.413515,5.5035367,4.996502,4.8583436,5.205383,4.5929303,4.678802,3.5854778,5.0738225
t12,-1.4670503,8.803699,2.4652984,4.547102,5.5709734,6.8441076,5.6489186,2.7523112,3.0117793,5.3897204,6.788291,8.34243,5.5784736,4.912769,4.9419255,5.3274484,4.558233,4.759975,3.5487444,5.1632633
t7,-1.3055651,8.745372,2.4764957,4.5636144,5.647726,6.803339,5.570764,2.696007,3.0053513,5.4394665,6.75108,8.218135,5.6705465,4.94816,4.956789,5.3394184,4.6001506,4.7220235,3.5194361,5.2178326
t83,-2.8965874,9.125031,2.2601197,4.734944,4.4536867,7.596835,6.6795864,3.4147918,3.1475837,5.3734975,6.9622645,9.397796,4.4688487,4.409921,5.077655,4.882493,4.0768986,5.189973,3.8454716,4.2465024
t180,-2.8863323,9.17996,2.151885,4.722435,4.324833,7.6432576,6.7350593,3.357273,3.0513248,5.2778845,6.812103,9.507288,4.3264937,4.274529,5.2211585,4.807789,4.0491214,5.205266,3.6905673,4.2548127
