,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
t1,7.002286,8.029629,-0.97728264,9.398043,8.956027,3.7341738,-0.3696544,-0.8725533,11.741341,0.22757144,-0.029561123,7.8922296,-0.32798097,-0.76041985,-0.35899505,0.29496953,0.99696463,14.017531,2.4025812,0.24785802
t2,6.3006396,7.292492,-0.99509174,11.458511,8.550974,3.8959002,-0.36155576,-0.9639133,14.25074,0.42141476,-0.05872929,6.6046624,0.6645382,-0.94125104,-0.40455464,0.2564908,0.014852745,13.449265,3.595113,0.27730107
t8,8.09441,6.549259,-1.2982161,17.154293,9.232036,3.7897015,-0.40741736,-1.322554,21.79169,0.14788069,-0.1032861,5.4231524,5.804356,-1.5089929,-0.53276825,0.23667498,0.15517865,15.469064,6.976832,0.467667
t9,8.461044,7.72926,-1.2694098,14.727088,9.779781,3.479864,-0.40666384,-1.2241257,19.577515,0.24528377,-0.08770779,6.611287,2.736863,-1.2975188,-0.48951277,0.25331044,0.09732952,16.154972,6.0778217,0.42303094
t6,8.383816,7.6733856,-1.270969,15.230241,9.69336,3.512699,-0.40123916,-1.2373794,20.10675,0.2306027,-0.09363524,6.221261,3.4894032,-1.3426983,-0.49846956,0.24306153,0.113120124,16.088867,6.2024617,0.4287966
t11,8.111581,5.332298,-1.3680803,20.175127,8.540581,4.560243,-0.40091625,-1.4423107,24.51551,0.062445536,-0.11348295,4.0925803,9.560754,-1.802777,-0.58941096,0.23040834,0.23766842,14.353005,7.7770605,0.5293405
t12,8.125374,4.6093483,-1.3785805,21.90543,8.29704,4.952806,-0.4240513,-1.5226889,25.825104,0.12912522,-0.11403561,3.628412,11.280813,-1.9178482,-0.6212005,0.22460176,0.26650733,13.98571,8.224711,0.5617885
t7,8.842028,7.7545686,-1.3295888,15.3920765,9.874666,3.5301073,-0.40954435,-1.2669867,20.485235,0.41997442,-0.09530439,6.5955677,3.4377317,-1.3877338,-0.5060226,0.24423712,0.11955929,16.299803,6.2999473,0.4452804
t83,9.568169,0.34948248,-1.8177826,34.730053,6.926036,7.174319,-0.5228309,-2.1946077,38.95691,-0.056075178,-0.18938598,0.13465592,27.149462,-3.229206,-0.91562104,0.14020358,0.5807349,12.211508,11.923345,0.9096266
t180,9.822205,-0.066742346,-1.8806214,37.445744,6.2188635,7.627872,-0.5251779,-2.337125,41.65343,-0.07766576,-0.20636518,-0.08866538,30.677795,-3.479341,-0.9853127,0.12675935,0.64996696,11.355529,12.396683,0.95772195
