"","t7","t114","t115","t72","t73","t66","t48","t92","t93","t27","t23","t64","t65","t11","t1","t12","t13","t2","t34","t99","t100","t45","t31","t76","t77","t37","t94","t95","t50","t51","t61","t62","t32","t33","t26","t70","t71","t67","t84","t85","t42","t43","t44","t90","t91","t116","t117","t30","t4","t40","t57","t106","t107","t88","t89","t54","t101","t102","t103","t78","t79","t80","t110","t111","t14","t35","t36","t74","t75","t108","t109","t20","t46","t59","t60","t10","t86","t87","t81","t25","t15","t52","t53","t112","t113","t63","t39","t6","t104","t105","t96","t47","t97","t98","t58","t49","t38","t68","t69","t82","t83","t41","t24","t16","t19","t21","t22","t17","t18","t8","t9","t3","t55","t56","t28","t29","t5"
"t7",0,2.761742267721,2.761742267721,2.718438478795,2.761742267695,2.761742267695,2.7617422677,2.7617422677,2.7617422677,1.9964749228,3.227032594,3.2270325936,3.2270325936,3.2270325938,3.81566256221,6.85148512221,6.85148512221,4.63279923661,8.2362606427,8.23626064278,8.23626064278,8.2362606427,8.2362606425,8.2362606427,8.2362606427,8.2362606426,8.2362606437,8.2362606437,8.2362606437,8.2362606437,8.2362606434,8.2362606434,8.23626064347,8.23626064347,7.49221204307,8.23626064293,8.23626064293,8.23626064293,8.23626064283,8.23626064283,8.23626064293,8.23626064293,8.23626064293,8.23626064273,8.23626064273,8.23626064341,8.23626064341,8.23626064303,5.74767668443,7.74585176113,8.23626064303,8.23626064308,8.23626064308,8.23626064268,8.23626064268,8.23626064298,8.23626064296,8.23626064296,8.23626064296,8.23626064295,8.236260642965,8.236260642965,8.23626064297,8.23626064297,8.23626064318,8.23626064293,8.23626064293,8.23626064243,8.23626064243,8.23626064252,8.23626064252,7.98961724913,8.23626064253,8.04080852443,8.23626064253,6.42375285063,8.23626064282,8.23626064282,8.23626064278,8.23626064258,8.23626064298,8.23626064278,8.23626064278,8.236260642838,8.236260642838,8.23626064288,8.23626064288,7.29442302733,8.23626064293,8.23626064293,8.23626064293,8.23626064293,8.23626064294,8.23626064294,8.23626064302,8.23626064292,8.23626064292,8.23626064295,8.23626064295,8.23626064295,8.23626064295,8.23626064293,8.23626064333,8.23626064253,8.2362606433,7.4026913245,7.0039319428,8.2362606426,7.8260355286,8.2362606426,6.9290877881,8.2362606424,8.236260643,8.236260643,8.2362606431,8.2362606431,5.764453701
"t114",2.761742267721,0,0.009878332252,1.161043965926,1.204347754826,1.204347754826,1.218715298221,2.835703579021,2.835703579021,2.070436234121,4.899807664521,4.899807664121,4.899807664121,4.899807664321,5.488437632731,8.524260192731,8.524260192731,6.305574307131,9.909035713221,9.909035713301,9.909035713301,9.909035713221,9.909035713021,9.909035713221,9.909035713221,9.909035713121,9.909035714221,9.909035714221,9.909035714221,9.909035714221,9.909035713921,9.909035713921,9.909035713991,9.909035713991,9.164987113591,9.909035713451,9.909035713451,9.909035713451,9.909035713351,9.909035713351,9.909035713451,9.909035713451,9.909035713451,9.909035713251,9.909035713251,9.909035713931,9.909035713931,9.909035713551,7.420451754951,9.418626831651,9.909035713551,9.909035713601,9.909035713601,9.909035713201,9.909035713201,9.909035713501,9.909035713481,9.909035713481,9.909035713481,9.909035713471,9.909035713486,9.909035713486,9.909035713491,9.909035713491,9.909035713701,9.909035713451,9.909035713451,9.909035712951,9.909035712951,9.909035713041,9.909035713041,9.662392319651,9.909035713051,9.713583594951,9.909035713051,8.096527921151,9.909035713341,9.909035713341,9.909035713301,9.909035713101,9.909035713501,9.909035713301,9.909035713301,9.909035713359,9.909035713359,9.909035713401,9.909035713401,8.967198097851,9.909035713451,9.909035713451,9.909035713451,9.909035713451,9.909035713461,9.909035713461,9.909035713541,9.909035713441,9.909035713441,9.909035713471,9.909035713471,9.909035713471,9.909035713471,9.909035713451,9.909035713851,9.909035713051,9.909035713821,9.075466395021,8.676707013321,9.909035713121,9.498810599121,9.909035713121,8.601862858621,9.909035712921,9.909035713521,9.909035713521,9.909035713621,9.909035713621,7.437228771521
"t115",2.761742267721,0.009878332252,0,1.161043965926,1.204347754826,1.204347754826,1.218715298221,2.835703579021,2.835703579021,2.070436234121,4.899807664521,4.899807664121,4.899807664121,4.899807664321,5.488437632731,8.524260192731,8.524260192731,6.305574307131,9.909035713221,9.909035713301,9.909035713301,9.909035713221,9.909035713021,9.909035713221,9.909035713221,9.909035713121,9.909035714221,9.909035714221,9.909035714221,9.909035714221,9.909035713921,9.909035713921,9.909035713991,9.909035713991,9.164987113591,9.909035713451,9.909035713451,9.909035713451,9.909035713351,9.909035713351,9.909035713451,9.909035713451,9.909035713451,9.909035713251,9.909035713251,9.909035713931,9.909035713931,9.909035713551,7.420451754951,9.418626831651,9.909035713551,9.909035713601,9.909035713601,9.909035713201,9.909035713201,9.909035713501,9.909035713481,9.909035713481,9.909035713481,9.909035713471,9.909035713486,9.909035713486,9.909035713491,9.909035713491,9.909035713701,9.909035713451,9.909035713451,9.909035712951,9.909035712951,9.909035713041,9.909035713041,9.662392319651,9.909035713051,9.713583594951,9.909035713051,8.096527921151,9.909035713341,9.909035713341,9.909035713301,9.909035713101,9.909035713501,9.909035713301,9.909035713301,9.909035713359,9.909035713359,9.909035713401,9.909035713401,8.967198097851,9.909035713451,9.909035713451,9.909035713451,9.909035713451,9.909035713461,9.909035713461,9.909035713541,9.909035713441,9.909035713441,9.909035713471,9.909035713471,9.909035713471,9.909035713471,9.909035713451,9.909035713851,9.909035713051,9.909035713821,9.075466395021,8.676707013321,9.909035713121,9.498810599121,9.909035713121,8.601862858621,9.909035712921,9.909035713521,9.909035713521,9.909035713621,9.909035713621,7.437228771521
"t72",2.718438478795,1.161043965926,1.161043965926,0,0.6623422177,0.8321529323,1.175411509295,2.792399790095,2.792399790095,2.027132445195,4.856503875595,4.856503875195,4.856503875195,4.856503875395,5.445133843805,8.480956403805,8.480956403805,6.262270518205,9.865731924295,9.865731924375,9.865731924375,9.865731924295,9.865731924095,9.865731924295,9.865731924295,9.865731924195,9.865731925295,9.865731925295,9.865731925295,9.865731925295,9.865731924995,9.865731924995,9.865731925065,9.865731925065,9.121683324665,9.865731924525,9.865731924525,9.865731924525,9.865731924425,9.865731924425,9.865731924525,9.865731924525,9.865731924525,9.865731924325,9.865731924325,9.865731925005,9.865731925005,9.865731924625,7.377147966025,9.375323042725,9.865731924625,9.865731924675,9.865731924675,9.865731924275,9.865731924275,9.865731924575,9.865731924555,9.865731924555,9.865731924555,9.865731924545,9.86573192456,9.86573192456,9.865731924565,9.865731924565,9.865731924775,9.865731924525,9.865731924525,9.865731924025,9.865731924025,9.865731924115,9.865731924115,9.619088530725,9.865731924125,9.670279806025,9.865731924125,8.053224132225,9.865731924415,9.865731924415,9.865731924375,9.865731924175,9.865731924575,9.865731924375,9.865731924375,9.865731924433,9.865731924433,9.865731924475,9.865731924475,8.923894308925,9.865731924525,9.865731924525,9.865731924525,9.865731924525,9.865731924535,9.865731924535,9.865731924615,9.865731924515,9.865731924515,9.865731924545,9.865731924545,9.865731924545,9.865731924545,9.865731924525,9.865731924925,9.865731924125,9.865731924895,9.032162606095,8.633403224395,9.865731924195,9.455506810195,9.865731924195,8.558559069695,9.865731923995,9.865731924595,9.865731924595,9.865731924695,9.865731924695,7.393924982595
"t73",2.761742267695,1.204347754826,1.204347754826,0.6623422177,0,0.8754567212,1.218715298195,2.835703578995,2.835703578995,2.070436234095,4.899807664495,4.899807664095,4.899807664095,4.899807664295,5.488437632705,8.524260192705,8.524260192705,6.305574307105,9.909035713195,9.909035713275,9.909035713275,9.909035713195,9.909035712995,9.909035713195,9.909035713195,9.909035713095,9.909035714195,9.909035714195,9.909035714195,9.909035714195,9.909035713895,9.909035713895,9.909035713965,9.909035713965,9.164987113565,9.909035713425,9.909035713425,9.909035713425,9.909035713325,9.909035713325,9.909035713425,9.909035713425,9.909035713425,9.909035713225,9.909035713225,9.909035713905,9.909035713905,9.909035713525,7.420451754925,9.418626831625,9.909035713525,9.909035713575,9.909035713575,9.909035713175,9.909035713175,9.909035713475,9.909035713455,9.909035713455,9.909035713455,9.909035713445,9.90903571346,9.90903571346,9.909035713465,9.909035713465,9.909035713675,9.909035713425,9.909035713425,9.909035712925,9.909035712925,9.909035713015,9.909035713015,9.662392319625,9.909035713025,9.713583594925,9.909035713025,8.096527921125,9.909035713315,9.909035713315,9.909035713275,9.909035713075,9.909035713475,9.909035713275,9.909035713275,9.909035713333,9.909035713333,9.909035713375,9.909035713375,8.967198097825,9.909035713425,9.909035713425,9.909035713425,9.909035713425,9.909035713435,9.909035713435,9.909035713515,9.909035713415,9.909035713415,9.909035713445,9.909035713445,9.909035713445,9.909035713445,9.909035713425,9.909035713825,9.909035713025,9.909035713795,9.075466394995,8.676707013295,9.909035713095,9.498810599095,9.909035713095,8.601862858595,9.909035712895,9.909035713495,9.909035713495,9.909035713595,9.909035713595,7.437228771495
"t66",2.761742267695,1.204347754826,1.204347754826,0.8321529323,0.8754567212,0,1.218715298195,2.835703578995,2.835703578995,2.070436234095,4.899807664495,4.899807664095,4.899807664095,4.899807664295,5.488437632705,8.524260192705,8.524260192705,6.305574307105,9.909035713195,9.909035713275,9.909035713275,9.909035713195,9.909035712995,9.909035713195,9.909035713195,9.909035713095,9.909035714195,9.909035714195,9.909035714195,9.909035714195,9.909035713895,9.909035713895,9.909035713965,9.909035713965,9.164987113565,9.909035713425,9.909035713425,9.909035713425,9.909035713325,9.909035713325,9.909035713425,9.909035713425,9.909035713425,9.909035713225,9.909035713225,9.909035713905,9.909035713905,9.909035713525,7.420451754925,9.418626831625,9.909035713525,9.909035713575,9.909035713575,9.909035713175,9.909035713175,9.909035713475,9.909035713455,9.909035713455,9.909035713455,9.909035713445,9.90903571346,9.90903571346,9.909035713465,9.909035713465,9.909035713675,9.909035713425,9.909035713425,9.909035712925,9.909035712925,9.909035713015,9.909035713015,9.662392319625,9.909035713025,9.713583594925,9.909035713025,8.096527921125,9.909035713315,9.909035713315,9.909035713275,9.909035713075,9.909035713475,9.909035713275,9.909035713275,9.909035713333,9.909035713333,9.909035713375,9.909035713375,8.967198097825,9.909035713425,9.909035713425,9.909035713425,9.909035713425,9.909035713435,9.909035713435,9.909035713515,9.909035713415,9.909035713415,9.909035713445,9.909035713445,9.909035713445,9.909035713445,9.909035713425,9.909035713825,9.909035713025,9.909035713795,9.075466394995,8.676707013295,9.909035713095,9.498810599095,9.909035713095,8.601862858595,9.909035712895,9.909035713495,9.909035713495,9.909035713595,9.909035713595,7.437228771495
"t48",2.7617422677,1.218715298221,1.218715298221,1.175411509295,1.218715298195,1.218715298195,0,2.835703579,2.835703579,2.0704362341,4.8998076645,4.8998076641,4.8998076641,4.8998076643,5.48843763271,8.52426019271,8.52426019271,6.30557430711,9.9090357132,9.90903571328,9.90903571328,9.9090357132,9.909035713,9.9090357132,9.9090357132,9.9090357131,9.9090357142,9.9090357142,9.9090357142,9.9090357142,9.9090357139,9.9090357139,9.90903571397,9.90903571397,9.16498711357,9.90903571343,9.90903571343,9.90903571343,9.90903571333,9.90903571333,9.90903571343,9.90903571343,9.90903571343,9.90903571323,9.90903571323,9.90903571391,9.90903571391,9.90903571353,7.42045175493,9.41862683163,9.90903571353,9.90903571358,9.90903571358,9.90903571318,9.90903571318,9.90903571348,9.90903571346,9.90903571346,9.90903571346,9.90903571345,9.909035713465,9.909035713465,9.90903571347,9.90903571347,9.90903571368,9.90903571343,9.90903571343,9.90903571293,9.90903571293,9.90903571302,9.90903571302,9.66239231963,9.90903571303,9.71358359493,9.90903571303,8.09652792113,9.90903571332,9.90903571332,9.90903571328,9.90903571308,9.90903571348,9.90903571328,9.90903571328,9.909035713338,9.909035713338,9.90903571338,9.90903571338,8.96719809783,9.90903571343,9.90903571343,9.90903571343,9.90903571343,9.90903571344,9.90903571344,9.90903571352,9.90903571342,9.90903571342,9.90903571345,9.90903571345,9.90903571345,9.90903571345,9.90903571343,9.90903571383,9.90903571303,9.9090357138,9.075466395,8.6767070133,9.9090357131,9.4988105991,9.9090357131,8.6018628586,9.9090357129,9.9090357135,9.9090357135,9.9090357136,9.9090357136,7.4372287715
"t92",2.7617422677,2.835703579021,2.835703579021,2.792399790095,2.835703578995,2.835703578995,2.835703579,0,0.323408087,1.4935942325,4.8998076645,4.8998076641,4.8998076641,4.8998076643,5.48843763271,8.52426019271,8.52426019271,6.30557430711,9.9090357132,9.90903571328,9.90903571328,9.9090357132,9.909035713,9.9090357132,9.9090357132,9.9090357131,9.9090357142,9.9090357142,9.9090357142,9.9090357142,9.9090357139,9.9090357139,9.90903571397,9.90903571397,9.16498711357,9.90903571343,9.90903571343,9.90903571343,9.90903571333,9.90903571333,9.90903571343,9.90903571343,9.90903571343,9.90903571323,9.90903571323,9.90903571391,9.90903571391,9.90903571353,7.42045175493,9.41862683163,9.90903571353,9.90903571358,9.90903571358,9.90903571318,9.90903571318,9.90903571348,9.90903571346,9.90903571346,9.90903571346,9.90903571345,9.909035713465,9.909035713465,9.90903571347,9.90903571347,9.90903571368,9.90903571343,9.90903571343,9.90903571293,9.90903571293,9.90903571302,9.90903571302,9.66239231963,9.90903571303,9.71358359493,9.90903571303,8.09652792113,9.90903571332,9.90903571332,9.90903571328,9.90903571308,9.90903571348,9.90903571328,9.90903571328,9.909035713338,9.909035713338,9.90903571338,9.90903571338,8.96719809783,9.90903571343,9.90903571343,9.90903571343,9.90903571343,9.90903571344,9.90903571344,9.90903571352,9.90903571342,9.90903571342,9.90903571345,9.90903571345,9.90903571345,9.90903571345,9.90903571343,9.90903571383,9.90903571303,9.9090357138,9.075466395,8.6767070133,9.9090357131,9.4988105991,9.9090357131,8.6018628586,9.9090357129,9.9090357135,9.9090357135,9.9090357136,9.9090357136,7.4372287715
"t93",2.7617422677,2.835703579021,2.835703579021,2.792399790095,2.835703578995,2.835703578995,2.835703579,0.323408087,0,1.4935942325,4.8998076645,4.8998076641,4.8998076641,4.8998076643,5.48843763271,8.52426019271,8.52426019271,6.30557430711,9.9090357132,9.90903571328,9.90903571328,9.9090357132,9.909035713,9.9090357132,9.9090357132,9.9090357131,9.9090357142,9.9090357142,9.9090357142,9.9090357142,9.9090357139,9.9090357139,9.90903571397,9.90903571397,9.16498711357,9.90903571343,9.90903571343,9.90903571343,9.90903571333,9.90903571333,9.90903571343,9.90903571343,9.90903571343,9.90903571323,9.90903571323,9.90903571391,9.90903571391,9.90903571353,7.42045175493,9.41862683163,9.90903571353,9.90903571358,9.90903571358,9.90903571318,9.90903571318,9.90903571348,9.90903571346,9.90903571346,9.90903571346,9.90903571345,9.909035713465,9.909035713465,9.90903571347,9.90903571347,9.90903571368,9.90903571343,9.90903571343,9.90903571293,9.90903571293,9.90903571302,9.90903571302,9.66239231963,9.90903571303,9.71358359493,9.90903571303,8.09652792113,9.90903571332,9.90903571332,9.90903571328,9.90903571308,9.90903571348,9.90903571328,9.90903571328,9.909035713338,9.909035713338,9.90903571338,9.90903571338,8.96719809783,9.90903571343,9.90903571343,9.90903571343,9.90903571343,9.90903571344,9.90903571344,9.90903571352,9.90903571342,9.90903571342,9.90903571345,9.90903571345,9.90903571345,9.90903571345,9.90903571343,9.90903571383,9.90903571303,9.9090357138,9.075466395,8.6767070133,9.9090357131,9.4988105991,9.9090357131,8.6018628586,9.9090357129,9.9090357135,9.9090357135,9.9090357136,9.9090357136,7.4372287715
"t27",1.9964749228,2.070436234121,2.070436234121,2.027132445195,2.070436234095,2.070436234095,2.0704362341,1.4935942325,1.4935942325,0,4.1345403196,4.1345403192,4.1345403192,4.1345403194,4.72317028781,7.75899284781,7.75899284781,5.54030696221,9.1437683683,9.14376836838,9.14376836838,9.1437683683,9.1437683681,9.1437683683,9.1437683683,9.1437683682,9.1437683693,9.1437683693,9.1437683693,9.1437683693,9.143768369,9.143768369,9.14376836907,9.14376836907,8.39971976867,9.14376836853,9.14376836853,9.14376836853,9.14376836843,9.14376836843,9.14376836853,9.14376836853,9.14376836853,9.14376836833,9.14376836833,9.14376836901,9.14376836901,9.14376836863,6.65518441003,8.65335948673,9.14376836863,9.14376836868,9.14376836868,9.14376836828,9.14376836828,9.14376836858,9.14376836856,9.14376836856,9.14376836856,9.14376836855,9.143768368565,9.143768368565,9.14376836857,9.14376836857,9.14376836878,9.14376836853,9.14376836853,9.14376836803,9.14376836803,9.14376836812,9.14376836812,8.89712497473,9.14376836813,8.94831625003,9.14376836813,7.33126057623,9.14376836842,9.14376836842,9.14376836838,9.14376836818,9.14376836858,9.14376836838,9.14376836838,9.143768368438,9.143768368438,9.14376836848,9.14376836848,8.20193075293,9.14376836853,9.14376836853,9.14376836853,9.14376836853,9.14376836854,9.14376836854,9.14376836862,9.14376836852,9.14376836852,9.14376836855,9.14376836855,9.14376836855,9.14376836855,9.14376836853,9.14376836893,9.14376836813,9.1437683689,8.3101990501,7.9114396684,9.1437683682,8.7335432542,9.1437683682,7.8365955137,9.143768368,9.1437683686,9.1437683686,9.1437683687,9.1437683687,6.6719614266
